ÈÕÆÚ,Ê±¼ä,ºÏÔ¼´úÂë,Âò/Âô,¿ª/Æ½,³É½»Á¿,³É½»¼Û,ÊÖÐø·Ñ
2014-01-02,15:00:00,513100.SS,Âò,-,83800.000,1.169,19.592
2014-01-06,15:00:00,513100.SS,Âô,-,83800.000,1.157,19.391
2014-01-06,15:00:00,159915.SZ,Âò,-,74600.000,1.299,19.381
2014-01-13,15:00:00,159915.SZ,Âô,-,74600.000,1.336,19.933
2014-01-13,15:00:00,513100.SS,Âò,-,85100.000,1.170,19.913
2014-01-15,15:00:00,513100.SS,Âô,-,85100.000,1.168,19.879
2014-01-15,15:00:00,159915.SZ,Âò,-,71500.000,1.390,19.877
2014-02-20,15:00:00,159915.SZ,Âô,-,71500.000,1.483,21.207
2014-02-20,15:00:00,518880.SS,Âò,-,41200.000,2.566,21.144
2014-02-25,15:00:00,518880.SS,Âô,-,41200.000,2.612,21.523
2014-02-25,15:00:00,159915.SZ,Âò,-,75200.000,1.432,21.537
2014-02-27,15:00:00,159915.SZ,Âô,-,75200.000,1.385,20.830
2014-02-27,15:00:00,518880.SS,Âò,-,40000.000,2.602,20.816
2014-03-26,15:00:00,518880.SS,Âô,-,40000.000,2.614,20.912
2014-03-26,15:00:00,510300.SS,Âò,-,48300.000,2.166,20.924
2014-04-28,15:00:00,510300.SS,Âô,-,48300.000,2.131,20.585
2014-04-28,15:00:00,518880.SS,Âò,-,39100.000,2.631,20.574
2014-05-09,15:00:00,518880.SS,Âô,-,39100.000,2.588,20.238
2014-05-09,15:00:00,513100.SS,Âò,-,87300.000,1.159,20.236
2014-05-13,15:00:00,513100.SS,Âô,-,87300.000,1.186,20.708
2014-05-13,15:00:00,518880.SS,Âò,-,39800.000,2.595,20.656
2014-05-15,15:00:00,518880.SS,Âô,-,39800.000,2.610,20.776
2014-05-15,15:00:00,513100.SS,Âò,-,87700.000,1.186,20.802
2014-06-16,15:00:00,513100.SS,Âô,-,87700.000,1.239,21.732
2014-06-16,15:00:00,159915.SZ,Âò,-,79600.000,1.363,21.699
2014-06-20,15:00:00,159915.SZ,Âô,-,79600.000,1.305,20.776
2014-06-20,15:00:00,513100.SS,Âò,-,82900.000,1.254,20.791
2014-06-27,15:00:00,513100.SS,Âô,-,82900.000,1.268,21.023
2014-06-27,15:00:00,518880.SS,Âò,-,39900.000,2.634,21.019
2014-07-08,15:00:00,518880.SS,Âô,-,39900.000,2.629,20.979
2014-07-08,15:00:00,513100.SS,Âò,-,80400.000,1.304,20.968
2014-07-10,15:00:00,513100.SS,Âô,-,80400.000,1.291,20.759
2014-07-10,15:00:00,518880.SS,Âò,-,39200.000,2.645,20.737
2014-07-15,15:00:00,518880.SS,Âô,-,39200.000,2.610,20.462
2014-07-15,15:00:00,513100.SS,Âò,-,78700.000,1.301,20.478
2014-07-21,15:00:00,513100.SS,Âô,-,78700.000,1.302,20.493
2014-07-21,15:00:00,510300.SS,Âò,-,46500.000,2.202,20.479
2014-08-21,15:00:00,510300.SS,Âô,-,46500.000,2.396,22.283
2014-08-21,15:00:00,159915.SZ,Âò,-,78600.000,1.415,22.244
2014-09-04,15:00:00,159915.SZ,Âô,-,78600.000,1.457,22.904
2014-09-04,15:00:00,513100.SS,Âò,-,85300.000,1.341,22.877
2014-09-09,15:00:00,513100.SS,Âô,-,85300.000,1.348,22.997
2014-09-09,15:00:00,159915.SZ,Âò,-,78800.000,1.458,22.978
2014-09-22,15:00:00,159915.SZ,Âô,-,78800.000,1.442,22.726
2014-09-22,15:00:00,510300.SS,Âò,-,46900.000,2.420,22.700
