rank,experiment,factor,mechanism,annualized_return,volatility,sharpe,max_drawdown,sortino,calmar,worst_calendar_return,best_calendar_return,final_nav,total_deposits,trades,traded_notional,estimated_transaction_cost,meets_5pct_return_floor,delta_annualized_return_vs_baseline,delta_volatility_vs_baseline,delta_sharpe_vs_baseline,delta_max_drawdown_vs_baseline,delta_sortino_vs_baseline,delta_calmar_vs_baseline
25,low_vol_20__global_tilt_075,low_vol_20,global_tilt_075,0.039427465849585674,0.020066237256331748,1.9372975907232228,-0.02509057477727583,2.433506479570966,1.5714054460519795,0.0010056510894536075,0.09671399343529075,4179953.3566626795,3220000.0,657,29960222.69493874,14980.11134746937,False,-0.012849305742521633,-0.02269613313720433,0.7241863732312839,0.029224382213280498,0.8663943939159382,0.6089307523649975
26,low_vol_60__global_tilt_075,low_vol_60,global_tilt_075,0.03934259608636115,0.020305044483180483,1.9107278136222146,-0.025119517823625204,2.4308773258152847,1.5662162133287036,0.004518134402373919,0.09634164332052308,4205959.308914232,3220000.0,618,17547942.463568047,8773.971231784024,False,-0.01293417550574616,-0.022457325910355597,0.6976165961302756,0.029195439166931125,0.8637652401602569,0.6037415196417216
1,reversal_20__global_tilt_075,reversal_20,global_tilt_075,0.061203769685601594,0.04447466976762266,1.3580267668726458,-0.060971959934121855,1.8137941798807553,1.0038019074953504,0.014812995140186525,0.1407965926032626,5063456.011100843,3220000.0,824,173372401.0757527,86686.20053787636,True,0.008926998093494287,0.0017122993740865816,0.14491554938070683,-0.0066570029435655265,0.2466820942257275,0.041327213808368346
6,reversal_5__global_tilt_050,reversal_5,global_tilt_050,0.056001329603030836,0.04360367990965616,1.2715697879706311,-0.05538870270563323,1.650591451855873,1.0110605027283894,0.0051661523715131885,0.16862998569102294,4876894.983864128,3220000.0,803,104789949.24260569,52394.97462130284,True,0.003724558010923529,0.0008413095161200826,0.058458570478692184,-0.0010737457150769014,0.08347936620084528,0.04858580904140741
11,momentum_low_vol_60__sleeve_tilt_050,momentum_low_vol_60,sleeve_tilt_050,0.05137239447273867,0.0418010664085259,1.219463510231127,-0.05411660938127005,1.5452607844244346,0.9492907087138913,0.0045316898145006945,0.1395316574385368,4581250.790972939,3220000.0,715,24802683.899511807,12401.341949755904,True,-0.0009043771193686378,-0.0009613039850101812,0.006352292739188137,0.0001983476092862757,-0.0218513012305932,-0.013183984973090701
14,quality_momentum_60__sleeve_tilt_050,quality_momentum_60,sleeve_tilt_050,0.05236472775946632,0.04325876430677021,1.2016197002770816,-0.0584073741457114,1.5134359815187448,0.8965430910971922,0.004554420614273802,0.13994331706639884,4573413.577544555,3220000.0,734,43913364.09406808,21956.68204703404,True,8.795616735901568e-05,0.0004963939132341319,-0.011491517214857305,-0.00409241715515507,-0.05367610413628299,-0.0659316025897898
16,quality_momentum_20__sleeve_tilt_050,quality_momentum_20,sleeve_tilt_050,0.051558391584545005,0.04285791467650145,1.1945680750776395,-0.05403331392016508,1.509478139359482,0.9541963622798185,0.002542625804442089,0.14007957518430114,4550651.869501402,3220000.0,764,58589454.90155697,29294.727450778486,True,-0.0007183800075623026,9.554428296536938e-05,-0.01854314241429944,0.0002816430703912465,-0.057633946295545746,-0.008278331407163497
17,momentum_60__sleeve_tilt_050,momentum_60,sleeve_tilt_050,0.05266334832300079,0.0439623831617848,1.1895413961288084,-0.06188725367249459,1.5016975699540291,0.8509562987185306,0.0025666096535843508,0.14129483066835147,4601044.680587896,3220000.0,714,40208836.309007496,20104.41815450375,True,0.0003865767308934842,0.0012000127682487219,-0.023569821363130572,-0.007572296681938262,-0.06541451570099865,-0.1115183949684514
18,momentum_20__sleeve_tilt_050,momentum_20,sleeve_tilt_050,0.05106165841321819,0.043314666509034004,1.171514641667793,-0.05770317967155403,1.489826774234662,0.8849019881375807,0.0032166993093991625,0.14193851566692262,4553633.162293516,3220000.0,760,59580807.034081444,29790.403517040722,True,-0.0012151131788891156,0.0005522961154979245,-0.04159657582414589,-0.003388222680997699,-0.07728531142036577,-0.07757270554940132
19,momentum_120__sleeve_tilt_050,momentum_120,sleeve_tilt_050,0.051805484722903694,0.04425440338587196,1.1635587946316166,-0.07144264505648334,1.4587352408544727,0.7251339124124773,0.008012263086980775,0.14278291669220522,4576062.966848944,3220000.0,709,31337369.04233664,15668.68452116832,True,-0.0004712868692036132,0.0014920329923358774,-0.049552422860322354,-0.017127688065927016,-0.1083768448005551,-0.23734078127450475
