date,experiment,asset,target_weight
2013-01-04,reversal_20__global_tilt_075,510880.SH,0.11666666666666665
2013-01-04,reversal_20__global_tilt_075,512890.SH,0.11666666666666665
2013-01-04,reversal_20__global_tilt_075,515450.SH,0.11666666666666665
2013-01-04,reversal_20__global_tilt_075,511010.SH,0.13333333333333333
2013-01-04,reversal_20__global_tilt_075,511260.SH,0.13333333333333333
2013-01-04,reversal_20__global_tilt_075,511090.SH,0.13333333333333333
2013-01-04,reversal_20__global_tilt_075,511360.SH,0.15
2013-01-04,reversal_20__global_tilt_075,511880.SH,0.1
2013-02-01,reversal_20__global_tilt_075,510880.SH,0.11666666666666665
2013-02-01,reversal_20__global_tilt_075,512890.SH,0.11666666666666665
2013-02-01,reversal_20__global_tilt_075,515450.SH,0.11666666666666665
2013-02-01,reversal_20__global_tilt_075,511010.SH,0.13333333333333333
2013-02-01,reversal_20__global_tilt_075,511260.SH,0.13333333333333333
2013-02-01,reversal_20__global_tilt_075,511090.SH,0.13333333333333333
2013-02-01,reversal_20__global_tilt_075,511360.SH,0.15
2013-02-01,reversal_20__global_tilt_075,511880.SH,0.1
2013-03-01,reversal_20__global_tilt_075,510880.SH,0.11666666666666665
2013-03-01,reversal_20__global_tilt_075,512890.SH,0.11666666666666665
2013-03-01,reversal_20__global_tilt_075,515450.SH,0.11666666666666665
2013-03-01,reversal_20__global_tilt_075,511010.SH,0.13333333333333333
2013-03-01,reversal_20__global_tilt_075,511260.SH,0.13333333333333333
2013-03-01,reversal_20__global_tilt_075,511090.SH,0.13333333333333333
2013-03-01,reversal_20__global_tilt_075,511360.SH,0.15
2013-03-01,reversal_20__global_tilt_075,511880.SH,0.1
2013-04-01,reversal_20__global_tilt_075,510880.SH,0.11666666666666665
2013-04-01,reversal_20__global_tilt_075,512890.SH,0.11666666666666665
2013-04-01,reversal_20__global_tilt_075,515450.SH,0.11666666666666665
2013-04-01,reversal_20__global_tilt_075,511010.SH,0.13333333333333333
2013-04-01,reversal_20__global_tilt_075,511260.SH,0.13333333333333333
2013-04-01,reversal_20__global_tilt_075,511090.SH,0.13333333333333333
2013-04-01,reversal_20__global_tilt_075,511360.SH,0.15
2013-04-01,reversal_20__global_tilt_075,511880.SH,0.1
2013-05-02,reversal_20__global_tilt_075,510880.SH,0.20675105485232065
2013-05-02,reversal_20__global_tilt_075,512890.SH,0.11814345991561181
2013-05-02,reversal_20__global_tilt_075,515450.SH,0.11814345991561181
2013-05-02,reversal_20__global_tilt_075,511010.SH,0.03375527426160338
2013-05-02,reversal_20__global_tilt_075,511260.SH,0.13502109704641352
2013-05-02,reversal_20__global_tilt_075,511090.SH,0.13502109704641352
2013-05-02,reversal_20__global_tilt_075,511360.SH,0.1518987341772152
2013-05-02,reversal_20__global_tilt_075,511880.SH,0.10126582278481014
2013-06-03,reversal_20__global_tilt_075,510880.SH,0.028806584362139915
2013-06-03,reversal_20__global_tilt_075,512890.SH,0.11522633744855966
2013-06-03,reversal_20__global_tilt_075,515450.SH,0.11522633744855966
2013-06-03,reversal_20__global_tilt_075,511010.SH,0.23045267489711935
2013-06-03,reversal_20__global_tilt_075,511260.SH,0.13168724279835392
2013-06-03,reversal_20__global_tilt_075,511090.SH,0.13168724279835392
2013-06-03,reversal_20__global_tilt_075,511360.SH,0.14814814814814814
2013-06-03,reversal_20__global_tilt_075,511880.SH,0.09876543209876544
2013-07-01,reversal_20__global_tilt_075,510880.SH,0.2016460905349794
2013-07-01,reversal_20__global_tilt_075,512890.SH,0.11522633744855966
2013-07-01,reversal_20__global_tilt_075,515450.SH,0.11522633744855966
2013-07-01,reversal_20__global_tilt_075,511010.SH,0.13168724279835392
2013-07-01,reversal_20__global_tilt_075,511260.SH,0.13168724279835392
2013-07-01,reversal_20__global_tilt_075,511090.SH,0.13168724279835392
2013-07-01,reversal_20__global_tilt_075,511360.SH,0.14814814814814814
2013-07-01,reversal_20__global_tilt_075,511880.SH,0.02469135802469136
2013-08-01,reversal_20__global_tilt_075,510880.SH,0.028806584362139915
2013-08-01,reversal_20__global_tilt_075,512890.SH,0.11522633744855966
2013-08-01,reversal_20__global_tilt_075,515450.SH,0.11522633744855966
2013-08-01,reversal_20__global_tilt_075,511010.SH,0.23045267489711935
2013-08-01,reversal_20__global_tilt_075,511260.SH,0.13168724279835392
2013-08-01,reversal_20__global_tilt_075,511090.SH,0.13168724279835392
2013-08-01,reversal_20__global_tilt_075,511360.SH,0.14814814814814814
2013-08-01,reversal_20__global_tilt_075,511880.SH,0.09876543209876544
2013-09-02,reversal_20__global_tilt_075,510880.SH,0.028806584362139915
2013-09-02,reversal_20__global_tilt_075,512890.SH,0.11522633744855966
2013-09-02,reversal_20__global_tilt_075,515450.SH,0.11522633744855966
2013-09-02,reversal_20__global_tilt_075,511010.SH,0.23045267489711935
2013-09-02,reversal_20__global_tilt_075,511260.SH,0.13168724279835392
2013-09-02,reversal_20__global_tilt_075,511090.SH,0.13168724279835392
2013-09-02,reversal_20__global_tilt_075,511360.SH,0.14814814814814814
2013-09-02,reversal_20__global_tilt_075,511880.SH,0.09876543209876544
2013-10-08,reversal_20__global_tilt_075,510880.SH,0.028806584362139915
2013-10-08,reversal_20__global_tilt_075,512890.SH,0.11522633744855966
2013-10-08,reversal_20__global_tilt_075,515450.SH,0.11522633744855966
2013-10-08,reversal_20__global_tilt_075,511010.SH,0.23045267489711935
2013-10-08,reversal_20__global_tilt_075,511260.SH,0.13168724279835392
2013-10-08,reversal_20__global_tilt_075,511090.SH,0.13168724279835392
2013-10-08,reversal_20__global_tilt_075,511360.SH,0.14814814814814814
2013-10-08,reversal_20__global_tilt_075,511880.SH,0.09876543209876544
2013-11-01,reversal_20__global_tilt_075,510880.SH,0.028806584362139915
2013-11-01,reversal_20__global_tilt_075,512890.SH,0.11522633744855966
2013-11-01,reversal_20__global_tilt_075,515450.SH,0.11522633744855966
2013-11-01,reversal_20__global_tilt_075,511010.SH,0.23045267489711935
2013-11-01,reversal_20__global_tilt_075,511260.SH,0.13168724279835392
2013-11-01,reversal_20__global_tilt_075,511090.SH,0.13168724279835392
2013-11-01,reversal_20__global_tilt_075,511360.SH,0.14814814814814814
2013-11-01,reversal_20__global_tilt_075,511880.SH,0.09876543209876544
2013-12-02,reversal_20__global_tilt_075,510880.SH,0.028806584362139915
2013-12-02,reversal_20__global_tilt_075,512890.SH,0.11522633744855966
2013-12-02,reversal_20__global_tilt_075,515450.SH,0.11522633744855966
2013-12-02,reversal_20__global_tilt_075,511010.SH,0.23045267489711935
2013-12-02,reversal_20__global_tilt_075,511260.SH,0.13168724279835392
2013-12-02,reversal_20__global_tilt_075,511090.SH,0.13168724279835392
2013-12-02,reversal_20__global_tilt_075,511360.SH,0.14814814814814814
2013-12-02,reversal_20__global_tilt_075,511880.SH,0.09876543209876544
2014-01-02,reversal_20__global_tilt_075,510880.SH,0.2016460905349794
2014-01-02,reversal_20__global_tilt_075,512890.SH,0.11522633744855966
