rank,experiment,factor,mechanism,annualized_return,volatility,sharpe,max_drawdown,sortino,calmar,worst_calendar_return,best_calendar_return,final_nav,total_deposits,trades,traded_notional,estimated_transaction_cost,meets_5pct_return_floor,delta_annualized_return_vs_baseline,delta_volatility_vs_baseline,delta_sharpe_vs_baseline,delta_max_drawdown_vs_baseline,delta_sortino_vs_baseline,delta_calmar_vs_baseline
1,reversal_20__global_tilt_075,reversal_20,global_tilt_075,0.061203769685601594,0.04447466976762266,1.3580267668726458,-0.060971959934121855,1.8137941798807553,1.0038019074953504,0.014812995140186525,0.1407965926032626,5063456.011100843,3220000.0,824,173372401.0757527,86686.20053787636,True,0.008926998093494287,0.0017122993740865816,0.14491554938070683,-0.0066570029435655265,0.2466820942257275,0.041327213808368346
2,reversal_20__global_tilt_050,reversal_20,global_tilt_050,0.05837008318402637,0.042455159206261486,1.357581080926875,-0.05077235508776157,1.8427775618077342,1.1496430111057858,0.01498755185886047,0.140685793966157,4907340.559601619,3220000.0,816,115812494.49441412,57906.24724720706,True,0.0060933115919190595,-0.00030721118727459334,0.14446986343493595,0.003542601902794762,0.2756654761527064,0.1871683174188038
3,reversal_20__global_blend_050,reversal_20,global_blend_050,0.05908182792647798,0.04379588734539747,1.3326917436785197,-0.0522059498199815,1.8035312068161606,1.1317067907050085,0.014625868853921364,0.1429304627722361,4939133.619742006,3220000.0,806,118074184.86124077,59037.09243062039,True,0.006805056334370674,0.0010335169518613935,0.11958052618658077,0.002109007170574828,0.23641912116113284,0.16923209701802644
4,reversal_20__global_tilt_025,reversal_20,global_tilt_025,0.05544404389167967,0.04186274025143188,1.310064394109433,-0.050787416738721225,1.7561105486213016,1.091688600286853,0.011185541580131853,0.13993066879681804,4754643.772098095,3220000.0,809,60222299.689425275,30111.14984471264,True,0.0031672722995723657,-0.0008996301421042019,0.09695317661749403,0.003527540251835104,0.18899846296627376,0.1292139065998711
5,reversal_20__global_blend_025,reversal_20,global_blend_025,0.055779101105683626,0.04253640017922864,1.29744736568813,-0.05135552780349528,1.7382309434434462,1.0861362640281786,0.011148835130303736,0.14106071633016803,4769973.833246734,3220000.0,796,61359072.82720299,30679.536413601498,True,0.003502329513576319,-0.0002259702143074388,0.08433614819619106,0.0029594291870610467,0.1711188577884184,0.12366157034119662
6,reversal_5__global_tilt_050,reversal_5,global_tilt_050,0.056001329603030836,0.04360367990965616,1.2715697879706311,-0.05538870270563323,1.650591451855873,1.0110605027283894,0.0051661523715131885,0.16862998569102294,4876894.983864128,3220000.0,803,104789949.24260569,52394.97462130284,True,0.003724558010923529,0.0008413095161200826,0.058458570478692184,-0.0010737457150769014,0.08347936620084528,0.04858580904140741
7,reversal_5__global_tilt_025,reversal_5,global_tilt_025,0.054163299739070636,0.04241739707431297,1.2648594277131293,-0.05423275619126067,1.6591045550987156,0.9987192896495047,0.00993524621861308,0.1537006316551215,4737835.049729866,3220000.0,796,55258362.080052465,27629.181040026233,True,0.0018865281469633288,-0.00034497331922311164,0.05174821022119036,8.220079929566193e-05,0.09199246944368777,0.03624459596252272
8,reversal_5__global_blend_025,reversal_5,global_blend_025,0.054480007901828165,0.043128926904423506,1.2516638245141793,-0.05521996364867887,1.639539103963242,0.9865998508880147,0.009947648484524896,0.15489541166480514,4751849.597391706,3220000.0,805,56235467.84212892,28117.73392106446,True,0.0022032363097208574,0.00036655651088742663,0.03855260702224039,-0.0009050066581225424,0.0724270183082143,0.0241251572010327
9,reversal_5__global_blend_050,reversal_5,global_blend_050,0.05649560981902324,0.04504569597145722,1.242672233277395,-0.05721322230861814,1.6084968609701937,0.9874572264829977,0.003288893809208382,0.17065300860948307,4901095.2059410345,3220000.0,813,106903470.32045355,53451.73516022678,True,0.004218838226915933,0.0022833255779211373,0.029561015785456002,-0.00289826531806181,0.041384775315165934,0.0249825327960157
10,reversal_5__global_tilt_075,reversal_5,global_tilt_075,0.05759792432026578,0.0462167492653016,1.2349010548527002,-0.058593352297119705,1.556550964390247,0.9830112472178374,-0.0037875346135568533,0.1833115503839442,5014038.727000803,3220000.0,805,154432328.5914738,77216.16429573689,True,0.005321152728158474,0.003454378871765522,0.021789837360761233,-0.004278395306563376,-0.010561121264780704,0.020536553530855373
11,momentum_low_vol_60__sleeve_tilt_050,momentum_low_vol_60,sleeve_tilt_050,0.05137239447273867,0.0418010664085259,1.219463510231127,-0.05411660938127005,1.5452607844244346,0.9492907087138913,0.0045316898145006945,0.1395316574385368,4581250.790972939,3220000.0,715,24802683.899511807,12401.341949755904,True,-0.0009043771193686378,-0.0009613039850101812,0.006352292739188137,0.0001983476092862757,-0.0218513012305932,-0.013183984973090701
12,baseline_static_35_40_15_10,none,fixed,0.05227677159210731,0.04276237039353608,1.213111217491939,-0.05431495699055633,1.5671120856550278,0.962474693686982,0.005320933750406098,0.13896030420681704,4603915.917024479,3220000.0,616,9026619.857832287,4513.309928916144,True,0.0,0.0,0.0,0.0,0.0,0.0
13,reversal_20__sleeve_tilt_050,reversal_20,sleeve_tilt_050,0.05131099271153805,0.04224328407521851,1.205752152295052,-0.05195328839798641,1.5440604205846342,0.9876370542413394,0.006336782231218807,0.13184615514203757,4586372.707596273,3220000.0,761,61628129.20332856,30814.06460166428,True,-0.0009657788805692569,-0.0005190863183175687,-0.007359065196886894,0.002361668592569921,-0.02305166507039358,0.025162360554357388
14,quality_momentum_60__sleeve_tilt_050,quality_momentum_60,sleeve_tilt_050,0.05236472775946632,0.04325876430677021,1.2016197002770816,-0.0584073741457114,1.5134359815187448,0.8965430910971922,0.004554420614273802,0.13994331706639884,4573413.577544555,3220000.0,734,43913364.09406808,21956.68204703404,True,8.795616735901568e-05,0.0004963939132341319,-0.011491517214857305,-0.00409241715515507,-0.05367610413628299,-0.0659316025897898
15,reversal_5__sleeve_tilt_050,reversal_5,sleeve_tilt_050,0.05103019412038168,0.042191495509891805,1.2008473814152276,-0.0507879344368265,1.551155996793839,1.0047700243422288,0.006661573293508916,0.13901368714603457,4602366.808162244,3220000.0,762,61491835.13323092,30745.91756661546,True,-0.0012465774717256295,-0.0005708748836442748,-0.012263836076711332,0.0035270225537298305,-0.01595608886118871,0.04229533065524682
16,quality_momentum_20__sleeve_tilt_050,quality_momentum_20,sleeve_tilt_050,0.051558391584545005,0.04285791467650145,1.1945680750776395,-0.05403331392016508,1.509478139359482,0.9541963622798185,0.002542625804442089,0.14007957518430114,4550651.869501402,3220000.0,764,58589454.90155697,29294.727450778486,True,-0.0007183800075623026,9.554428296536938e-05,-0.01854314241429944,0.0002816430703912465,-0.057633946295545746,-0.008278331407163497
17,momentum_60__sleeve_tilt_050,momentum_60,sleeve_tilt_050,0.05266334832300079,0.0439623831617848,1.1895413961288084,-0.06188725367249459,1.5016975699540291,0.8509562987185306,0.0025666096535843508,0.14129483066835147,4601044.680587896,3220000.0,714,40208836.309007496,20104.41815450375,True,0.0003865767308934842,0.0012000127682487219,-0.023569821363130572,-0.007572296681938262,-0.06541451570099865,-0.1115183949684514
18,momentum_20__sleeve_tilt_050,momentum_20,sleeve_tilt_050,0.05106165841321819,0.043314666509034004,1.171514641667793,-0.05770317967155403,1.489826774234662,0.8849019881375807,0.0032166993093991625,0.14193851566692262,4553633.162293516,3220000.0,760,59580807.034081444,29790.403517040722,True,-0.0012151131788891156,0.0005522961154979245,-0.04159657582414589,-0.003388222680997699,-0.07728531142036577,-0.07757270554940132
19,momentum_120__sleeve_tilt_050,momentum_120,sleeve_tilt_050,0.051805484722903694,0.04425440338587196,1.1635587946316166,-0.07144264505648334,1.4587352408544727,0.7251339124124773,0.008012263086980775,0.14278291669220522,4576062.966848944,3220000.0,709,31337369.04233664,15668.68452116832,True,-0.0004712868692036132,0.0014920329923358774,-0.049552422860322354,-0.017127688065927016,-0.1083768448005551,-0.23734078127450475
20,quality_momentum_60__sleeve_tilt_100,quality_momentum_60,sleeve_tilt_100,0.05148863433973583,0.04440968320739943,1.152859456935065,-0.06437499486725928,1.401263316737806,0.7998235098255926,-0.002725010255838378,0.14088102842857486,4530365.84207549,3220000.0,682,104516546.43190968,52258.27321595484,True,-0.0007881372523714791,0.0016473128138633497,-0.06025176055687398,-0.010060037876702954,-0.1658487689172219,-0.16265118386138944
21,momentum_60__sleeve_tilt_100,momentum_60,sleeve_tilt_100,0.05267817031793287,0.04550758563601465,1.1509825087070586,-0.07041584971117776,1.405349389095528,0.7481010388144301,-0.014067633410273617,0.1446112815783549,4603862.332039595,3220000.0,699,93124389.19402893,46562.194597014466,True,0.0004013987258255636,0.0027452152424785672,-0.062128708784880304,-0.01610089272062143,-0.16176269655949982,-0.2143736548725519
22,momentum_120__sleeve_tilt_100,momentum_120,sleeve_tilt_100,0.050666957100957255,0.045901060182119854,1.0998398890296448,-0.088643252375185,1.3283908954018444,0.5715827854161755,0.0006413473255908464,0.1483869560026576,4540191.212783595,3220000.0,663,66269058.56639516,33134.52928319758,True,-0.0016098144911500523,0.0031386897885837747,-0.11327132846229415,-0.03432829538462867,-0.2387211902531834,-0.39089190827080655
23,momentum_60__global_tilt_025,momentum_60,global_tilt_025,0.05011141425623067,0.04590024879910448,1.0883336013217721,-0.06324866184729516,1.3517690432146667,0.7922920863878117,-0.0017661016621796088,0.13306792926082456,4476697.285971121,3220000.0,738,35630216.64425591,17815.108322127955,True,-0.0021653573358766387,0.003137878405568402,-0.1247776161701668,-0.008933704856738833,-0.21534304244036107,-0.17018260729917034
24,momentum_60__global_blend_025,momentum_60,global_blend_025,0.05033633796388637,0.04688181815492883,1.0710887491828098,-0.06469768150926591,1.3278626681998236,0.7780238300606995,-0.001969076788661095,0.1334846727187431,4481157.790137372,3220000.0,745,36348897.036182135,18174.448518091067,True,-0.001940433628220939,0.004119447761392753,-0.14202246830912912,-0.010382724518709585,-0.23924941745520423,-0.1844508636262825
25,low_vol_20__global_tilt_075,low_vol_20,global_tilt_075,0.039427465849585674,0.020066237256331748,1.9372975907232228,-0.02509057477727583,2.433506479570966,1.5714054460519795,0.0010056510894536075,0.09671399343529075,4179953.3566626795,3220000.0,657,29960222.69493874,14980.11134746937,False,-0.012849305742521633,-0.02269613313720433,0.7241863732312839,0.029224382213280498,0.8663943939159382,0.6089307523649975
26,low_vol_60__global_tilt_075,low_vol_60,global_tilt_075,0.03934259608636115,0.020305044483180483,1.9107278136222146,-0.025119517823625204,2.4308773258152847,1.5662162133287036,0.004518134402373919,0.09634164332052308,4205959.308914232,3220000.0,618,17547942.463568047,8773.971231784024,False,-0.01293417550574616,-0.022457325910355597,0.6976165961302756,0.029195439166931125,0.8637652401602569,0.6037415196417216
27,low_vol_20__global_tilt_050,low_vol_20,global_tilt_050,0.043724033341751234,0.027236893514228682,1.5849663415695485,-0.03292703441777656,2.031618912921417,1.3279068131974139,0.0025155034747810223,0.11053521943557754,4317290.364915451,3220000.0,655,22724448.127698008,11362.224063849004,False,-0.008552738250356073,-0.015525476879307398,0.37185512407760957,0.02138792257277977,0.46450682726638926,0.36543211951043186
28,low_vol_60__global_tilt_050,low_vol_60,global_tilt_050,0.04369083715650768,0.027366647986066424,1.5764179303139219,-0.03349204461734667,2.0336715239176826,1.304513882496105,0.004882425596582696,0.11047135487978377,4335467.771436338,3220000.0,620,14411003.026365645,7205.501513182823,False,-0.00858593443559963,-0.015395722407469656,0.3633067128219829,0.020822912373209657,0.4665594382626548,0.3420391888091229
29,low_vol_20__global_blend_050,low_vol_20,global_blend_050,0.04389970754812933,0.02772494458253233,1.5636207333171424,-0.03400730531210949,1.9982150201031295,1.2908905055907884,0.002857774341210817,0.11131568202573439,4322537.966938761,3220000.0,655,23198020.374067746,11599.010187033873,False,-0.008377064043977978,-0.01503742581100375,0.3505095158252034,0.020307651678446836,0.43110293444810166,0.3284158119038064
