date,reason,asset,side,shares,notional
2013-04-19,threshold_rebalance,511880.SH,buy,700,70063.0
2013-05-02,threshold_rebalance,511880.SH,buy,200,20033.600000000002
2013-06-03,deposit_invest,511880.SH,buy,200,20080.0
2013-07-01,deposit_invest,511880.SH,buy,200,20138.0
2013-08-01,deposit_invest,511880.SH,buy,200,20245.0
2013-09-02,deposit_invest,511880.SH,buy,200,20323.2
2013-10-08,deposit_invest,511880.SH,buy,200,20406.6
2013-11-01,deposit_invest,511880.SH,buy,200,20472.2
2013-12-02,deposit_invest,511880.SH,buy,200,20553.0
2014-01-02,deposit_invest,511880.SH,buy,200,20636.2
2014-02-07,deposit_invest,511880.SH,buy,200,20778.288
2014-03-03,deposit_invest,511880.SH,buy,200,20838.144
2014-04-01,deposit_invest,511880.SH,buy,200,20903.7792
2014-05-05,deposit_invest,511880.SH,buy,200,20984.4816
2014-06-03,deposit_invest,511880.SH,buy,200,21050.736
2014-07-01,deposit_invest,511880.SH,buy,200,21129.5808
2014-08-01,deposit_invest,511880.SH,buy,100,10604.4192
2014-09-01,deposit_invest,511880.SH,buy,200,21271.171200000004
2014-10-08,deposit_invest,511880.SH,buy,200,21383.04
2014-11-03,deposit_invest,511880.SH,buy,200,21416.064000000002
2014-12-01,deposit_invest,511880.SH,buy,200,21483.144
2015-01-05,deposit_invest,511880.SH,buy,200,21556.246499999997
2015-02-02,deposit_invest,511880.SH,buy,200,21607.4403
2015-03-02,deposit_invest,511880.SH,buy,200,21683.3706
2015-04-01,deposit_invest,511880.SH,buy,100,10882.44675
2015-05-04,deposit_invest,511880.SH,buy,200,21837.3822
2015-06-01,deposit_invest,511880.SH,buy,200,21888.1458
2015-07-01,deposit_invest,511880.SH,buy,200,21952.6758
2015-08-03,deposit_invest,511880.SH,buy,200,22026.0249
2015-09-01,deposit_invest,511880.SH,buy,100,11030.543099999999
2015-10-08,deposit_invest,511880.SH,buy,200,22109.9139
2015-11-02,deposit_invest,511880.SH,buy,200,22154.224499999997
2015-12-01,deposit_invest,511880.SH,buy,200,22192.942499999997
2016-01-04,deposit_invest,511880.SH,buy,200,22255.338320000003
2016-02-01,deposit_invest,511880.SH,buy,100,11151.895499999999
2016-03-01,deposit_invest,511880.SH,buy,200,22346.46492
2016-04-01,deposit_invest,511880.SH,buy,200,22396.25116
2016-05-03,deposit_invest,511880.SH,buy,200,22446.037399999997
2016-06-01,deposit_invest,511880.SH,buy,200,22482.93256
2016-07-01,deposit_invest,511880.SH,buy,100,11266.02601
2016-08-01,deposit_invest,511880.SH,buy,200,22582.282779999998
2016-09-01,deposit_invest,511880.SH,buy,200,22629.17964
2016-10-10,deposit_invest,511880.SH,buy,200,22686.078199999996
2016-11-01,deposit_invest,511880.SH,buy,100,11359.597469999999
2016-12-01,deposit_invest,511880.SH,buy,200,22760.090780000002
2017-01-03,deposit_invest,511880.SH,buy,200,22820.0828
2017-02-03,deposit_invest,511880.SH,buy,200,22869.765
2017-03-01,deposit_invest,511880.SH,buy,100,11457.672499999999
2017-04-05,deposit_invest,511880.SH,buy,200,22983.4871
2017-05-02,deposit_invest,511880.SH,buy,200,23050.4897
2017-06-01,deposit_invest,511880.SH,buy,200,23118.176
2017-07-03,deposit_invest,511880.SH,buy,100,11596.691499999999
2017-08-01,deposit_invest,511880.SH,buy,200,23261.752999999997
2017-08-25,threshold_rebalance,511880.SH,sell,4100,478164.7386
2017-08-25,threshold_rebalance,511260.SH,buy,4800,477537.6
2017-09-01,deposit_invest,511880.SH,buy,100,11669.8474
2017-09-01,deposit_invest,511260.SH,buy,100,9981.5
2017-10-09,deposit_invest,511880.SH,buy,100,11713.03445
2017-10-09,deposit_invest,511260.SH,buy,100,10020.0
2017-10-10,threshold_rebalance,511880.SH,sell,1300,152296.11215
2017-10-10,threshold_rebalance,511260.SH,buy,1500,150199.5
2017-11-01,deposit_invest,511260.SH,buy,100,9938.9
2017-12-01,deposit_invest,511260.SH,buy,200,19565.0
2017-12-01,deposit_invest,511880.SH,buy,100,11781.518399999999
2018-01-02,deposit_invest,511260.SH,buy,100,9811.9
2018-02-01,deposit_invest,511880.SH,buy,100,11864.375599999998
2018-02-01,deposit_invest,511260.SH,buy,100,9805.6
2018-03-01,deposit_invest,511880.SH,buy,100,11900.492779999997
2018-03-01,deposit_invest,511260.SH,buy,100,9940.1
2018-03-02,threshold_rebalance,511260.SH,sell,3900,386334.0
2018-03-02,threshold_rebalance,511880.SH,buy,3300,392809.74149999995
2018-04-02,deposit_invest,511880.SH,buy,100,11938.852529999998
2018-05-02,deposit_invest,511880.SH,buy,100,11979.10076
2018-06-01,deposit_invest,511880.SH,buy,200,24031.14406
2018-06-01,deposit_invest,511260.SH,buy,100,10179.4
2018-07-02,deposit_invest,511880.SH,buy,100,12053.341629999999
2018-08-01,deposit_invest,511880.SH,buy,100,12089.45881
2018-08-20,threshold_rebalance,511260.SH,sell,3300,335778.3
2018-08-20,threshold_rebalance,511880.SH,buy,2900,351210.42208999995
2018-09-03,threshold_rebalance,511880.SH,sell,2800,339588.8342
2018-09-03,threshold_rebalance,511260.SH,buy,3400,348755.0
2018-10-08,threshold_rebalance,511880.SH,sell,3400,413292.90375999996
2018-10-08,threshold_rebalance,511260.SH,buy,4300,439030.0
2018-11-01,deposit_invest,511260.SH,buy,100,10347.1
2018-11-01,deposit_invest,511880.SH,buy,100,12176.682979999998
2018-11-02,threshold_rebalance,511260.SH,sell,4300,444921.0
2018-11-02,threshold_rebalance,511880.SH,buy,3600,437842.19951999997
2018-12-03,deposit_invest,511880.SH,buy,200,24402.93856
2019-01-02,deposit_invest,511880.SH,buy,100,12231.14784
2019-01-21,threshold_rebalance,511880.SH,sell,5400,661445.0928
2019-01-21,threshold_rebalance,512890.SH,buy,662500,664487.4999999999
2019-02-01,deposit_invest,511880.SH,buy,100,12273.4152
2019-02-01,deposit_invest,511260.SH,buy,100,10645.099999999999
2019-02-01,deposit_invest,512890.SH,buy,4300,4381.7
2019-03-01,deposit_invest,511880.SH,buy,200,24583.4784
2019-03-04,threshold_rebalance,511880.SH,sell,1500,184394.412
2019-03-04,threshold_rebalance,512890.SH,sell,398600,438460.00000000006
2019-03-04,threshold_rebalance,511260.SH,buy,5800,613408.0
2019-04-01,deposit_invest,511260.SH,buy,200,21313.6
2019-04-02,threshold_rebalance,511260.SH,sell,2100,224217.0
2019-04-02,threshold_rebalance,511880.SH,buy,1500,184689.4284
2019-04-02,threshold_rebalance,512890.SH,buy,28600,34091.2
2019-05-06,deposit_invest,512890.SH,buy,22600,24860.000000000004
2019-05-07,threshold_rebalance,511260.SH,sell,1600,168272.0
2019-05-07,threshold_rebalance,511880.SH,sell,2400,296291.7504
2019-05-07,threshold_rebalance,512890.SH,buy,419400,465534.00000000006
2019-06-03,deposit_invest,512890.SH,buy,13000,14352.000000000002
2019-06-04,threshold_rebalance,511260.SH,sell,2500,265290.0
2019-06-04,threshold_rebalance,511880.SH,buy,1100,136058.38752
2019-06-04,threshold_rebalance,512890.SH,buy,112700,124420.80000000002
2019-07-01,deposit_invest,511880.SH,buy,200,24776.00256
2019-07-01,deposit_invest,512890.SH,buy,11700,13162.5
2019-07-02,threshold_rebalance,512890.SH,sell,554500,636011.5
2019-07-02,threshold_rebalance,511260.SH,buy,4500,479542.5
2019-07-02,threshold_rebalance,511880.SH,buy,1200,148666.27680000002
2019-08-01,deposit_invest,511880.SH,buy,100,12414.632160000001
2019-08-01,deposit_invest,512890.SH,buy,2400,2755.2
2019-08-02,threshold_rebalance,511260.SH,sell,1800,193636.8
2019-08-02,threshold_rebalance,511880.SH,sell,2500,310396.344
2019-08-02,threshold_rebalance,512890.SH,buy,441300,499992.9
2019-09-02,deposit_invest,512890.SH,buy,20800,23171.2
2019-09-03,threshold_rebalance,512890.SH,sell,451600,506243.6
2019-09-03,threshold_rebalance,511880.SH,buy,2500,311016.306
2019-09-03,threshold_rebalance,511260.SH,buy,1800,194509.80000000002
2019-10-08,deposit_invest,511260.SH,buy,100,10740.0
2019-10-08,deposit_invest,511880.SH,buy,100,12469.237679999998
2019-10-08,deposit_invest,512890.SH,buy,3800,4256.0
2019-10-09,threshold_rebalance,511880.SH,sell,1500,187071.5484
2019-10-09,threshold_rebalance,512890.SH,sell,49700,55813.1
2019-10-09,threshold_rebalance,511260.SH,buy,2300,247484.6
2019-11-01,deposit_invest,511260.SH,buy,100,10670.0
2019-11-01,deposit_invest,512890.SH,buy,100,112.99999999999999
2019-12-02,deposit_invest,511260.SH,buy,100,10755.0
2019-12-02,deposit_invest,512890.SH,buy,500,573.5
2019-12-03,threshold_rebalance,511260.SH,sell,6800,731958.8
2019-12-03,threshold_rebalance,512890.SH,buy,625100,715739.5
2019-12-03,threshold_rebalance,511880.SH,buy,200,25025.45328
2020-01-02,deposit_invest,511880.SH,buy,200,25074.55088
2020-01-03,threshold_rebalance,512890.SH,sell,582400,714604.8
2020-01-03,threshold_rebalance,511260.SH,buy,4800,519844.8
2020-01-03,threshold_rebalance,511880.SH,buy,1400,175549.90992
2020-02-03,deposit_invest,512890.SH,buy,26500,29918.5
2020-02-04,threshold_rebalance,511260.SH,sell,4800,531504.0
2020-02-04,threshold_rebalance,511880.SH,sell,1400,175914.6088
2020-02-04,threshold_rebalance,512890.SH,buy,678100,716751.7
2020-03-02,deposit_invest,511880.SH,buy,100,12594.25964
2020-03-03,threshold_rebalance,512890.SH,sell,668400,782028.0
2020-03-03,threshold_rebalance,511260.SH,buy,5100,569715.9
2020-03-03,threshold_rebalance,511880.SH,buy,1600,201484.10816
2020-04-01,deposit_invest,512890.SH,buy,33900,36374.7
2020-04-02,threshold_rebalance,511260.SH,sell,4900,552769.0
2020-04-02,threshold_rebalance,511880.SH,sell,1500,189212.592
2020-04-02,threshold_rebalance,512890.SH,buy,691800,736075.2000000001
2020-05-06,deposit_invest,511880.SH,buy,200,25256.14888
2020-05-07,threshold_rebalance,512890.SH,sell,691400,768145.4
2020-05-07,threshold_rebalance,511260.SH,buy,5000,571445.0
2020-05-07,threshold_rebalance,511880.SH,buy,1500,189460.5672
2020-06-01,deposit_invest,511260.SH,buy,100,11278.3
2020-06-01,deposit_invest,512890.SH,buy,700,777.7
2020-06-02,threshold_rebalance,511880.SH,sell,1700,214964.69127999997
2020-06-02,threshold_rebalance,512890.SH,sell,65100,73563.0
2020-06-02,threshold_rebalance,511260.SH,buy,2600,292494.8
2020-07-01,deposit_invest,511260.SH,buy,200,22300.0
2020-08-03,deposit_invest,511260.SH,buy,200,22073.6
2020-09-01,deposit_invest,511260.SH,buy,200,21960.0
2020-09-28,threshold_rebalance,511880.SH,sell,2600,330622.3284
2020-09-28,threshold_rebalance,512890.SH,sell,30000,38910.0
2020-09-28,threshold_rebalance,511360.SH,buy,3400,340601.80000000005
2020-09-28,threshold_rebalance,511260.SH,buy,200,22090.600000000002
2020-10-09,deposit_invest,511260.SH,buy,100,11003.0
2020-10-09,deposit_invest,511880.SH,buy,100,12725.385919999999
2020-10-09,deposit_invest,512890.SH,buy,800,1042.3999999999999
2020-10-12,threshold_rebalance,511260.SH,sell,4900,539294.0
2020-10-12,threshold_rebalance,511360.SH,sell,300,30090.0
2020-10-12,threshold_rebalance,511880.SH,sell,1000,127266.3832
2020-10-12,threshold_rebalance,512890.SH,buy,532700,697304.2999999999
2020-11-02,deposit_invest,512890.SH,buy,13200,17186.4
2020-11-03,threshold_rebalance,511360.SH,sell,200,20093.199999999997
2020-11-03,threshold_rebalance,512890.SH,sell,542000,714356.0
2020-11-03,threshold_rebalance,511260.SH,buy,5200,573820.0
2020-11-03,threshold_rebalance,511880.SH,buy,1300,165680.74744
2020-12-01,deposit_invest,511260.SH,buy,200,21936.600000000002
2021-01-04,deposit_invest,511360.SH,buy,200,20345.4
2021-01-05,threshold_rebalance,511260.SH,sell,4100,451155.8
2021-01-05,threshold_rebalance,511360.SH,sell,1600,161700.80000000002
2021-01-05,threshold_rebalance,511880.SH,sell,800,102360.28992
2021-01-05,threshold_rebalance,512890.SH,buy,528600,696694.8
2021-02-01,deposit_invest,512890.SH,buy,21500,27692.0
2021-02-02,threshold_rebalance,511260.SH,sell,4500,497920.5
2021-02-02,threshold_rebalance,511360.SH,buy,2700,273164.39999999997
2021-02-02,threshold_rebalance,512890.SH,buy,136600,177443.4
2021-02-02,threshold_rebalance,511880.SH,buy,300,38450.26632
2021-03-01,deposit_invest,511260.SH,buy,200,22085.4
2021-03-01,deposit_invest,511360.SH,buy,100,10143.300000000001
2021-03-02,threshold_rebalance,511360.SH,sell,100,10149.7
2021-03-02,threshold_rebalance,511880.SH,sell,100,12842.05192
2021-03-02,threshold_rebalance,512890.SH,sell,690000,957719.9999999999
2021-03-02,threshold_rebalance,511260.SH,buy,8700,959044.5
2021-04-01,deposit_invest,511260.SH,buy,200,22200.0
2021-04-01,deposit_invest,511880.SH,buy,100,12863.13232
2021-04-01,deposit_invest,511360.SH,buy,100,10158.5
2021-04-02,threshold_rebalance,511260.SH,sell,4200,465675.0
2021-04-02,threshold_rebalance,511880.SH,buy,2000,257323.97120000003
2021-04-02,threshold_rebalance,511360.SH,buy,1000,101703.0
2021-04-02,threshold_rebalance,512890.SH,buy,69800,99744.2
2021-05-06,deposit_invest,511360.SH,buy,100,10202.0
2021-05-06,deposit_invest,512890.SH,buy,4100,5891.7
2021-06-01,deposit_invest,511260.SH,buy,200,22480.4
2021-06-01,deposit_invest,511360.SH,buy,100,10228.6
2021-07-01,deposit_invest,511880.SH,buy,100,12928.545440000002
2021-07-02,threshold_rebalance,511360.SH,sell,2700,276647.4
2021-07-02,threshold_rebalance,511880.SH,sell,2900,375046.37904
