date,trigger_value,threshold,time_trigger,days_since_rebalance_trade,confirmation_days,execution_month_rebalance_count_before
2013-01-04,1.0,0.1,False,0,1,0
2013-02-01,1.0,0.1,False,20,1,0
2013-03-01,1.0,0.1,False,35,1,0
2013-04-01,1.0,0.1,False,56,1,0
2013-04-18,1.0,0.1,False,67,1,0
2013-04-19,0.12378223665125063,0.1,False,0,1,1
2013-04-22,0.12383533432398165,0.1,False,1,1,1
2013-04-23,0.12389498804078616,0.1,False,2,1,1
2013-04-24,0.12383099811259679,0.1,False,3,1,1
2013-04-25,0.12381907509695189,0.1,False,4,1,1
2013-04-26,0.12375191556283213,0.1,False,5,1,0
2013-05-02,1.0,0.1,False,0,1,1
2013-06-03,1.0,0.1,False,22,1,0
2013-07-01,1.0,0.1,False,39,1,0
2013-08-01,1.0,0.1,False,62,1,0
2013-09-02,1.0,0.1,False,84,1,0
2013-10-08,1.0,0.1,False,103,1,0
2013-11-01,1.0,0.1,False,121,1,0
2013-12-02,1.0,0.1,False,142,1,0
2014-01-02,1.0,0.1,False,164,1,0
2014-02-07,1.0,0.1,False,185,1,0
2014-03-03,1.0,0.1,False,201,1,0
2014-04-01,1.0,0.1,False,222,1,0
2014-05-05,1.0,0.1,False,243,1,0
2014-06-03,1.0,0.1,False,263,1,0
2014-07-01,1.0,0.1,False,283,1,0
2014-08-01,1.0,0.1,False,306,1,0
2014-09-01,1.0,0.1,False,327,1,0
2014-10-08,1.0,0.1,False,348,1,0
2014-11-03,1.0,0.1,False,366,1,0
2014-12-01,1.0,0.1,False,386,1,0
2015-01-05,1.0,0.1,False,409,1,0
2015-02-02,1.0,0.1,False,429,1,0
2015-03-02,1.0,0.1,False,444,1,0
2015-04-01,1.0,0.1,False,466,1,0
2015-05-04,1.0,0.1,False,487,1,0
2015-06-01,1.0,0.1,False,507,1,0
2015-07-01,1.0,0.1,False,528,1,0
2015-08-03,1.0,0.1,False,551,1,0
2015-09-01,1.0,0.1,False,572,1,0
2015-10-08,1.0,0.1,False,592,1,0
2015-11-02,1.0,0.1,False,609,1,0
2015-12-01,1.0,0.1,False,630,1,0
2016-01-04,1.0,0.1,False,653,1,0
2016-02-01,1.0,0.1,False,673,1,0
2016-03-01,1.0,0.1,False,689,1,0
2016-04-01,1.0,0.1,False,712,1,0
2016-05-03,1.0,0.1,False,732,1,0
2016-06-01,1.0,0.1,False,753,1,0
2016-07-01,1.0,0.1,False,773,1,0
2016-08-01,1.0,0.1,False,794,1,0
