left,right,observations,first_date,last_date
510880.SH,510880.SH,3298,2013-01-07,2026-08-05
510880.SH,512890.SH,1827,2019-01-21,2026-08-05
510880.SH,515450.SH,1563,2020-02-27,2026-08-05
510880.SH,511010.SH,3247,2013-03-26,2026-08-05
510880.SH,511260.SH,2169,2017-08-25,2026-08-05
510880.SH,511090.SH,762,2023-06-14,2026-08-05
510880.SH,511360.SH,1417,2020-09-28,2026-08-05
510880.SH,511880.SH,3231,2013-04-19,2026-08-05
512890.SH,510880.SH,1827,2019-01-21,2026-08-05
512890.SH,512890.SH,1827,2019-01-21,2026-08-05
512890.SH,515450.SH,1562,2020-02-27,2026-08-05
512890.SH,511010.SH,1827,2019-01-21,2026-08-05
512890.SH,511260.SH,1827,2019-01-21,2026-08-05
512890.SH,511090.SH,762,2023-06-14,2026-08-05
512890.SH,511360.SH,1416,2020-09-28,2026-08-05
512890.SH,511880.SH,1827,2019-01-21,2026-08-05
515450.SH,510880.SH,1563,2020-02-27,2026-08-05
515450.SH,512890.SH,1562,2020-02-27,2026-08-05
515450.SH,515450.SH,1563,2020-02-27,2026-08-05
515450.SH,511010.SH,1563,2020-02-27,2026-08-05
515450.SH,511260.SH,1563,2020-02-27,2026-08-05
515450.SH,511090.SH,762,2023-06-14,2026-08-05
515450.SH,511360.SH,1417,2020-09-28,2026-08-05
515450.SH,511880.SH,1563,2020-02-27,2026-08-05
511010.SH,510880.SH,3247,2013-03-26,2026-08-05
511010.SH,512890.SH,1827,2019-01-21,2026-08-05
511010.SH,515450.SH,1563,2020-02-27,2026-08-05
511010.SH,511010.SH,3247,2013-03-26,2026-08-05
511010.SH,511260.SH,2169,2017-08-25,2026-08-05
511010.SH,511090.SH,762,2023-06-14,2026-08-05
511010.SH,511360.SH,1417,2020-09-28,2026-08-05
511010.SH,511880.SH,3231,2013-04-19,2026-08-05
511260.SH,510880.SH,2169,2017-08-25,2026-08-05
511260.SH,512890.SH,1827,2019-01-21,2026-08-05
511260.SH,515450.SH,1563,2020-02-27,2026-08-05
511260.SH,511010.SH,2169,2017-08-25,2026-08-05
511260.SH,511260.SH,2169,2017-08-25,2026-08-05
511260.SH,511090.SH,762,2023-06-14,2026-08-05
511260.SH,511360.SH,1417,2020-09-28,2026-08-05
511260.SH,511880.SH,2169,2017-08-25,2026-08-05
511090.SH,510880.SH,762,2023-06-14,2026-08-05
511090.SH,512890.SH,762,2023-06-14,2026-08-05
511090.SH,515450.SH,762,2023-06-14,2026-08-05
511090.SH,511010.SH,762,2023-06-14,2026-08-05
511090.SH,511260.SH,762,2023-06-14,2026-08-05
511090.SH,511090.SH,762,2023-06-14,2026-08-05
511090.SH,511360.SH,762,2023-06-14,2026-08-05
511090.SH,511880.SH,762,2023-06-14,2026-08-05
511360.SH,510880.SH,1417,2020-09-28,2026-08-05
511360.SH,512890.SH,1416,2020-09-28,2026-08-05
511360.SH,515450.SH,1417,2020-09-28,2026-08-05
511360.SH,511010.SH,1417,2020-09-28,2026-08-05
511360.SH,511260.SH,1417,2020-09-28,2026-08-05
511360.SH,511090.SH,762,2023-06-14,2026-08-05
511360.SH,511360.SH,1417,2020-09-28,2026-08-05
511360.SH,511880.SH,1417,2020-09-28,2026-08-05
511880.SH,510880.SH,3231,2013-04-19,2026-08-05
511880.SH,512890.SH,1827,2019-01-21,2026-08-05
511880.SH,515450.SH,1563,2020-02-27,2026-08-05
511880.SH,511010.SH,3231,2013-04-19,2026-08-05
511880.SH,511260.SH,2169,2017-08-25,2026-08-05
511880.SH,511090.SH,762,2023-06-14,2026-08-05
511880.SH,511360.SH,1417,2020-09-28,2026-08-05
511880.SH,511880.SH,3231,2013-04-19,2026-08-05
