date,nav,cash,deposit,return,cash_weight,positions
2013-01-04,0.0,0.0,0.0,,,{}
2013-01-07,0.0,0.0,0.0,,,{}
2013-01-08,0.0,0.0,0.0,,,{}
2013-01-09,0.0,0.0,0.0,,,{}
2013-01-10,0.0,0.0,0.0,,,{}
2013-01-11,0.0,0.0,0.0,,,{}
2013-01-14,0.0,0.0,0.0,,,{}
2013-01-15,0.0,0.0,0.0,,,{}
2013-01-16,0.0,0.0,0.0,,,{}
2013-01-17,0.0,0.0,0.0,,,{}
2013-01-18,0.0,0.0,0.0,,,{}
2013-01-21,0.0,0.0,0.0,,,{}
2013-01-22,0.0,0.0,0.0,,,{}
2013-01-23,0.0,0.0,0.0,,,{}
2013-01-24,0.0,0.0,0.0,,,{}
2013-01-25,0.0,0.0,0.0,,,{}
2013-01-28,0.0,0.0,0.0,,,{}
2013-01-29,0.0,0.0,0.0,,,{}
2013-01-30,0.0,0.0,0.0,,,{}
2013-01-31,0.0,0.0,0.0,,,{}
2013-02-01,0.0,0.0,0.0,,,{}
2013-02-04,0.0,0.0,0.0,,,{}
2013-02-05,0.0,0.0,0.0,,,{}
2013-02-06,0.0,0.0,0.0,,,{}
2013-02-07,0.0,0.0,0.0,,,{}
2013-02-08,0.0,0.0,0.0,,,{}
2013-02-18,0.0,0.0,0.0,,,{}
2013-02-19,0.0,0.0,0.0,,,{}
2013-02-20,0.0,0.0,0.0,,,{}
2013-02-21,0.0,0.0,0.0,,,{}
2013-02-22,0.0,0.0,0.0,,,{}
2013-02-25,0.0,0.0,0.0,,,{}
2013-02-26,0.0,0.0,0.0,,,{}
2013-02-27,0.0,0.0,0.0,,,{}
2013-02-28,0.0,0.0,0.0,,,{}
2013-03-01,0.0,0.0,0.0,,,{}
2013-03-04,0.0,0.0,0.0,,,{}
2013-03-05,0.0,0.0,0.0,,,{}
2013-03-06,0.0,0.0,0.0,,,{}
2013-03-07,0.0,0.0,0.0,,,{}
2013-03-08,0.0,0.0,0.0,,,{}
2013-03-11,0.0,0.0,0.0,,,{}
2013-03-12,0.0,0.0,0.0,,,{}
2013-03-13,0.0,0.0,0.0,,,{}
2013-03-14,0.0,0.0,0.0,,,{}
2013-03-15,0.0,0.0,0.0,,,{}
2013-03-18,0.0,0.0,0.0,,,{}
2013-03-19,0.0,0.0,0.0,,,{}
2013-03-20,0.0,0.0,0.0,,,{}
2013-03-21,0.0,0.0,0.0,,,{}
2013-03-22,0.0,0.0,0.0,,,{}
2013-03-25,0.0,0.0,0.0,,,{}
2013-03-26,0.0,0.0,0.0,,,{}
2013-03-27,0.0,0.0,0.0,,,{}
2013-03-28,0.0,0.0,0.0,,,{}
2013-03-29,0.0,0.0,0.0,,,{}
2013-04-01,0.0,0.0,0.0,,,{}
2013-04-02,0.0,0.0,0.0,,,{}
2013-04-03,0.0,0.0,0.0,,,{}
2013-04-08,0.0,0.0,0.0,,,{}
2013-04-09,0.0,0.0,0.0,,,{}
2013-04-10,0.0,0.0,0.0,,,{}
2013-04-11,0.0,0.0,0.0,,,{}
2013-04-12,0.0,0.0,0.0,,,{}
2013-04-15,0.0,0.0,0.0,,,{}
2013-04-16,0.0,0.0,0.0,,,{}
2013-04-17,0.0,0.0,0.0,,,{}
2013-04-18,19989.0924,9979.7924,20000.0,,0.49926190745909,{'511880.SH': 0.50073809254091}
2013-04-19,19993.0924,9979.7924,0.0,0.00020010913552037657,0.49916202057866743,{'511880.SH': 0.5008379794213325}
2013-04-22,19988.1924,9979.7924,0.0,-0.00024508464733552504,0.4992843875167021,{'511880.SH': 0.5007156124832979}
2013-04-23,19982.6924,9979.7924,0.0,-0.00027516245040748455,0.49942180964563115,{'511880.SH': 0.5005781903543689}
2013-04-24,19988.5924,9979.7924,0.0,0.00029525550821185576,0.49927439613006463,{'511880.SH': 0.5007256038699353}
2013-04-25,19992.0803,9963.1803,0.0,0.00017449452818896205,0.4983563566418848,{'511010.SH': 0.5016436433581151}
2013-04-26,19998.8803,9963.1803,0.0,0.0003401346882345724,0.49818690599393206,{'511010.SH': 0.501813094006068}
2013-05-02,40012.880300000004,29963.1803,20000.0,0.0007000391916942572,0.7488383759266637,{'511010.SH': 0.2511616240733362}
2013-05-03,39985.821200000006,9834.921200000004,0.0,-0.0006762597392919734,0.2459602155175946,{'511010.SH': 0.7540397844824054}
2013-05-06,39979.2212,9834.921200000004,0.0,-0.00016505850828962831,0.2460008200459894,{'511010.SH': 0.7539991799540107}
2013-05-07,39993.921200000004,9834.921200000004,0.0,0.00036769100444611347,0.24591040100364062,{'511010.SH': 0.7540895989963594}
2013-05-08,39990.921200000004,9834.921200000004,0.0,-7.501139948240532e-05,0.24592884847073748,{'511010.SH': 0.7540711515292625}
2013-05-09,39990.62120000001,9834.921200000004,0.0,-7.501702661394383e-06,0.24593069336967444,{'511010.SH': 0.7540693066303255}
2013-05-10,40000.5212,9834.921200000004,0.0,0.00024755804493459266,0.2458698263161632,{'511010.SH': 0.754130173683837}
2013-05-13,39991.2212,9834.921200000004,0.0,-0.00023249697056459961,0.24592700359948008,{'511010.SH': 0.7540729964005201}
2013-05-14,39988.821200000006,9834.921200000004,0.0,-6.001317109050053e-05,0.245941763344602,{'511010.SH': 0.7540582366553981}
2013-05-15,39977.12120000001,9834.921200000004,0.0,-0.00029258176782653855,0.2460137424802865,{'511010.SH': 0.7539862575197134}
2013-05-16,39940.2212,9834.921200000004,0.0,-0.000923027944293553,0.24624102983185292,{'511010.SH': 0.7537589701681472}
2013-05-17,39971.7212,9834.921200000004,0.0,0.0007886786565918236,0.24604697783191795,{'511010.SH': 0.7539530221680821}
2013-05-20,39963.321200000006,9834.921200000004,0.0,-0.00021014856873347032,0.24609869512046467,{'511010.SH': 0.7539013048795352}
2013-05-21,39939.921200000004,9834.921200000004,0.0,-0.0005855369197893534,0.24624287941759893,{'511010.SH': 0.7537571205824011}
2013-05-22,39946.2212,9834.921200000004,0.0,0.00015773691611586926,0.24620404395097087,{'511010.SH': 0.7537959560490293}
2013-05-23,39944.12120000001,9834.921200000004,0.0,-5.257067970154683e-05,0.2462169877453707,{'511010.SH': 0.7537830122546292}
2013-05-24,39948.921200000004,9834.921200000004,0.0,0.00012016787091062575,0.24618740392919555,{'511010.SH': 0.7538125960708044}
2013-05-27,39980.1212,9834.921200000004,0.0,0.0007809973101351453,0.24599528227543252,{'511010.SH': 0.7540047177245675}
2013-05-28,39981.921200000004,9834.921200000004,0.0,4.502237476966542e-05,0.24598420748225583,{'511010.SH': 0.7540157925177442}
2013-05-29,39980.421200000004,9834.921200000004,0.0,-3.751695653886333e-05,0.24599343640731838,{'511010.SH': 0.7540065635926816}
2013-05-30,39988.2212,9834.921200000004,0.0,0.00019509549339113974,0.24594545355770925,{'511010.SH': 0.7540545464422909}
2013-05-31,39985.821200000006,9834.921200000004,0.0,-6.0017673404133554e-05,0.2459602155175946,{'511010.SH': 0.7540397844824054}
2013-06-03,59981.79676,29834.921200000004,20000.0,-0.00010064667622755596,0.4973995914023034,{'511010.SH': 0.5026004085976966}
2013-06-04,59751.96818474001,32.968184740013385,0.0,-0.003831638724988151,0.0005517506074123444,{'510880.SH': 0.9994482493925877}
2013-06-05,59202.968184740006,32.968184740013385,0.0,-0.009187981863670536,0.0005568670921555445,{'510880.SH': 0.9994431329078445}
2013-06-06,58592.96818474001,32.968184740013385,0.0,-0.010303537452658107,0.000562664527184674,{'510880.SH': 0.9994373354728153}
