date,asset,side,shares,notional
2013-04-18,511880.SH,buy,100,10015.2
2013-04-25,511880.SH,sell,100,10008.8
2013-04-25,511010.SH,buy,100,10015.4
2013-05-03,511010.SH,buy,200,20118.199999999997
2013-06-04,511010.SH,sell,300,30145.070519999997
2013-06-04,510880.SH,buy,30500,59902.0
2013-07-02,510880.SH,sell,30500,51697.5
2013-07-02,511880.SH,buy,700,70508.2
2013-08-02,511880.SH,buy,200,20252.0
2013-09-03,511880.SH,sell,900,91468.8
2013-09-03,510880.SH,buy,63200,112180.0
2013-10-09,510880.SH,buy,10900,20056.0
2013-11-04,510880.SH,sell,74100,135603.0
2013-11-04,511880.SH,buy,1500,153585.0
2013-12-03,511880.SH,buy,200,20555.8
2014-01-03,511880.SH,buy,200,20650.6
2014-02-10,511880.SH,sell,1900,197452.56000000003
2014-02-10,511010.SH,buy,2200,214140.92039999997
2014-03-04,511010.SH,buy,200,19619.18032
2014-04-02,511010.SH,sell,2400,234558.93119999996
2014-04-02,511880.SH,buy,2400,250899.84
2014-05-06,511880.SH,sell,2400,251850.9312
2014-05-06,511010.SH,buy,2800,277414.59199999995
2014-06-04,511010.SH,buy,200,20053.994399999996
2014-07-02,511010.SH,sell,3000,300196.20239999995
2014-07-02,510880.SH,buy,188500,321472.1429889299
2014-08-04,510880.SH,buy,10800,20020.66439114391
2014-09-02,510880.SH,sell,199300,372763.3473708487
2014-09-02,511880.SH,buy,3600,382977.6768
2014-10-09,511880.SH,sell,3600,385102.7712
2014-10-09,510880.SH,buy,209000,414104.3865313653
2014-11-04,510880.SH,sell,209000,425161.6240774908
2014-11-04,511010.SH,buy,4300,444420.4026
2014-12-02,511010.SH,sell,4300,449357.6884
2014-12-02,510880.SH,buy,206900,469181.44215867156
2015-01-06,510880.SH,buy,7000,19823.980627306275
2015-02-03,510880.SH,sell,213900,552829.8777675277
2015-02-03,511010.SH,buy,5400,570926.93184
2015-03-03,511010.SH,sell,5400,576033.39
2015-03-03,511880.SH,buy,5500,596529.3015
2015-04-02,511880.SH,sell,5500,598652.87625
2015-04-02,510880.SH,buy,192200,618355.6273062731
2015-05-05,510880.SH,buy,5300,20046.7977398524
2015-06-02,510880.SH,buy,4900,19915.85562730627
2015-07-02,510880.SH,sell,202400,719327.5461254613
2015-07-02,511880.SH,buy,6700,735551.55045
2015-08-04,511880.SH,sell,6700,737915.06925
2015-08-04,511010.SH,buy,7000,756712.8799999999
2015-09-02,511010.SH,buy,200,21881.095999999998
2015-10-09,511010.SH,sell,7200,784749.9528
2015-10-09,511880.SH,buy,7200,796042.08
2015-11-03,511880.SH,sell,7200,797614.0308
2015-11-03,510880.SH,buy,281900,826527.4192804429
2015-12-02,510880.SH,buy,6700,19967.65336715867
2016-01-05,510880.SH,sell,288600,841838.7453874539
2016-01-05,511010.SH,buy,7700,853687.22131
2016-02-02,511010.SH,sell,7700,855775.79087
2016-02-02,511880.SH,buy,7900,881201.66771
2016-03-02,511880.SH,buy,100,11174.56602
2016-04-05,511880.SH,sell,8000,895974.512
2016-04-05,511010.SH,buy,8100,916070.2314299999
2016-05-04,511010.SH,sell,8100,907847.6274
2016-05-04,511880.SH,buy,8300,931455.2093599999
2016-06-02,511880.SH,buy,200,22484.04386
2016-07-04,511880.SH,sell,8500,957753.9016
2016-07-04,511010.SH,buy,8600,974158.3952
2016-08-02,511010.SH,sell,8600,980033.6357
2016-08-02,510880.SH,buy,364100,1003494.1962177121
2016-09-02,510880.SH,buy,7000,19951.58856088561
2016-10-11,510880.SH,sell,371100,1056500.645894834
2016-10-11,511880.SH,buy,9400,1066297.9065
2016-11-02,511880.SH,sell,9400,1067906.62438
2016-11-02,510880.SH,buy,376700,1095945.7508302585
2016-12-02,510880.SH,buy,6400,19768.578597785978
2017-01-04,510880.SH,sell,383100,1127983.8777675277
2017-01-04,511880.SH,buy,10000,1140969.955
2017-02-06,511880.SH,sell,10000,1143590.805
