date,reason,asset,side,shares,notional
2013-01-04,deposit_invest,510880.SH,buy,1200,2282.4
2013-02-01,deposit_invest,510880.SH,buy,1000,2081.0
2013-02-04,rebalance,510880.SH,sell,100,215.39999999999998
2013-03-01,deposit_invest,510880.SH,buy,1300,2658.5
2013-04-01,deposit_invest,510880.SH,buy,1400,2662.8
2013-04-02,rebalance,511010.SH,buy,100,9995.2
2013-05-02,deposit_invest,510880.SH,buy,1300,2438.7999999999997
2013-05-03,rebalance,511010.SH,sell,100,10059.099999999999
2013-05-03,rebalance,511880.SH,buy,700,70147.0
2013-05-03,rebalance,510880.SH,buy,3200,6035.200000000001
2013-06-03,deposit_invest,511880.SH,buy,200,20080.0
2013-06-03,deposit_invest,510880.SH,buy,1400,2763.6
2013-06-04,rebalance,510880.SH,sell,7200,14140.8
2013-06-04,rebalance,511880.SH,sell,100,10045.0
2013-06-04,rebalance,511010.SH,buy,200,20096.71368
2013-07-01,deposit_invest,511880.SH,buy,200,20138.0
2013-07-01,deposit_invest,510880.SH,buy,1200,2028.0
2013-07-02,rebalance,511010.SH,sell,100,10047.955719999998
2013-07-02,rebalance,511880.SH,sell,100,10072.6
2013-07-02,rebalance,510880.SH,buy,9600,16272.0
2013-08-01,deposit_invest,511880.SH,buy,100,10122.5
2013-08-01,deposit_invest,511010.SH,buy,100,9967.932279999999
2013-08-01,deposit_invest,510880.SH,buy,2300,3836.3999999999996
2013-08-02,rebalance,510880.SH,sell,11200,19006.4
2013-08-02,rebalance,511880.SH,buy,100,10126.0
2013-08-02,rebalance,511010.SH,buy,100,9982.873999999998
2013-09-02,deposit_invest,511880.SH,buy,200,20323.2
2013-09-02,deposit_invest,510880.SH,buy,500,885.0
2013-09-03,rebalance,510880.SH,sell,100,177.5
2013-10-08,deposit_invest,511880.SH,buy,100,10203.3
2013-10-08,deposit_invest,511010.SH,buy,100,9841.57948
2013-10-08,deposit_invest,510880.SH,buy,600,1092.0
2013-10-09,rebalance,510880.SH,sell,100,184.0
2013-11-01,deposit_invest,511880.SH,buy,200,20472.2
2013-11-01,deposit_invest,510880.SH,buy,700,1267.0
2013-12-02,deposit_invest,511880.SH,buy,100,10276.5
2013-12-02,deposit_invest,510880.SH,buy,600,1096.8
2014-01-02,deposit_invest,511880.SH,buy,100,10318.1
2014-01-02,deposit_invest,511010.SH,buy,100,9648.239639999998
2014-01-02,deposit_invest,510880.SH,buy,1100,1911.8
2014-01-03,rebalance,511010.SH,sell,200,19273.41488
2014-01-03,rebalance,511880.SH,sell,100,10325.3
2014-01-03,rebalance,510880.SH,buy,17600,30324.800000000003
2014-02-07,deposit_invest,511880.SH,buy,100,10389.144
2014-02-07,deposit_invest,510880.SH,buy,2900,4843.441420664207
2014-02-10,rebalance,511010.SH,sell,200,19467.356399999997
2014-02-10,rebalance,511880.SH,buy,200,20784.480000000003
2014-02-10,rebalance,510880.SH,buy,400,671.7953874538745
2014-03-03,deposit_invest,511880.SH,buy,200,20838.144
2014-03-03,deposit_invest,511010.SH,buy,100,9817.412
2014-03-03,deposit_invest,510880.SH,buy,1900,3218.621909594096
2014-03-04,rebalance,510880.SH,sell,21100,35874.973293357936
2014-03-04,rebalance,511880.SH,buy,100,10421.2392
2014-03-04,rebalance,511010.SH,buy,200,19619.18032
2014-04-01,deposit_invest,511880.SH,buy,100,10451.8896
2014-04-01,deposit_invest,510880.SH,buy,900,1503.1369926199263
2014-04-02,rebalance,511880.SH,sell,300,31362.48
2014-04-02,rebalance,510880.SH,buy,22100,37047.91808118081
2014-05-05,deposit_invest,511880.SH,buy,100,10492.2408
2014-05-05,deposit_invest,510880.SH,buy,2200,3690.3102398523984
2014-05-06,rebalance,511010.SH,sell,200,19815.327999999998
2014-05-06,rebalance,511880.SH,buy,200,20987.5776
2014-05-06,rebalance,510880.SH,buy,600,1006.4482472324722
2014-06-03,deposit_invest,511880.SH,buy,200,21050.736
2014-06-03,deposit_invest,510880.SH,buy,2000,3379.724169741697
2014-06-04,rebalance,510880.SH,buy,100,168.36379151291513
2014-07-01,deposit_invest,511880.SH,buy,100,10564.7904
2014-07-01,deposit_invest,510880.SH,buy,1700,2906.272324723247
2014-07-02,rebalance,510880.SH,sell,26900,45875.86549815498
2014-07-02,rebalance,511010.SH,buy,500,50032.700399999994
2014-08-01,deposit_invest,511880.SH,buy,100,10604.4192
2014-08-01,deposit_invest,511010.SH,buy,100,9949.781599999998
2014-08-04,rebalance,510880.SH,sell,300,556.1295664206642
2014-09-01,deposit_invest,511880.SH,buy,200,21271.171200000004
2014-09-01,deposit_invest,510880.SH,buy,500,934.6628228782288
2014-09-02,rebalance,511010.SH,sell,300,30093.025199999996
2014-09-02,rebalance,511880.SH,sell,200,21276.5376
2014-09-02,rebalance,510880.SH,buy,26800,50125.72859778598
2014-10-08,deposit_invest,511880.SH,buy,100,10691.52
2014-10-08,deposit_invest,510880.SH,buy,300,591.2961254612546
2014-10-09,rebalance,510880.SH,sell,26800,53100.466789667895
2014-10-09,rebalance,511880.SH,buy,500,53486.496
2014-10-09,rebalance,511010.SH,buy,100,10136.3024
2014-11-03,deposit_invest,511880.SH,buy,200,21416.064000000002
2014-11-03,deposit_invest,510880.SH,buy,200,407.68311808118085
2014-11-04,rebalance,510880.SH,buy,100,203.42661439114394
2014-12-01,deposit_invest,511880.SH,buy,200,21483.144
2014-12-02,rebalance,510880.SH,sell,800,1814.1380073800735
2015-01-05,deposit_invest,511880.SH,buy,200,21556.246499999997
2015-01-06,rebalance,510880.SH,sell,2100,5947.194188191882
2015-01-06,rebalance,511880.SH,sell,100,10777.047749999998
2015-02-02,deposit_invest,511880.SH,buy,200,21607.4403
2015-02-02,deposit_invest,511010.SH,buy,100,10569.512
2015-02-02,deposit_invest,510880.SH,buy,1300,3440.742619926199
2015-02-03,rebalance,511010.SH,sell,400,42290.883839999995
2015-02-03,rebalance,511880.SH,sell,300,32419.549349999998
2015-02-03,rebalance,510880.SH,buy,25500,65905.38514760148
2015-03-02,deposit_invest,511880.SH,buy,200,21683.3706
2015-03-02,deposit_invest,510880.SH,buy,200,538.5678044280443
2015-03-03,rebalance,510880.SH,sell,200,541.7850553505535
2015-04-01,deposit_invest,511880.SH,buy,200,21764.8935
2015-04-02,rebalance,510880.SH,sell,26700,85900.59963099631
2015-04-02,rebalance,511010.SH,buy,800,84588.98783999999
2015-05-04,deposit_invest,511880.SH,buy,200,21837.3822
2015-05-05,rebalance,510880.SH,sell,1000,3782.4146678966795
2015-05-05,rebalance,511010.SH,sell,300,32204.921999999995
2015-05-05,rebalance,511880.SH,buy,400,43665.299999999996
2015-06-01,deposit_invest,511880.SH,buy,100,10944.0729
2015-06-01,deposit_invest,510880.SH,buy,400,1507.3892988929888
2015-06-02,rebalance,510880.SH,sell,1000,4064.4603321033205
2015-06-02,rebalance,511880.SH,sell,400,43777.152
2015-06-02,rebalance,511010.SH,buy,400,42426.4624
2015-07-01,deposit_invest,511880.SH,buy,100,10976.3379
2015-07-01,deposit_invest,510880.SH,buy,1000,3774.9077490774907
2015-07-02,rebalance,511010.SH,sell,400,42542.7872
2015-07-02,rebalance,511880.SH,sell,300,32935.144049999995
2015-07-02,rebalance,510880.SH,buy,23200,82452.56457564577
2015-08-03,deposit_invest,511880.SH,buy,100,11013.01245
2015-08-03,deposit_invest,510880.SH,buy,4200,13539.478782287822
2015-08-04,rebalance,510880.SH,sell,12600,41483.23339483395
2015-08-04,rebalance,511010.SH,sell,400,43240.73599999999
2015-08-04,rebalance,511880.SH,buy,800,88109.26199999999
2015-09-01,deposit_invest,510880.SH,buy,4700,13256.146217712176
2015-09-02,rebalance,511880.SH,sell,400,44136.369
2015-09-02,rebalance,510880.SH,buy,15300,42463.85147601476
2015-10-08,deposit_invest,511880.SH,buy,200,22109.9139
2015-10-08,deposit_invest,510880.SH,buy,1600,4402.915129151292
2015-10-09,rebalance,510880.SH,sell,500,1368.4040590405905
2015-10-09,rebalance,511880.SH,sell,500,55280.7
2015-10-09,rebalance,511010.SH,buy,400,43597.2196
2015-11-02,deposit_invest,511880.SH,buy,200,22154.224499999997
2015-11-02,deposit_invest,511010.SH,buy,100,11012.154050000001
2015-11-03,rebalance,510880.SH,sell,31200,91478.02583025831
2015-11-03,rebalance,511880.SH,buy,800,88623.7812
2015-12-01,deposit_invest,511880.SH,buy,200,22192.942499999997
2015-12-01,deposit_invest,510880.SH,buy,100,300.16951107011073
2015-12-02,rebalance,510880.SH,sell,100,298.0246771217712
2015-12-02,rebalance,511880.SH,sell,500,55503.328499999996
2015-12-02,rebalance,511010.SH,buy,500,54923.12465
2016-01-04,deposit_invest,511880.SH,buy,100,11127.669160000001
2016-01-05,rebalance,511010.SH,sell,1000,110868.47030000002
2016-01-05,rebalance,511880.SH,buy,100,11124.112999999998
2016-01-05,rebalance,510880.SH,buy,33500,97718.63468634688
2016-02-01,deposit_invest,510880.SH,buy,9500,23094.60954797048
2016-02-02,rebalance,510880.SH,buy,1000,2388.3238007380073
2016-03-01,deposit_invest,511880.SH,buy,100,11173.23246
2016-03-01,deposit_invest,510880.SH,buy,1100,2650.032426199262
2016-03-02,rebalance,510880.SH,sell,400,971.0911439114391
2016-04-01,deposit_invest,511880.SH,buy,300,33594.37674
