rank,strategy,description,signal_count,annualized_return,volatility,sharpe,max_drawdown,sortino,calmar,worst_calendar_return,best_calendar_return,final_nav,total_deposits,trades,traded_notional,estimated_transaction_cost,meets_5pct_return_floor,delta_annualized_return_vs_fixed_baseline,delta_volatility_vs_fixed_baseline,delta_sharpe_vs_fixed_baseline,delta_max_drawdown_vs_fixed_baseline,delta_sortino_vs_fixed_baseline,delta_calmar_vs_fixed_baseline
1,monthly_first_close,月初收盘计算目标，次日开盘再平衡；入金当日按旧目标买入,164,0.05753922603026873,0.04236865833749461,1.3417264530310276,-0.05067061788515548,1.828480512180757,1.135554063316948,0.015151898262558472,0.14094480257977926,5037039.8068872895,3280000.0,1178,122485052.76019663,61242.526380098316,True,0.005779621903569954,-0.0003330653566670991,0.13846737149550115,0.0039636189307838965,0.2705456389461638,0.18817002094302648
2,monthly_day_05_close,每月第5个交易日收盘计算，下一交易日开盘再平衡,163,0.05741452038733885,0.04483043327631435,1.2678340804221293,-0.05649171135847464,1.619727338461603,1.0163352995806487,0.004852431180351724,0.13017335994854085,4888371.368077375,3280000.0,1187,109422910.33957425,54711.45516978713,True,0.005654916260640075,0.002128709582152638,0.0645749988866029,-0.0018574745425352646,0.061792465227009874,0.06895125720672712
3,monthly_day_20_close,每月第20个交易日收盘计算，下一交易日开盘再平衡；不足20日则该月不调,117,0.055126967300399565,0.043367397202907165,1.2591729857020932,-0.062357311682904704,1.597063750612519,0.8840497739980773,0.016620918256069483,0.14458167559425195,4945722.6677572355,3280000.0,965,89439869.73572132,44719.93486786066,True,0.003367363173700788,0.0006656735087454541,0.05591390416656683,-0.007723074866965329,0.0391288773779257,-0.06333426837584433
4,monthly_last_close,月末收盘计算目标，下一交易日开盘再平衡，通常与次月入金同步,164,0.055017798150903685,0.04438163847250994,1.2290282327560877,-0.05605624216942007,1.6579206685953232,0.9814749619609201,0.011326474532175723,0.18588921124673963,5014963.260744235,3280000.0,824,116048697.96290949,58024.34898145474,True,0.003258194024204908,0.0016799147783482307,0.025769151220561337,-0.0014220053534806931,0.09998579536072993,0.0340909195869985
5,monthly_day_10_close,每月第10个交易日收盘计算，下一交易日开盘再平衡,163,0.05451712272889675,0.044189693160982126,1.2234753349198773,-0.05483594179185136,1.528091437552579,0.9941859471628153,0.0051311810192642415,0.1331112394201075,4845447.10582943,3280000.0,1228,115086447.06735244,57543.223533676224,True,0.0027575186021979725,0.0014879694668204144,0.020216253384350846,-0.0002017049759119871,-0.029843435682014308,0.04680190478889368
6,every_10_trading_days,每10个交易日收盘计算，下一交易日开盘再平衡,328,0.05225461279155219,0.042618639068949644,1.2165659134048459,-0.062185753366390095,1.5452187356418363,0.8402987816787398,0.0067449142782802785,0.1563811951855032,4854843.498118613,3280000.0,1886,165623182.38906676,82811.59119453338,True,0.0004950086648534135,-8.308462521206678e-05,0.013306831869319469,-0.007551516550450721,-0.012716137592756915,-0.10708526069518176
7,quarterly_last_close,每季最后交易日收盘计算，下一交易日开盘再平衡,55,0.055185018888754156,0.04543015576235326,1.2051828142987857,-0.06785789770239659,1.6310001410703419,0.8132438633860763,0.01391371881951109,0.19558970573564416,5111365.055713241,3280000.0,509,39091275.15949941,19545.637579749702,True,0.0034254147620553788,0.0027284320681915455,0.0019237327632593004,-0.013223660886457211,0.07306526783574863,-0.13414017898784525
8,fixed_baseline_monthly_rebalanced,固定35/40/15/10；入金当日买入，月初收盘后完整再平衡,164,0.05175960412669878,0.04270172369416171,1.2032590815355264,-0.054634236815939374,1.5579348732345932,0.9473840423739216,0.005503706938601249,0.13960609207469754,4725309.533769947,3280000.0,830,10300336.649997048,5150.168324998524,True,0.0,0.0,0.0,0.0,0.0,0.0
9,weekly_last_close,每周最后交易日收盘计算，下一交易日开盘再平衡,697,0.052145862040921864,0.04327262109895365,1.1964393953035817,-0.06874385375751069,1.5119245485091881,0.7585530806123102,-0.0002419079883628772,0.14553346249781174,4880830.156129033,3280000.0,3036,245763643.16306618,122881.82158153309,True,0.0003862579142230871,0.0005708974047919368,-0.006819686231944733,-0.014109616941571312,-0.046010324725405116,-0.1888309617616114
10,target_change_10pct,每日观察；目标组合单边变化达到10%才再平衡,277,0.050338280728914775,0.0421392623816359,1.1866630851957132,-0.06822388614955055,1.5127988091869553,0.7378395393450685,0.010283886184383695,0.13997780554579298,4685652.281265528,3280000.0,2364,272104573.9435864,136052.28697179322,True,-0.0014213233977840023,-0.000562461312525811,-0.016595996339813235,-0.013589649333611176,-0.045136064047637925,-0.20954450302885308
11,monthly_day_15_close,每月第15个交易日收盘计算，下一交易日开盘再平衡,162,0.052785543069700847,0.04522765751256028,1.1600819619382028,-0.058850772192842404,1.433809274988362,0.8969388353432816,0.007881911308914136,0.15062759683555393,4799622.220435407,3280000.0,1232,111324960.71384907,55662.480356924534,True,0.0010259389430020693,0.002525933818398572,-0.04317711959732362,-0.00421653537690303,-0.12412559824623126,-0.05044520703064004
12,fixed_baseline_buy_only,固定35/40/15/10；月初入金当日开盘只买不卖，不主动再平衡,0,0.04757640646765626,0.04266782097286256,1.1107732229394058,-0.06822388614955055,1.3830429781346572,0.697357027762478,0.008162681574178876,0.11888289340686997,4535711.625862476,3280000.0,288,3269741.8947527306,1634.8709473763654,False,-0.004183197659042515,-3.390272129915467e-05,-0.09248585859612057,-0.013589649333611176,-0.17489189509993608,-0.2500270146114436
13,target_change_20pct,每日观察；目标组合单边变化达到20%才再平衡,0,0.04757640646765626,0.04266782097286256,1.1107732229394058,-0.06822388614955055,1.3830429781346572,0.697357027762478,0.008162681574178876,0.11888289340686997,4535711.625862476,3280000.0,288,3269741.8947527306,1634.8709473763654,False,-0.004183197659042515,-3.390272129915467e-05,-0.09248585859612057,-0.013589649333611176,-0.17489189509993608,-0.2500270146114436
14,monthly_plus_target_change_10pct,月初必调；月内目标组合单边变化达到10%追加再平衡,547,0.047553827135986326,0.04308532237232851,1.0999213852385545,-0.06567649645788065,1.3750938707079077,0.7240615699785894,-0.00014008479672289464,0.14267713458297293,4685404.858452225,3280000.0,3314,326539752.5303472,163269.8762651736,False,-0.004205776990712451,0.0003835986781667994,-0.10333769629697187,-0.011042259641941277,-0.18284100252668556,-0.2233224723953322
15,target_change_05pct,每日观察；目标组合单边变化达到5%才再平衡,906,0.047733698869969254,0.0436480039591959,1.0902291283254981,-0.05787877774747485,1.3774025600898885,0.8247185018009782,-0.000339934386667351,0.14141652488678758,4694251.775997957,3280000.0,5249,445489429.86302775,222744.71493151388,False,-0.004025905256729523,0.0009462802650341898,-0.11302995321002829,-0.003244540931535478,-0.18053231314470475,-0.12266554057294343
16,daily_close,每日收盘计算，下一交易日开盘再平衡,3299,0.04446391234262026,0.044311966486794495,1.0040064353770615,-0.06416409170867932,1.245105538768402,0.6929718968749267,-0.003650191189830454,0.14115593557167294,4586113.11089027,3280000.0,10408,531135132.2874897,265567.56614374486,False,-0.007295691784078517,0.0016102427926327836,-0.19925264615846494,-0.009529854892739942,-0.3128293344661912,-0.25441214549899493
