date,asset,target_weight
2013-01-04,512890.SH,0.35
2013-01-04,511260.SH,0.4
2013-01-04,511360.SH,0.15
2013-01-04,511880.SH,0.1
2013-02-01,512890.SH,0.35
2013-02-01,511260.SH,0.4
2013-02-01,511360.SH,0.15
2013-02-01,511880.SH,0.1
2013-03-01,512890.SH,0.35
2013-03-01,511260.SH,0.4
2013-03-01,511360.SH,0.15
2013-03-01,511880.SH,0.1
2013-04-01,512890.SH,0.35
2013-04-01,511260.SH,0.4
2013-04-01,511360.SH,0.15
2013-04-01,511880.SH,0.1
2013-05-02,512890.SH,0.35
2013-05-02,511260.SH,0.4
2013-05-02,511360.SH,0.15
2013-05-02,511880.SH,0.1
2013-06-03,512890.SH,0.35
2013-06-03,511260.SH,0.4
2013-06-03,511360.SH,0.15
2013-06-03,511880.SH,0.1
2013-07-01,512890.SH,0.35
2013-07-01,511260.SH,0.4
2013-07-01,511360.SH,0.15
2013-07-01,511880.SH,0.1
2013-08-01,512890.SH,0.35
2013-08-01,511260.SH,0.4
2013-08-01,511360.SH,0.15
2013-08-01,511880.SH,0.1
2013-09-02,512890.SH,0.35
2013-09-02,511260.SH,0.4
2013-09-02,511360.SH,0.15
2013-09-02,511880.SH,0.1
2013-10-08,512890.SH,0.35
2013-10-08,511260.SH,0.4
2013-10-08,511360.SH,0.15
2013-10-08,511880.SH,0.1
2013-11-01,512890.SH,0.35
2013-11-01,511260.SH,0.4
2013-11-01,511360.SH,0.15
2013-11-01,511880.SH,0.1
2013-12-02,512890.SH,0.35
2013-12-02,511260.SH,0.4
2013-12-02,511360.SH,0.15
2013-12-02,511880.SH,0.1
2014-01-02,512890.SH,0.35
2014-01-02,511260.SH,0.4
2014-01-02,511360.SH,0.15
2014-01-02,511880.SH,0.1
2014-02-07,512890.SH,0.35
2014-02-07,511260.SH,0.4
2014-02-07,511360.SH,0.15
2014-02-07,511880.SH,0.1
2014-03-03,512890.SH,0.35
2014-03-03,511260.SH,0.4
2014-03-03,511360.SH,0.15
2014-03-03,511880.SH,0.1
2014-04-01,512890.SH,0.35
2014-04-01,511260.SH,0.4
2014-04-01,511360.SH,0.15
2014-04-01,511880.SH,0.1
2014-05-05,512890.SH,0.35
2014-05-05,511260.SH,0.4
2014-05-05,511360.SH,0.15
2014-05-05,511880.SH,0.1
2014-06-03,512890.SH,0.35
2014-06-03,511260.SH,0.4
2014-06-03,511360.SH,0.15
2014-06-03,511880.SH,0.1
2014-07-01,512890.SH,0.35
2014-07-01,511260.SH,0.4
2014-07-01,511360.SH,0.15
2014-07-01,511880.SH,0.1
2014-08-01,512890.SH,0.35
2014-08-01,511260.SH,0.4
2014-08-01,511360.SH,0.15
2014-08-01,511880.SH,0.1
2014-09-01,512890.SH,0.35
2014-09-01,511260.SH,0.4
2014-09-01,511360.SH,0.15
2014-09-01,511880.SH,0.1
2014-10-08,512890.SH,0.35
2014-10-08,511260.SH,0.4
2014-10-08,511360.SH,0.15
2014-10-08,511880.SH,0.1
2014-11-03,512890.SH,0.35
2014-11-03,511260.SH,0.4
2014-11-03,511360.SH,0.15
2014-11-03,511880.SH,0.1
2014-12-01,512890.SH,0.35
2014-12-01,511260.SH,0.4
2014-12-01,511360.SH,0.15
2014-12-01,511880.SH,0.1
2015-01-05,512890.SH,0.35
2015-01-05,511260.SH,0.4
2015-01-05,511360.SH,0.15
2015-01-05,511880.SH,0.1
2015-02-02,512890.SH,0.35
2015-02-02,511260.SH,0.4
