date,nav,cash,deposit,return,cash_weight,positions
2013-01-04,20000.0,20000.0,20000.0,,1.0,{}
2013-01-07,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-08,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-09,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-10,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-11,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-14,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-15,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-16,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-17,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-18,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-21,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-22,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-23,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-24,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-25,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-28,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-29,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-30,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-31,20000.0,20000.0,0.0,0.0,1.0,{}
2013-02-01,40000.0,40000.0,20000.0,0.0,1.0,{}
2013-02-04,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-05,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-06,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-07,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-08,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-18,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-19,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-20,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-21,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-22,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-25,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-26,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-27,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-28,40000.0,40000.0,0.0,0.0,1.0,{}
2013-03-01,60000.0,60000.0,20000.0,0.0,1.0,{}
2013-03-04,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-05,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-06,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-07,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-08,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-11,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-12,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-13,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-14,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-15,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-18,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-19,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-20,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-21,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-22,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-25,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-26,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-27,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-28,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-29,60000.0,60000.0,0.0,0.0,1.0,{}
2013-04-01,80000.0,80000.0,20000.0,0.0,1.0,{}
2013-04-02,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-03,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-08,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-09,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-10,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-11,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-12,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-15,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-16,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-17,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-18,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-19,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-22,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-23,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-24,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-25,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-26,80000.0,80000.0,0.0,0.0,1.0,{}
2013-05-02,100000.0,100000.0,20000.0,0.0,1.0,{}
2013-05-03,99994.50550000001,9765.905500000008,0.0,-5.49449999998064e-05,0.09766442117162134,{'511880.SH': 0.9023355788283787}
2013-05-06,100001.70550000001,9765.905500000008,0.0,7.200395625739375e-05,0.09765738945322294,{'511880.SH': 0.902342610546777}
2013-05-07,100002.60550000002,9765.905500000008,0.0,8.999846507595777e-06,0.09765651055961742,{'511880.SH': 0.9023434894403826}
2013-05-08,100005.30550000002,9765.905500000008,0.0,2.6999296533380956e-05,0.09765387397371639,{'511880.SH': 0.9023461260262836}
2013-05-09,100008.00550000001,9765.905500000008,0.0,2.699856759091901e-05,0.09765123753017958,{'511880.SH': 0.9023487624698204}
2013-05-10,100023.3055,9765.905500000008,0.0,0.00015298775256544772,0.09763630037201687,{'511880.SH': 0.9023636996279831}
2013-05-13,100035.00550000001,9765.905500000008,0.0,0.00011697273891853044,0.09762488092230881,{'511880.SH': 0.9023751190776912}
2013-05-14,100040.40550000001,9765.905500000008,0.0,5.398110364462916e-05,0.09761961130795303,{'511880.SH': 0.902380388692047}
2013-05-15,100045.80550000002,9765.905500000008,0.0,5.397818984254066e-05,0.09761434226245504,{'511880.SH': 0.902385657737545}
2013-05-16,100051.2055,9765.905500000008,0.0,5.3975276354645274e-05,0.09760907378572274,{'511880.SH': 0.9023909262142773}
2013-05-17,100057.5055,9765.905500000008,0.0,6.296775704517366e-05,0.09760292794826879,{'511880.SH': 0.9023970720517313}
2013-05-20,100057.5055,9765.905500000008,0.0,0.0,0.09760292794826879,{'511880.SH': 0.9023970720517313}
2013-05-21,100035.00550000001,9765.905500000008,0.0,-0.00022487068698695545,0.09762488092230881,{'511880.SH': 0.9023751190776912}
2013-05-22,100054.8055,9765.905500000008,0.0,0.0001979307133639363,0.09760556178383664,{'511880.SH': 0.9023944382161634}
2013-05-23,100098.90550000001,9765.905500000008,0.0,0.0004407584401331377,0.09756256026196018,{'511880.SH': 0.9024374397380398}
2013-05-24,100105.20550000001,9765.905500000008,0.0,6.293775110255417e-05,0.09755642028026212,{'511880.SH': 0.9024435797197379}
2013-05-27,100126.8055,9765.905500000008,0.0,0.00021577299494168756,0.097535374780333,{'511880.SH': 0.902464625219667}
2013-05-28,100130.40550000001,9765.905500000008,0.0,3.5954407833438395e-05,0.09753186807977131,{'511880.SH': 0.9024681319202287}
2013-05-29,100137.6055,9765.905500000008,0.0,7.190623032071741e-05,0.09752485543505439,{'511880.SH': 0.9024751445649456}
2013-05-30,100137.6055,9765.905500000008,0.0,0.0,0.09752485543505439,{'511880.SH': 0.9024751445649456}
2013-05-31,100153.8055,9765.905500000008,0.0,0.00016177738541989228,0.09750908067092875,{'511880.SH': 0.9024909193290712}
2013-06-03,120170.90550000001,29765.905500000008,20000.0,0.0001707373964936476,0.24769644013375605,{'511880.SH': 0.752303559866244}
2013-06-04,120166.36050000001,9665.86050000001,0.0,-3.782113466721526e-05,0.0804373242210328,{'511880.SH': 0.9195626757789672}
2013-06-05,120175.1605,9665.86050000001,0.0,7.323180932972129e-05,0.08043143408158801,{'511880.SH': 0.919568565918412}
2013-06-06,120186.16050000001,9665.86050000001,0.0,9.153305853093485e-05,0.08042407262024157,{'511880.SH': 0.9195759273797585}
2013-06-07,120204.86050000001,9665.86050000001,0.0,0.00015559195769454526,0.08041156122800883,{'511880.SH': 0.9195884387719911}
2013-06-13,120200.46050000002,9665.86050000001,0.0,-3.660417708317709e-05,0.08041450473478018,{'511880.SH': 0.9195854952652198}
2013-06-14,120227.9605,9665.86050000001,0.0,0.00022878448123742068,0.08039611135215098,{'511880.SH': 0.919603888647849}
2013-06-17,120292.8605,9665.86050000001,0.0,0.0005398078760554537,0.08035273631222703,{'511880.SH': 0.9196472636877729}
2013-06-18,120298.36050000001,9665.86050000001,0.0,4.572174921402272e-05,0.08034906261253667,{'511880.SH': 0.9196509373874633}
2013-06-19,120299.4605,9665.86050000001,0.0,9.14393176620898e-06,0.08034832791290872,{'511880.SH': 0.9196516720870913}
2013-06-20,120285.16050000001,9665.86050000001,0.0,-0.00011887002602128938,0.08035788005620202,{'511880.SH': 0.919642119943798}
2013-06-21,120314.86050000001,9665.86050000001,0.0,0.0002469132507829652,0.08033804352871281,{'511880.SH': 0.9196619564712872}
2013-06-24,120241.16050000001,9665.86050000001,0.0,-0.0006125594103149057,0.08038728551692587,{'511880.SH': 0.9196127144830741}
2013-06-25,120262.0605,9665.86050000001,0.0,0.00017381735100596707,0.08037331524017925,{'511880.SH': 0.9196266847598208}
2013-06-26,120291.76050000002,9665.86050000001,0.0,0.00024696067801044386,0.08035347109247776,{'511880.SH': 0.9196465289075222}
2013-06-27,120314.86050000001,9665.86050000001,0.0,0.00019203310271609375,0.08033804352871281,{'511880.SH': 0.9196619564712872}
2013-06-28,120418.2605,9665.86050000001,0.0,0.0008594117099940402,0.08026905935914935,{'511880.SH': 0.9197309406408507}
2013-07-01,140475.46050000002,29665.86050000001,20000.0,0.00047501101379898714,0.21118179925809893,{'511880.SH': 0.788818200741901}
2013-07-02,140489.4879,9510.58790000001,0.0,9.985658669542374e-05,0.06769608204970906,{'511880.SH': 0.9323039179502909}
2013-07-03,140518.0879,9510.58790000001,0.0,0.00020357395010472956,0.06768230369579352,{'511880.SH': 0.9323176963042066}
2013-07-04,140537.5879,9510.58790000001,0.0,0.00013877217012714382,0.06767291257885613,{'511880.SH': 0.9323270874211439}
2013-07-05,140576.58789999998,9510.58790000001,0.0,0.0002775058301678346,0.06765413816108144,{'511880.SH': 0.9323458618389187}
2013-07-08,140638.9879,9510.58790000001,0.0,0.00044388614727508546,0.06762412075065857,{'511880.SH': 0.9323758792493414}
2013-07-09,140659.78790000002,9510.58790000001,0.0,0.00014789639992862647,0.0676141208655982,{'511880.SH': 0.9323858791344017}
2013-07-10,140685.7879,9510.58790000001,0.0,0.00018484316227218578,0.06760162516742751,{'511880.SH': 0.9323983748325725}
2013-07-11,140672.78790000002,9510.58790000001,0.0,-9.240450079583962e-05,0.06760787243913012,{'511880.SH': 0.9323921275608699}
2013-07-12,140759.8879,9510.58790000001,0.0,0.000619167369185103,0.06756603775328816,{'511880.SH': 0.9324339622467118}
2013-07-15,140800.18790000002,9510.58790000001,0.0,0.00028630315497735204,0.06754669892027898,{'511880.SH': 0.932453301079721}
2013-07-16,140826.18790000002,9510.58790000001,0.0,0.0001846588444787134,0.06753422812775016,{'511880.SH': 0.9324657718722498}
2013-07-17,140850.88790000003,9510.58790000001,0.0,0.00017539351429118888,0.06752238513932725,{'511880.SH': 0.9324776148606727}
2013-07-18,140875.5879,9510.58790000001,0.0,0.00017536275680085645,0.06751054630381428,{'511880.SH': 0.9324894536961857}
2013-07-19,140949.68790000002,9510.58790000001,0.0,0.0005259960302888,0.0674750546929023,{'511880.SH': 0.9325249453070977}
2013-07-22,140973.0879,9510.58790000001,0.0,0.0001660166854473566,0.06746385456737951,{'511880.SH': 0.9325361454326204}
2013-07-23,140988.68790000002,9510.58790000001,0.0,0.00011065941898835696,0.06745638988246806,{'511880.SH': 0.932543610117532}
2013-07-24,140996.4879,9510.58790000001,0.0,5.5323587418110165e-05,0.06745265815943781,{'511880.SH': 0.9325473418405622}
2013-07-25,140993.88790000003,9510.58790000001,0.0,-1.844017562924183e-05,0.06745390202123795,{'511880.SH': 0.932546097978762}
2013-07-26,141047.18790000002,9510.58790000001,0.0,0.00037803057135210594,0.06742841202011662,{'511880.SH': 0.9325715879798834}
2013-07-29,141057.5879,9510.58790000001,0.0,7.373418892520078e-05,0.06742344060740889,{'511880.SH': 0.9325765593925911}
2013-07-30,141069.28790000002,9510.58790000001,0.0,8.294484667015212e-05,0.06741784864429026,{'511880.SH': 0.9325821513557098}
2013-07-31,141104.3879,9510.58790000001,0.0,0.0002488139021787905,0.06740107831898266,{'511880.SH': 0.9325989216810173}
2013-08-01,161122.5879,29510.58790000001,20000.0,0.00012898252329973658,0.18315611910550753,{'511880.SH': 0.8168438808944924}
2013-08-02,161184.9619,9248.46190000001,0.0,0.0003871213888315683,0.05737794513198945,{'511880.SH': 0.9426220548680107}
2013-08-05,161186.4619,9248.46190000001,0.0,9.306079068016615e-06,0.05737741117326436,{'511880.SH': 0.9426225888267358}
2013-08-06,161198.4619,9248.46190000001,0.0,7.444793972499752e-05,0.057373139861206145,{'511880.SH': 0.9426268601387939}
2013-08-07,161214.9619,9248.46190000001,0.0,0.00010235829675742103,0.05736726784537986,{'511880.SH': 0.9426327321546202}
2013-08-08,161217.9619,9248.46190000001,0.0,1.8608694656085945e-05,0.05736620033527424,{'511880.SH': 0.9426337996647258}
2013-08-09,161268.9619,9248.46190000001,0.0,0.0003163419224443409,0.05734805874012394,{'511880.SH': 0.9426519412598762}
2013-08-12,161280.9619,9248.46190000001,0.0,7.440985455997584e-05,0.05734379179691642,{'511880.SH': 0.9426562082030837}
