date,reason,asset,side,shares,notional
2013-05-03,rebalance,511880.SH,buy,900,90189.0
2013-06-04,rebalance,511880.SH,buy,200,20090.0
2013-07-02,rebalance,511880.SH,buy,200,20145.2
2013-08-02,rebalance,511880.SH,buy,200,20252.0
2013-09-03,rebalance,511880.SH,buy,200,20326.4
2013-10-09,rebalance,511880.SH,buy,200,20412.0
2013-11-04,rebalance,511880.SH,buy,200,20478.0
2013-12-03,rebalance,511880.SH,buy,200,20555.8
2014-01-03,rebalance,511880.SH,buy,200,20650.6
2014-02-10,rebalance,511880.SH,buy,200,20784.480000000003
2014-03-04,rebalance,511880.SH,buy,200,20842.4784
2014-04-02,rebalance,511880.SH,buy,200,20908.32
2014-05-06,rebalance,511880.SH,buy,200,20987.5776
2014-06-04,rebalance,511880.SH,buy,200,21055.0704
2014-07-02,rebalance,511880.SH,buy,200,21133.296000000002
2014-08-04,rebalance,511880.SH,buy,100,10606.689600000002
2014-09-02,rebalance,511880.SH,buy,200,21276.5376
2014-10-09,rebalance,511880.SH,buy,200,21394.598400000003
2014-11-04,rebalance,511880.SH,buy,200,21421.224000000002
2014-12-02,rebalance,511880.SH,buy,200,21482.112
2015-01-06,rebalance,511880.SH,buy,200,21554.095499999996
2015-02-03,rebalance,511880.SH,buy,200,21613.0329
2015-03-03,rebalance,511880.SH,buy,100,10845.987299999999
2015-04-02,rebalance,511880.SH,buy,200,21769.195499999998
2015-05-05,rebalance,511880.SH,buy,200,21832.649999999998
2015-06-02,rebalance,511880.SH,buy,200,21888.576
2015-07-02,rebalance,511880.SH,buy,200,21956.7627
2015-08-04,rebalance,511880.SH,buy,200,22027.315499999997
2015-09-02,rebalance,511880.SH,buy,100,11034.09225
2015-10-09,rebalance,511880.SH,buy,200,22112.28
2015-11-03,rebalance,511880.SH,buy,200,22155.9453
2015-12-02,rebalance,511880.SH,buy,200,22201.3314
2016-01-05,rebalance,511880.SH,buy,200,22248.225999999995
2016-02-02,rebalance,511880.SH,buy,100,11154.45149
2016-03-02,rebalance,511880.SH,buy,200,22349.13204
2016-04-05,rebalance,511880.SH,buy,200,22399.3628
2016-05-04,rebalance,511880.SH,buy,200,22444.70384
2016-06-02,rebalance,511880.SH,buy,200,22484.04386
2016-07-04,rebalance,511880.SH,buy,100,11267.69296
2016-08-02,rebalance,511880.SH,buy,200,22584.283119999996
2016-09-02,rebalance,511880.SH,buy,200,22632.958059999997
2016-10-11,rebalance,511880.SH,buy,200,22687.1895
2016-11-02,rebalance,511880.SH,buy,100,11360.70877
2016-12-02,rebalance,511880.SH,buy,200,22765.425020000002
2017-01-04,rebalance,511880.SH,buy,200,22819.399100000002
2017-02-06,rebalance,511880.SH,buy,200,22871.816099999996
2017-03-02,rebalance,511880.SH,buy,100,11458.5841
2017-04-06,rebalance,511880.SH,buy,200,22989.4125
2017-05-03,rebalance,511880.SH,buy,200,23053.452400000002
2017-06-02,rebalance,511880.SH,buy,200,23122.9619
2017-07-04,rebalance,511880.SH,buy,100,11598.9705
2017-08-02,rebalance,511880.SH,buy,200,23264.032
2017-09-04,rebalance,511880.SH,sell,4000,466880.49799999996
2017-09-04,rebalance,511260.SH,buy,4900,489348.30000000005
2017-10-10,rebalance,511880.SH,sell,1200,140581.02659999998
2017-10-10,rebalance,511260.SH,buy,1600,160212.8
2017-12-04,rebalance,511260.SH,buy,300,29399.699999999997
2018-01-03,rebalance,511880.SH,buy,100,11826.606
2018-02-02,rebalance,511260.SH,buy,200,19595.6
2018-02-02,rebalance,511880.SH,buy,100,11868.86074
2018-03-02,rebalance,511260.SH,sell,3800,376428.0
2018-03-02,rebalance,511880.SH,buy,3400,404713.0669999999
2018-04-03,rebalance,511880.SH,buy,100,11942.98358
2018-05-03,rebalance,511880.SH,buy,100,11985.238319999999
2018-06-04,rebalance,511880.SH,buy,200,24034.921019999994
2018-06-04,rebalance,511260.SH,buy,100,10154.2
2018-07-03,rebalance,511880.SH,buy,100,12056.882529999999
2018-08-02,rebalance,511880.SH,buy,100,12092.055469999998
2018-08-02,rebalance,511260.SH,buy,100,10270.8
2018-09-04,rebalance,511880.SH,sell,3400,412305.70084
2018-09-04,rebalance,511260.SH,buy,4200,428820.0
2018-10-09,rebalance,511260.SH,buy,200,20421.600000000002
2018-11-02,rebalance,511260.SH,sell,4300,444921.0
2018-11-02,rebalance,511880.SH,buy,3800,462166.76615999994
2018-12-04,rebalance,511880.SH,buy,200,24407.4237
2019-01-03,rebalance,511880.SH,buy,100,12232.61376
2019-02-11,rebalance,511880.SH,sell,5300,650367.99048
2019-02-11,rebalance,512890.SH,buy,657200,674287.2000000001
2019-02-11,rebalance,511260.SH,buy,100,10645.6
2019-03-04,rebalance,511880.SH,sell,1300,159808.4904
2019-03-04,rebalance,512890.SH,sell,391200,430320.00000000006
2019-03-04,rebalance,511260.SH,buy,5700,602832.0
2019-04-02,rebalance,511260.SH,sell,1800,192186.0
2019-04-02,rebalance,511880.SH,buy,1400,172376.79984
2019-04-02,rebalance,512890.SH,buy,28300,33733.6
2019-05-07,rebalance,511260.SH,sell,1700,178789.0
2019-05-07,rebalance,511880.SH,sell,2300,283946.2608
2019-05-07,rebalance,512890.SH,buy,438300,486513.00000000006
2019-06-04,rebalance,511260.SH,sell,2500,265290.0
2019-06-04,rebalance,512890.SH,buy,124800,137779.2
2019-06-04,rebalance,511880.SH,buy,1100,136058.38752
2019-07-02,rebalance,512890.SH,sell,538400,617544.8
2019-07-02,rebalance,511260.SH,buy,4500,479542.5
