date,trigger_value,threshold,time_trigger,days_since_rebalance_trade,confirmation_days,execution_month_rebalance_count_before
2013-01-11,0.5,0.15,False,5,1,0
2013-01-14,0.5,0.15,False,6,1,0
2013-01-15,0.5,0.15,False,7,1,0
2013-01-16,0.5,0.15,False,8,1,0
2013-01-17,0.5,0.15,False,9,1,0
2013-01-18,0.5,0.15,False,10,1,0
2013-01-21,0.5,0.15,False,11,1,0
2013-01-22,0.5,0.15,False,12,1,0
2013-01-23,0.5,0.15,False,13,1,0
2013-01-24,0.5,0.15,False,14,1,0
2013-01-25,0.5,0.15,False,15,1,0
2013-01-28,0.5,0.15,False,16,1,0
2013-01-29,0.5,0.15,False,17,1,0
2013-01-30,0.5,0.15,False,18,1,0
2013-01-31,0.5,0.15,False,19,1,0
2013-02-01,0.5,0.15,False,20,1,0
2013-02-04,0.5,0.15,False,21,1,0
2013-02-05,0.5,0.15,False,22,1,0
2013-02-06,0.5,0.15,False,23,1,0
2013-02-07,0.5,0.15,False,24,1,0
2013-02-08,0.5,0.15,False,25,1,0
2013-02-18,0.5,0.15,False,26,1,0
2013-02-19,0.5,0.15,False,27,1,0
2013-02-20,0.5,0.15,False,28,1,0
2013-02-21,0.5,0.15,False,29,1,0
2013-02-22,0.5,0.15,False,30,1,0
2013-02-25,0.5,0.15,False,31,1,0
2013-02-26,0.5,0.15,False,32,1,0
2013-02-27,0.5,0.15,False,33,1,0
2013-02-28,0.5,0.15,False,34,1,0
2013-03-01,0.5,0.15,False,35,1,0
2013-03-04,0.5,0.15,False,36,1,0
2013-03-05,0.5,0.15,False,37,1,0
2013-03-06,0.5,0.15,False,38,1,0
2013-03-07,0.5,0.15,False,39,1,0
2013-03-08,0.5,0.15,False,40,1,0
2013-03-11,0.5,0.15,False,41,1,0
2013-03-12,0.5,0.15,False,42,1,0
2013-03-13,0.5,0.15,False,43,1,0
2013-03-14,0.5,0.15,False,44,1,0
2013-03-15,0.5,0.15,False,45,1,0
2013-03-18,0.5,0.15,False,46,1,0
2013-03-19,0.5,0.15,False,47,1,0
2013-03-20,0.5,0.15,False,48,1,0
2013-03-21,0.5,0.15,False,49,1,0
2013-03-22,0.5,0.15,False,50,1,0
2013-03-25,0.5,0.15,False,51,1,0
2013-03-26,0.5,0.15,False,52,1,0
2013-03-27,0.5,0.15,False,53,1,0
2013-03-28,0.5,0.15,False,54,1,0
2013-03-29,0.5,0.15,False,55,1,0
2013-04-01,0.5,0.15,False,56,1,0
2013-04-02,0.5,0.15,False,57,1,0
2013-04-03,0.5,0.15,False,58,1,0
2013-04-08,0.5,0.15,False,59,1,0
2013-04-09,0.5,0.15,False,60,1,0
2013-04-10,0.5,0.15,False,61,1,0
2013-04-11,0.5,0.15,False,62,1,0
2013-04-12,0.5,0.15,False,63,1,0
2013-04-15,0.5,0.15,False,64,1,0
2013-04-16,0.5,0.15,False,65,1,0
2013-04-17,0.5,0.15,False,66,1,0
2013-04-18,0.9,0.15,False,67,1,0
2017-08-24,0.4,0.15,False,1060,1,0
2017-09-21,0.16470588235294115,0.15,False,19,1,0
2017-09-29,0.2864450127877238,0.15,False,5,1,0
2017-12-27,0.2864450127877238,0.15,False,57,1,0
2018-01-05,0.2864450127877238,0.15,False,5,1,0
2018-01-26,0.2864450127877238,0.15,False,14,1,1
2018-02-05,0.2864450127877238,0.15,False,5,1,0
2018-02-13,0.2864450127877238,0.15,False,5,1,1
2018-03-27,0.2864450127877238,0.15,False,24,1,0
2018-04-04,0.2864450127877238,0.15,False,5,1,0
2018-05-14,0.2864450127877238,0.15,False,23,1,0
2018-05-30,0.2864450127877238,0.15,False,11,1,1
2018-06-27,0.2864450127877238,0.15,False,18,1,0
2018-07-05,0.2864450127877238,0.15,False,5,1,0
2018-07-30,0.2864450127877238,0.15,False,16,1,1
2018-08-07,0.2864450127877238,0.15,False,5,1,0
2018-08-15,0.2864450127877238,0.15,False,5,1,1
2018-09-17,0.2864450127877238,0.15,False,22,1,0
2018-09-26,0.2864450127877238,0.15,False,5,1,1
2018-10-11,0.2864450127877238,0.15,False,5,1,0
2018-12-17,0.2864450127877238,0.15,False,46,1,0
2018-12-25,0.2864450127877238,0.15,False,5,1,1
2019-01-18,0.4117647058823529,0.15,False,15,1,0
2019-01-29,0.2864450127877237,0.15,False,6,1,1
2019-02-13,0.2864450127877237,0.15,False,5,1,0
2019-02-21,0.2864450127877237,0.15,False,5,1,1
2019-03-22,0.16894409937888194,0.15,False,20,1,0
2019-04-26,0.16894409937888194,0.15,False,23,1,0
2019-05-09,0.16618357487922697,0.15,False,5,1,0
2019-05-17,0.15042735042735048,0.15,False,5,1,1
2019-06-11,0.3384615384615385,0.15,False,15,1,0
2019-07-18,0.3384615384615385,0.15,False,26,1,0
2019-07-26,0.3384615384615385,0.15,False,5,1,1
2019-08-05,0.3384615384615385,0.15,False,5,1,0
2019-09-02,0.3384615384615385,0.15,False,19,1,0
2019-09-25,0.16894409937888194,0.15,False,15,1,1
2019-10-18,0.16618357487922697,0.15,False,11,1,0
2019-10-28,0.29593495934959346,0.15,False,5,1,1
2019-11-11,0.29593495934959346,0.15,False,9,1,0
2019-11-19,0.17516339869281045,0.15,False,5,1,1
2019-11-28,0.2218487394957983,0.15,False,6,1,2
2019-12-06,0.2218487394957983,0.15,False,5,1,0
2019-12-16,0.2218487394957983,0.15,False,5,1,1
2020-01-21,0.2218487394957983,0.15,False,24,1,0
2020-03-02,0.2218487394957983,0.15,False,22,1,0
2020-03-11,0.2218487394957983,0.15,False,6,1,1
2020-04-07,0.17516339869281045,0.15,False,17,1,0
2020-04-15,0.17516339869281045,0.15,False,5,1,1
2020-04-29,0.2218487394957983,0.15,False,9,1,2
2020-09-04,0.16894409937888194,0.15,False,86,1,0
2020-09-14,0.16618357487922697,0.15,False,5,1,1
2020-09-22,0.15042735042735048,0.15,False,5,1,2
2020-09-30,0.2837606837606838,0.15,False,5,1,0
2020-10-16,0.29593495934959346,0.15,False,5,1,1
2020-10-26,0.29593495934959346,0.15,False,5,1,2
2020-11-03,0.30491803278688523,0.15,False,5,1,0
2020-11-11,0.19016393442622948,0.15,False,5,1,1
2020-11-19,0.18064516129032254,0.15,False,5,1,2
2020-12-09,0.2871669004207574,0.15,False,13,1,0
2020-12-29,0.19890054972513746,0.15,False,13,1,1
2021-01-20,0.18596059113300484,0.15,False,14,1,0
2021-01-28,0.17675544794188852,0.15,False,5,1,1
2021-02-05,0.19661016949152546,0.15,False,5,1,0
2021-02-22,0.2806451612903226,0.15,False,5,1,1
2021-03-15,0.18064516129032254,0.15,False,14,1,0
2021-03-23,0.19016393442622948,0.15,False,5,1,1
2021-03-31,0.19016393442622948,0.15,False,5,1,0
