date,nav,cash,deposit,return,cash_weight,positions
2013-01-04,20000.0,20000.0,20000.0,,1.0,{}
2013-01-07,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-08,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-09,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-10,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-11,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-14,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-15,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-16,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-17,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-18,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-21,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-22,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-23,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-24,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-25,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-28,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-29,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-30,20000.0,20000.0,0.0,0.0,1.0,{}
2013-01-31,20000.0,20000.0,0.0,0.0,1.0,{}
2013-02-01,40000.0,40000.0,20000.0,0.0,1.0,{}
2013-02-04,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-05,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-06,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-07,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-08,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-18,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-19,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-20,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-21,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-22,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-25,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-26,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-27,40000.0,40000.0,0.0,0.0,1.0,{}
2013-02-28,40000.0,40000.0,0.0,0.0,1.0,{}
2013-03-01,60000.0,60000.0,20000.0,0.0,1.0,{}
2013-03-04,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-05,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-06,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-07,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-08,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-11,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-12,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-13,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-14,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-15,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-18,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-19,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-20,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-21,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-22,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-25,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-26,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-27,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-28,60000.0,60000.0,0.0,0.0,1.0,{}
2013-03-29,60000.0,60000.0,0.0,0.0,1.0,{}
2013-04-01,80000.0,80000.0,20000.0,0.0,1.0,{}
2013-04-02,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-03,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-08,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-09,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-10,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-11,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-12,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-15,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-16,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-17,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-18,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-19,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-22,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-23,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-24,80000.0,80000.0,0.0,0.0,1.0,{}
2013-04-25,79972.66920000002,9903.369200000016,0.0,-0.00034163499999972924,0.12383442117247742,{'511880.SH': 0.8761655788275226}
2013-04-26,80016.06920000001,9903.369200000016,0.0,0.0005426854003267589,0.12376725449042696,{'511880.SH': 0.8762327455095731}
2013-05-02,100055.95240000001,9859.752400000016,20000.0,0.0004984398808733914,0.0985423871693616,{'511880.SH': 0.9014576128306384}
2013-05-03,100088.35240000002,9859.752400000016,0.0,0.0003238188156011734,0.09851048761993622,{'511880.SH': 0.9014895123800638}
2013-05-06,100095.55240000002,9859.752400000016,0.0,7.193644242664554e-05,0.09850340163565563,{'511880.SH': 0.9014965983643444}
2013-05-07,100096.45240000002,9859.752400000016,0.0,8.991408493530528e-06,0.09850251595929702,{'511880.SH': 0.9014974840407031}
2013-05-08,100099.15240000002,9859.752400000016,0.0,2.6973982946154607e-05,0.09849985902577946,{'511880.SH': 0.9015001409742206}
2013-05-09,100101.85240000002,9859.752400000016,0.0,2.6973255369933113e-05,0.09849720223559033,{'511880.SH': 0.9015027977644097}
2013-05-10,100117.1524,9859.752400000016,0.0,0.00015284432438722462,0.09848214979794027,{'511880.SH': 0.9015178502020598}
2013-05-13,100128.85240000002,9859.752400000016,0.0,0.00011686309208291945,0.09847064221421171,{'511880.SH': 0.9015293577857884}
2013-05-14,100134.25240000001,9859.752400000016,0.0,5.3930509244404234e-05,0.09846533192871787,{'511880.SH': 0.9015346680712821}
2013-05-15,100139.65240000002,9859.752400000016,0.0,5.392760090150439e-05,0.09846002221593506,{'511880.SH': 0.901539977784065}
2013-05-16,100145.0524,9859.752400000016,0.0,5.3924692871909485e-05,0.09845471307577064,{'511880.SH': 0.9015452869242294}
2013-05-17,100151.3524,9859.752400000016,0.0,6.290874934933299e-05,0.09844851980251457,{'511880.SH': 0.9015514801974854}
2013-05-20,100151.3524,9859.752400000016,0.0,0.0,0.09844851980251457,{'511880.SH': 0.9015514801974854}
2013-05-21,100128.85240000002,9859.752400000016,0.0,-0.00022465997174081487,0.09847064221421171,{'511880.SH': 0.9015293577857884}
2013-05-22,100148.6524,9859.752400000016,0.0,0.00019774520056303757,0.09845117396706993,{'511880.SH': 0.9015488260329301}
2013-05-23,100192.75240000001,9859.752400000016,0.0,0.000440345415970933,0.09840784052559888,{'511880.SH': 0.9015921594744012}
2013-05-24,100199.05240000002,9859.752400000016,0.0,6.28787996046487e-05,0.09840165314776983,{'511880.SH': 0.9015983468522302}
2013-05-27,100220.6524,9859.752400000016,0.0,0.00021557090094792564,0.09838044518656532,{'511880.SH': 0.9016195548134347}
2013-05-28,100224.25240000001,9859.752400000016,0.0,3.592074002511936e-05,0.09837691141510589,{'511880.SH': 0.9016230885848942}
2013-05-29,100231.45240000001,9859.752400000016,0.0,7.18388995435415e-05,0.09836984463371913,{'511880.SH': 0.9016301553662809}
2013-05-30,100231.45240000001,9859.752400000016,0.0,0.0,0.09836984463371913,{'511880.SH': 0.9016301553662809}
2013-05-31,100247.6524,9859.752400000016,0.0,0.00016162591294532902,0.09835394808706778,{'511880.SH': 0.9016460519129322}
2013-06-03,120264.71240000002,9769.712400000019,20000.0,0.00017017854873979665,0.08123507057919026,{'511880.SH': 0.9187649294208098}
2013-06-04,120270.21240000002,9769.712400000019,0.0,4.573245044414698e-05,0.08123135567024256,{'511880.SH': 0.9187686443297575}
2013-06-05,120279.0124,9769.712400000019,0.0,7.31685745321009e-05,0.0812254125225925,{'511880.SH': 0.9187745874774075}
2013-06-06,120290.01240000002,9769.712400000019,0.0,9.145402660459823e-05,0.08121798481084883,{'511880.SH': 0.9187820151891511}
2013-06-07,120308.71240000002,9769.712400000019,0.0,0.00015545762800162066,0.08120536081807503,{'511880.SH': 0.9187946391819249}
2013-06-13,120304.31240000002,9769.712400000019,0.0,-3.657257992562002e-05,0.08120833081624443,{'511880.SH': 0.9187916691837555}
2013-06-14,120331.81240000001,9769.712400000019,0.0,0.00022858698455086035,0.08118977189111146,{'511880.SH': 0.9188102281088886}
2013-06-17,120396.7124,9769.712400000019,0.0,0.000539341996979692,0.08114600644195014,{'511880.SH': 0.9188539935580499}
2013-06-18,120402.21240000002,9769.712400000019,0.0,4.568231050816607e-05,0.08114229967422108,{'511880.SH': 0.918857700325779}
2013-06-19,120403.31240000001,9769.712400000019,0.0,9.136044745838845e-06,0.08114155836131313,{'511880.SH': 0.9188584416386869}
2013-06-20,120389.01240000002,9769.712400000019,0.0,-0.00011876749663231045,0.08115119648576848,{'511880.SH': 0.9188488035142315}
2013-06-21,120418.71240000002,9769.712400000019,0.0,0.00024670025451589694,0.08113118140266726,{'511880.SH': 0.9188688185973327}
2013-06-24,120345.01240000002,9769.712400000019,0.0,-0.0006120311248237753,0.08118086661977872,{'511880.SH': 0.9188191333802213}
2013-06-25,120365.91240000002,9769.712400000019,0.0,0.00017366735507517994,0.08116677060140838,{'511880.SH': 0.9188332293985916}
2013-06-26,120395.61240000003,9769.712400000019,0.0,0.0002467475999459179,0.0811467478361364,{'511880.SH': 0.9188532521638636}
2013-06-27,120418.71240000002,9769.712400000019,0.0,0.0001918674571232959,0.08113118140266726,{'511880.SH': 0.9188688185973327}
2013-06-28,120522.11240000001,9769.712400000019,0.0,0.00085867053333466,0.0810615762157851,{'511880.SH': 0.9189384237842149}
2013-07-01,140578.44340000002,9621.643400000019,20000.0,0.00046739140957852143,0.0684432347328155,{'511880.SH': 0.9315567652671846}
2013-07-02,140600.54340000002,9621.643400000019,0.0,0.0001572076021436608,0.06843247662725617,{'511880.SH': 0.9315675233727437}
2013-07-03,140629.14340000003,9621.643400000019,0.0,0.0002034131540917805,0.06841855939229177,{'511880.SH': 0.9315814406077082}
2013-07-04,140648.64340000003,9621.643400000019,0.0,0.0001386625810877451,0.06840907361357469,{'511880.SH': 0.9315909263864254}
2013-07-05,140687.6434,9621.643400000019,0.0,0.0002772867128839618,0.06839010994479433,{'511880.SH': 0.9316098900552057}
2013-07-08,140750.04340000002,9621.643400000019,0.0,0.00044353575404354473,0.06835978993381978,{'511880.SH': 0.9316402100661801}
2013-07-09,140770.84340000004,9621.643400000019,0.0,0.00014777970576473898,0.06834968923685525,{'511880.SH': 0.9316503107631446}
2013-07-10,140796.8434,9621.643400000019,0.0,0.00018469733768733398,0.06833706756241112,{'511880.SH': 0.9316629324375888}
2013-07-11,140783.84340000004,9621.643400000019,0.0,-9.233161543997781e-05,0.06834337781688958,{'511880.SH': 0.9316566221831103}
2013-07-12,140870.94340000002,9621.643400000019,0.0,0.0006186789470756793,0.06830112135104803,{'511880.SH': 0.9316988786489518}
2013-07-15,140911.24340000004,9621.643400000019,0.0,0.00028607744810504876,0.06828158752873524,{'511880.SH': 0.9317184124712646}
2013-07-16,140937.24340000004,9621.643400000019,0.0,0.00018451331045454822,0.06826899099120606,{'511880.SH': 0.9317310090087939}
2013-07-17,140961.94340000005,9621.643400000019,0.0,0.00017525530799478162,0.06825702858463865,{'511880.SH': 0.9317429714153612}
2013-07-18,140986.64340000003,9621.643400000019,0.0,0.00017522459895347176,0.06824507036955259,{'511880.SH': 0.9317549296304474}
2013-07-19,141060.74340000004,9621.643400000019,0.0,0.0005255817020182185,0.06820922085116429,{'511880.SH': 0.9317907791488357}
2013-07-22,141084.14340000003,9621.643400000019,0.0,0.00016588598242139874,0.0681979077742341,{'511880.SH': 0.9318020922257658}
2013-07-23,141099.74340000004,9621.643400000019,0.0,0.00011057231255096056,0.0681903678075719,{'511880.SH': 0.931809632192428}
2013-07-24,141107.54340000002,9621.643400000019,0.0,5.5280043833150216e-05,0.0681865984494208,{'511880.SH': 0.9318134015505791}
2013-07-25,141104.94340000005,9621.643400000019,0.0,-1.842566270615631e-05,0.06818785485583502,{'511880.SH': 0.9318121451441649}
2013-07-26,141158.24340000004,9621.643400000019,0.0,0.0003777330454604044,0.06816210777528008,{'511880.SH': 0.9318378922247198}
2013-07-29,141168.64340000003,9621.643400000019,0.0,7.367617894282752e-05,0.06815708622159938,{'511880.SH': 0.9318429137784006}
2013-07-30,141180.34340000004,9621.643400000019,0.0,8.287959505892672e-05,0.06815143785802703,{'511880.SH': 0.9318485621419729}
2013-07-31,141215.44340000002,9621.643400000019,0.0,0.0002486181798022624,0.06813449838305728,{'511880.SH': 0.9318655016169426}
2013-08-01,161226.52090000003,9366.520900000021,20000.0,7.84439699603734e-05,0.05809541040589445,{'511880.SH': 0.9419045895941055}
2013-08-02,161303.02090000003,9366.520900000021,0.0,0.0004744876932960551,0.058067857921934425,{'511880.SH': 0.9419321420780655}
2013-08-05,161304.52090000003,9366.520900000021,0.0,9.299267872631134e-06,0.058067317938390275,{'511880.SH': 0.9419326820616096}
2013-08-06,161316.52090000003,9366.520900000021,0.0,7.439345117576934e-05,0.05806299843155134,{'511880.SH': 0.9419370015684486}
2013-08-07,161333.02090000003,9366.520900000021,0.0,0.0001022833861525907,0.058057060158848234,{'511880.SH': 0.9419429398411517}
2013-08-08,161336.02090000003,9366.520900000021,0.0,1.8595077333039e-05,0.05805598060339927,{'511880.SH': 0.9419440193966007}
