threshold,annualized_return,volatility,sharpe,max_drawdown,sortino,calmar,worst_calendar_return,best_calendar_return,final_nav,total_deposits,trades,traded_notional,estimated_transaction_cost,meets_5pct_return_floor,trigger_signals,rebalance_dates,deposit_trade_count,rebalance_trade_count,average_cash_weight,is_best
0.075,0.06383723804556651,0.045685728050704144,1.3775151461023811,-0.050609527879078686,1.5551738702896707,1.261367981896468,0.019280156509322577,0.17724877483779866,5534621.5414276915,3280000.0,454,178716689.36464,89358.34468232,True,111,111,84,370,0.029497726003678615,False
0.08,0.06383723804556651,0.045685728050704144,1.3775151461023811,-0.050609527879078686,1.5551738702896707,1.261367981896468,0.019280156509322577,0.17724877483779866,5534621.5414276915,3280000.0,454,178716689.36464,89358.34468232,True,111,111,84,370,0.029497726003678615,False
0.085,0.06383723804556651,0.045685728050704144,1.3775151461023811,-0.050609527879078686,1.5551738702896707,1.261367981896468,0.019280156509322577,0.17724877483779866,5534621.5414276915,3280000.0,454,178716689.36464,89358.34468232,True,110,110,85,369,0.029497726003678615,False
0.09,0.06383723804556651,0.045685728050704144,1.3775151461023811,-0.050609527879078686,1.5551738702896707,1.261367981896468,0.019280156509322577,0.17724877483779866,5534621.5414276915,3280000.0,454,178716689.36464,89358.34468232,True,110,110,85,369,0.029497726003678615,False
0.095,0.06383723804556651,0.045685728050704144,1.3775151461023811,-0.050609527879078686,1.5551738702896707,1.261367981896468,0.019280156509322577,0.17724877483779866,5534621.5414276915,3280000.0,454,178716689.36464,89358.34468232,True,110,110,85,369,0.029497726003678615,False
0.1,0.06383723804556651,0.045685728050704144,1.3775151461023811,-0.050609527879078686,1.5551738702896707,1.261367981896468,0.019280156509322577,0.17724877483779866,5534621.5414276915,3280000.0,454,178716689.36464,89358.34468232,True,109,109,86,368,0.029497726003678615,False
0.105,0.06383723804556651,0.045685728050704144,1.3775151461023811,-0.050609527879078686,1.5551738702896707,1.261367981896468,0.019280156509322577,0.17724877483779866,5534621.5414276915,3280000.0,454,178716689.36464,89358.34468232,True,109,109,86,368,0.029497726003678615,False
0.11,0.06427869244702866,0.04574711131002375,1.3847998931290448,-0.050609527879078686,1.5581565537114026,1.2700907347053247,0.019280156509322577,0.18369358530957203,5561462.102276161,3280000.0,455,180713449.20769998,90356.72460384999,True,109,109,88,367,0.02957945403699135,True
0.115,0.06370798789248688,0.045845999102184544,1.3702082642051718,-0.050583235553259276,1.5487755188740795,1.2594684226043331,0.019280156509322577,0.1773555890600398,5528825.9863355905,3280000.0,450,178758173.78883997,89379.08689441999,True,107,107,89,361,0.02947170444523342,False
0.12,0.06370798789248688,0.045845999102184544,1.3702082642051718,-0.050583235553259276,1.5487755188740795,1.2594684226043331,0.019280156509322577,0.1773555890600398,5528825.9863355905,3280000.0,450,178758173.78883997,89379.08689441999,True,107,107,89,361,0.02947170444523342,False
0.125,0.06183464822682927,0.045353350875386014,1.3457255707986844,-0.05049342285666458,1.5106220637698575,1.2246079732475053,0.019280156509322577,0.17732405027682163,5436554.45919945,3280000.0,454,176225604.00112,88112.80200056,True,106,106,92,362,0.02950888390777548,False
