rank,standard,description,trigger_kind,threshold,max_days,min_days,confirmation_days,max_rebalances_per_month,annualized_return,volatility,sharpe,max_drawdown,sortino,calmar,worst_calendar_return,best_calendar_return,final_nav,total_deposits,trades,traded_notional,estimated_transaction_cost,meets_5pct_return_floor,trigger_signals,rebalance_dates,deposit_trade_count,rebalance_trade_count,average_cash_weight
1,calendar_monthly_reference,对照：每月首个交易日收盘固定触发,calendar_monthly,0.5,,0,1,,0.06583566636287608,0.04311030224854304,1.5006708695233368,-0.05912863943001101,1.8364877769379506,1.1134311054257218,0.009961889154295411,0.13290202086439917,5530870.910917308,3280000.0,504,161299254.1654,80649.6270827,True,164,94,176,328,0.031169797831788318
2,target_change_15_min05d,目标变化15%且距上次成交至少5日,target_change,0.15,,5,1,,0.06058772745063812,0.04331595995684438,1.3798152496507454,-0.04908343523872405,1.565854088261017,1.2343823767827447,0.01589268368236496,0.1814103590173488,5312664.461366649,3280000.0,928,317885154.56674004,158942.57728337002,True,265,203,198,730,0.029271031923045178
3,portfolio_drift_10_monthly_cap1,组合单边偏离达到10%，每月最多再平衡一次,portfolio_drift,0.1,,0,1,1.0,0.06383723804556651,0.045685728050704144,1.3775151461023811,-0.050609527879078686,1.5551738702896707,1.261367981896468,0.019280156509322577,0.17724877483779866,5534621.5414276915,3280000.0,454,178716689.36464,89358.34468232,True,109,109,86,368,0.029497726003678615
4,portfolio_drift_15_min05d,组合偏离15%且距上次成交至少5日,portfolio_drift,0.15,,5,1,,0.059891739301145996,0.043574595783196265,1.3568157095115325,-0.049425091458035975,1.531739087377958,1.2117679003588018,0.01865407192208579,0.18150610171695325,5289669.84284562,3280000.0,928,316378974.1488,158189.4870744,True,203,203,197,731,0.02926530301582731
5,portfolio_drift_125_monthly_cap1,组合单边偏离达到12.5%，每月最多再平衡一次,portfolio_drift,0.125,,0,1,1.0,0.06183464822682927,0.045353350875386014,1.3457255707986844,-0.05049342285666458,1.5106220637698575,1.2246079732475053,0.019280156509322577,0.17732405027682163,5436554.45919945,3280000.0,454,176225604.00112,88112.80200056,True,106,106,92,362,0.02950888390777548
6,portfolio_drift_15_monthly_cap1,组合单边偏离达到15%，每月最多再平衡一次,portfolio_drift,0.15,,0,1,1.0,0.06158974440748799,0.045507955815719446,1.336240684303791,-0.05046625878412625,1.4876485263400374,1.2204143103007379,0.019280156509322577,0.17732750055243218,5429231.630332475,3280000.0,464,177365958.27506998,88682.97913753499,True,105,105,101,363,0.029271911694239747
7,portfolio_drift_15_confirm02d,组合偏离15%连续满足2日,portfolio_drift,0.15,,0,2,,0.057898652192976297,0.04397128855651081,1.3021612095558521,-0.05868491924052743,1.4459290170345334,0.9866018892463918,0.005896641079523812,0.17858321765984164,5185671.84094664,3280000.0,956,349826738.24676,174913.36912338002,True,208,208,201,755,0.029405983299730626
8,max_asset_drift_20,任一ETF绝对偏离达到20个百分点,max_asset_drift,0.2,,0,1,,0.059309145161713595,0.04527434050342163,1.2953839781936358,-0.05335450022944532,1.4422281201118459,1.1116052986469924,0.009956756887337326,0.16265537303982103,5245143.459220123,3280000.0,957,400844997.5398,200422.4987699,True,209,209,195,762,0.028979901352316005
9,target_change_15_min10d,目标变化15%且距上次成交至少10日,target_change,0.15,,10,1,,0.06095701115238028,0.046590297367451086,1.2934934087201573,-0.04938207376659254,1.3934793003233767,1.2343955306635643,0.0190117669763743,0.18474742237336916,5347549.874285948,3280000.0,710,239755234.68813002,119877.61734406502,True,203,146,192,518,0.029142562331966722
10,portfolio_drift_20,组合单边偏离达到20%,portfolio_drift,0.2,,0,1,,0.05809244350632059,0.04465063546887896,1.2871244486572757,-0.051940664987614404,1.4188855203053083,1.118438578331123,0.01137261496511166,0.16176319744326584,5186582.664676589,3280000.0,1003,417668388.88686997,208834.194443435,True,219,219,198,805,0.02902244709467954
