date,reason,asset,side,shares,notional
2013-04-19,threshold_rebalance,511880.SH,buy,700,70063.0
2013-05-02,threshold_rebalance,511880.SH,buy,200,20033.600000000002
2013-06-03,deposit_invest,511880.SH,buy,200,20080.0
2013-07-01,deposit_invest,511880.SH,buy,200,20138.0
2013-08-01,deposit_invest,511880.SH,buy,200,20245.0
2013-09-02,deposit_invest,511880.SH,buy,200,20323.2
2013-10-08,deposit_invest,511880.SH,buy,200,20406.6
2013-11-01,deposit_invest,511880.SH,buy,200,20472.2
2013-12-02,deposit_invest,511880.SH,buy,200,20553.0
2014-01-02,deposit_invest,511880.SH,buy,200,20636.2
2014-02-07,deposit_invest,511880.SH,buy,200,20778.288
2014-03-03,deposit_invest,511880.SH,buy,200,20838.144
2014-04-01,deposit_invest,511880.SH,buy,200,20903.7792
2014-05-05,deposit_invest,511880.SH,buy,200,20984.4816
2014-06-03,deposit_invest,511880.SH,buy,200,21050.736
2014-07-01,deposit_invest,511880.SH,buy,200,21129.5808
2014-08-01,deposit_invest,511880.SH,buy,100,10604.4192
2014-09-01,deposit_invest,511880.SH,buy,200,21271.171200000004
2014-10-08,deposit_invest,511880.SH,buy,200,21383.04
2014-11-03,deposit_invest,511880.SH,buy,200,21416.064000000002
2014-12-01,deposit_invest,511880.SH,buy,200,21483.144
2015-01-05,deposit_invest,511880.SH,buy,200,21556.246499999997
2015-02-02,deposit_invest,511880.SH,buy,200,21607.4403
2015-03-02,deposit_invest,511880.SH,buy,200,21683.3706
2015-04-01,deposit_invest,511880.SH,buy,100,10882.44675
2015-05-04,deposit_invest,511880.SH,buy,200,21837.3822
2015-06-01,deposit_invest,511880.SH,buy,200,21888.1458
2015-07-01,deposit_invest,511880.SH,buy,200,21952.6758
2015-08-03,deposit_invest,511880.SH,buy,200,22026.0249
2015-09-01,deposit_invest,511880.SH,buy,100,11030.543099999999
2015-10-08,deposit_invest,511880.SH,buy,200,22109.9139
2015-11-02,deposit_invest,511880.SH,buy,200,22154.224499999997
2015-12-01,deposit_invest,511880.SH,buy,200,22192.942499999997
2016-01-04,deposit_invest,511880.SH,buy,200,22255.338320000003
2016-02-01,deposit_invest,511880.SH,buy,100,11151.895499999999
2016-03-01,deposit_invest,511880.SH,buy,200,22346.46492
2016-04-01,deposit_invest,511880.SH,buy,200,22396.25116
2016-05-03,deposit_invest,511880.SH,buy,200,22446.037399999997
2016-06-01,deposit_invest,511880.SH,buy,200,22482.93256
2016-07-01,deposit_invest,511880.SH,buy,100,11266.02601
2016-08-01,deposit_invest,511880.SH,buy,200,22582.282779999998
2016-09-01,deposit_invest,511880.SH,buy,200,22629.17964
2016-10-10,deposit_invest,511880.SH,buy,200,22686.078199999996
2016-11-01,deposit_invest,511880.SH,buy,100,11359.597469999999
2016-12-01,deposit_invest,511880.SH,buy,200,22760.090780000002
2017-01-03,deposit_invest,511880.SH,buy,200,22820.0828
2017-02-03,deposit_invest,511880.SH,buy,200,22869.765
2017-03-01,deposit_invest,511880.SH,buy,100,11457.672499999999
2017-04-05,deposit_invest,511880.SH,buy,200,22983.4871
2017-05-02,deposit_invest,511880.SH,buy,200,23050.4897
2017-06-01,deposit_invest,511880.SH,buy,200,23118.176
2017-07-03,deposit_invest,511880.SH,buy,100,11596.691499999999
2017-08-01,deposit_invest,511880.SH,buy,200,23261.752999999997
2017-08-25,threshold_rebalance,511880.SH,sell,4100,478164.7386
2017-08-25,threshold_rebalance,511260.SH,buy,4800,477537.6
2017-09-01,deposit_invest,511880.SH,buy,100,11669.8474
2017-09-01,deposit_invest,511260.SH,buy,100,9981.5
2017-09-22,threshold_rebalance,511260.SH,sell,2000,200206.0
2017-09-22,threshold_rebalance,511880.SH,buy,1700,198852.3218
2017-10-09,threshold_rebalance,511880.SH,sell,2900,339677.99905
2017-10-09,threshold_rebalance,511260.SH,buy,3600,360720.0
2017-11-01,deposit_invest,511260.SH,buy,100,9938.9
2017-12-01,deposit_invest,511260.SH,buy,200,19565.0
2017-12-01,deposit_invest,511880.SH,buy,100,11781.518399999999
2017-12-28,threshold_rebalance,511260.SH,sell,3800,372840.8
2017-12-28,threshold_rebalance,511880.SH,buy,3000,353917.305
2018-01-02,threshold_rebalance,511880.SH,sell,3000,354663.6258
2018-01-02,threshold_rebalance,511260.SH,buy,3900,382664.1
2018-02-01,deposit_invest,511880.SH,buy,100,11864.375599999998
2018-02-01,deposit_invest,511260.SH,buy,100,9805.6
2018-02-09,threshold_rebalance,511260.SH,sell,3900,383292.0
2018-02-09,threshold_rebalance,511880.SH,buy,3200,379920.62943999993
2018-03-01,deposit_invest,511880.SH,buy,200,23800.985559999994
2018-03-01,deposit_invest,511260.SH,buy,100,9940.1
2018-03-28,threshold_rebalance,511880.SH,sell,3300,393748.43408999994
2018-03-28,threshold_rebalance,511260.SH,buy,3900,388295.7
2018-04-02,deposit_invest,511880.SH,buy,100,11938.852529999998
2018-04-02,deposit_invest,511260.SH,buy,100,9956.8
2018-04-03,threshold_rebalance,511260.SH,sell,4000,399088.0
2018-04-03,threshold_rebalance,511880.SH,buy,3300,394118.45814
2018-05-02,deposit_invest,511880.SH,buy,100,11979.10076
2018-05-15,threshold_rebalance,511880.SH,sell,3300,395730.98399999994
2018-05-15,threshold_rebalance,511260.SH,buy,4100,410856.9
2018-06-01,threshold_rebalance,511260.SH,sell,4000,407176.0
2018-06-01,threshold_rebalance,511880.SH,buy,3500,420545.02105
2018-07-02,deposit_invest,511880.SH,buy,100,12053.341629999999
2018-07-31,threshold_rebalance,511880.SH,sell,3400,410997.45632
2018-07-31,threshold_rebalance,511260.SH,buy,4100,420200.8
2018-08-01,deposit_invest,511260.SH,buy,100,10279.0
2018-08-02,threshold_rebalance,511260.SH,sell,4100,421102.8
2018-08-02,threshold_rebalance,511880.SH,buy,3600,435313.99691999995
2018-09-03,threshold_rebalance,511880.SH,sell,3500,424486.04274999996
2018-09-03,threshold_rebalance,511260.SH,buy,4200,430815.0
2018-10-08,deposit_invest,511260.SH,buy,200,20420.0
2018-10-08,deposit_invest,511880.SH,buy,100,12155.673639999999
2018-10-12,threshold_rebalance,511260.SH,sell,4300,442125.99999999994
2018-10-12,threshold_rebalance,511880.SH,buy,3600,437778.4633199999
2018-11-01,deposit_invest,511880.SH,buy,100,12176.682979999998
2018-12-03,deposit_invest,511880.SH,buy,200,24402.93856
2018-12-18,threshold_rebalance,511880.SH,sell,3700,451952.2139
2018-12-18,threshold_rebalance,511260.SH,buy,4300,450038.0
2019-01-02,threshold_rebalance,511260.SH,sell,4300,455370.0
2019-01-02,threshold_rebalance,511880.SH,buy,3900,477014.76576
2019-02-01,threshold_rebalance,511880.SH,sell,7800,957326.3855999999
2019-02-01,threshold_rebalance,512890.SH,buy,489800,499106.19999999995
2019-02-01,threshold_rebalance,511260.SH,buy,4500,479029.49999999994
2019-03-01,threshold_rebalance,512890.SH,sell,223300,242503.80000000002
2019-03-01,threshold_rebalance,511260.SH,buy,1300,137814.3
2019-03-01,threshold_rebalance,511880.SH,buy,1000,122917.392
2019-04-01,threshold_rebalance,511260.SH,sell,1900,202479.19999999998
2019-04-01,threshold_rebalance,511880.SH,buy,1500,184687.59600000002
2019-04-01,threshold_rebalance,512890.SH,buy,24300,29160.0
2019-05-06,threshold_rebalance,511260.SH,sell,1600,167833.6
2019-05-06,threshold_rebalance,511880.SH,sell,2400,296230.18176
2019-05-06,threshold_rebalance,512890.SH,buy,442800,487080.00000000006
2019-06-03,threshold_rebalance,511260.SH,sell,2500,265042.5
2019-06-03,threshold_rebalance,511880.SH,buy,1200,148406.80896
2019-06-03,threshold_rebalance,512890.SH,buy,122300,135019.2
2019-07-01,threshold_rebalance,512890.SH,sell,533600,600300.0
2019-07-01,threshold_rebalance,511260.SH,buy,4400,468195.2
2019-07-01,threshold_rebalance,511880.SH,buy,1300,161044.01664000002
2019-08-01,threshold_rebalance,511260.SH,sell,4300,460753.6
2019-08-01,threshold_rebalance,511880.SH,sell,1200,148975.58592
2019-08-01,threshold_rebalance,512890.SH,buy,533600,612572.7999999999
2019-09-02,deposit_invest,512890.SH,buy,28100,31303.4
2019-09-03,threshold_rebalance,512890.SH,sell,558000,625518.0
2019-09-03,threshold_rebalance,511260.SH,buy,4300,464662.30000000005
2019-09-03,threshold_rebalance,511880.SH,buy,1300,161728.47912
2019-10-08,threshold_rebalance,511880.SH,sell,1400,174569.32752
2019-10-08,threshold_rebalance,512890.SH,sell,44500,49840.00000000001
2019-10-08,threshold_rebalance,511260.SH,buy,2300,247020.0
2019-11-01,deposit_invest,511260.SH,buy,200,21340.0
2019-11-01,deposit_invest,512890.SH,buy,100,112.99999999999999
2019-11-11,threshold_rebalance,511260.SH,sell,1200,128161.2
2019-11-11,threshold_rebalance,511880.SH,sell,1100,137453.2104
2019-11-11,threshold_rebalance,512890.SH,buy,213100,244212.59999999998
2019-12-02,threshold_rebalance,511260.SH,sell,4900,526995.0
2019-12-02,threshold_rebalance,511880.SH,buy,2800,350328.98208
2019-12-02,threshold_rebalance,512890.SH,buy,185500,212768.5
2020-01-02,threshold_rebalance,512890.SH,sell,352900,425244.5
2020-01-02,threshold_rebalance,511260.SH,buy,4100,444243.2
2020-02-03,threshold_rebalance,511260.SH,sell,4600,506013.8
2020-02-03,threshold_rebalance,511880.SH,sell,1400,175881.29496
2020-02-03,threshold_rebalance,512890.SH,buy,601500,679093.5
2020-03-02,deposit_invest,512890.SH,buy,34600,39097.99999999999
2020-03-02,deposit_invest,511260.SH,buy,100,11175.0
2020-03-03,threshold_rebalance,512890.SH,sell,617700,722709.0
2020-03-03,threshold_rebalance,511260.SH,buy,4500,502690.5
2020-03-03,threshold_rebalance,511880.SH,buy,1600,201484.10816
2020-04-01,threshold_rebalance,511260.SH,sell,4600,519008.8
2020-04-01,threshold_rebalance,511880.SH,sell,1400,176589.6524
2020-04-01,threshold_rebalance,512890.SH,buy,671600,720626.7999999999
2020-05-06,threshold_rebalance,512890.SH,sell,642100,717867.8
2020-05-06,threshold_rebalance,511260.SH,buy,4700,538389.7
2020-05-06,threshold_rebalance,511880.SH,buy,1500,189421.1166
2020-06-01,threshold_rebalance,511880.SH,sell,1600,202329.72864000002
2020-06-01,threshold_rebalance,512890.SH,sell,51900,57660.9
2020-06-01,threshold_rebalance,511260.SH,buy,2600,293235.8
2020-07-01,deposit_invest,511260.SH,buy,200,22300.0
2020-07-24,threshold_rebalance,511260.SH,sell,2300,255783.0
2020-07-24,threshold_rebalance,511880.SH,buy,1800,228182.2704
2020-08-03,threshold_rebalance,511880.SH,sell,1600,202868.7616
2020-08-03,threshold_rebalance,512890.SH,sell,37300,48900.299999999996
2020-08-03,threshold_rebalance,511260.SH,buy,2700,297993.6
2020-09-01,deposit_invest,511260.SH,buy,200,21960.0
2020-09-07,threshold_rebalance,511260.SH,sell,1300,143440.7
2020-09-07,threshold_rebalance,511880.SH,sell,1200,152408.56368
2020-09-07,threshold_rebalance,512890.SH,buy,214800,287832.0
2020-10-09,threshold_rebalance,511260.SH,sell,3300,363099.0
2020-10-09,threshold_rebalance,511880.SH,sell,2300,292683.87616
2020-10-09,threshold_rebalance,512890.SH,buy,292000,380476.0
2020-10-09,threshold_rebalance,511360.SH,buy,2900,290620.6
2020-11-02,threshold_rebalance,512890.SH,sell,268600,349717.2
2020-11-02,threshold_rebalance,511260.SH,buy,3500,385367.5
2020-12-01,threshold_rebalance,512890.SH,sell,250900,359288.8
2020-12-01,threshold_rebalance,511260.SH,buy,1600,175492.80000000002
2020-12-01,threshold_rebalance,511360.SH,buy,900,90541.8
2020-12-01,threshold_rebalance,511880.SH,buy,700,89346.8422
2021-01-04,threshold_rebalance,511260.SH,sell,7900,869829.5
2021-01-04,threshold_rebalance,511360.SH,sell,900,91554.3
2021-01-04,threshold_rebalance,512890.SH,buy,669600,891237.6
2021-01-04,threshold_rebalance,511880.SH,buy,700,89553.62752000001
2021-02-01,threshold_rebalance,511880.SH,sell,1300,166602.8728
2021-02-01,threshold_rebalance,512890.SH,sell,75200,96857.6
2021-02-01,threshold_rebalance,511260.SH,buy,2100,231798.0
2021-02-01,threshold_rebalance,511360.SH,buy,700,70802.2
2021-03-01,threshold_rebalance,512890.SH,sell,570900,782133.0000000001
2021-03-01,threshold_rebalance,511260.SH,buy,6200,684647.4
2021-03-01,threshold_rebalance,511880.SH,buy,700,89885.42024000002
2021-03-01,threshold_rebalance,511360.SH,buy,300,30429.9
2021-04-01,threshold_rebalance,511260.SH,sell,3900,432900.0
2021-04-01,threshold_rebalance,511880.SH,buy,1900,244399.51408
2021-04-01,threshold_rebalance,511360.SH,buy,1100,111743.5
2021-04-01,threshold_rebalance,512890.SH,buy,62900,89255.1
2021-05-06,threshold_rebalance,511260.SH,sell,3300,368520.9
2021-05-06,threshold_rebalance,512890.SH,buy,254200,365285.4
2021-05-06,threshold_rebalance,511880.SH,buy,100,12888.55656
2021-05-06,threshold_rebalance,511360.SH,buy,100,10202.0
2021-06-01,threshold_rebalance,512890.SH,sell,265200,407612.39999999997
2021-06-01,threshold_rebalance,511260.SH,buy,3600,404647.2
2021-06-01,threshold_rebalance,511360.SH,buy,100,10228.6
2021-07-01,threshold_rebalance,511260.SH,sell,1800,202869.0
2021-07-01,threshold_rebalance,511360.SH,sell,3500,358578.5
2021-07-01,threshold_rebalance,511880.SH,sell,1300,168071.09072000004
2021-07-01,threshold_rebalance,512890.SH,buy,508000,761492.0
2021-08-02,threshold_rebalance,511260.SH,sell,2700,309503.7
2021-08-02,threshold_rebalance,512890.SH,buy,108200,153968.6
2021-08-02,threshold_rebalance,511360.SH,buy,1400,143943.8
2021-08-02,threshold_rebalance,511880.SH,buy,100,12952.3088
