experiment,direction,change,annualized_return,volatility,sharpe,max_drawdown,sortino,calmar,worst_calendar_return,best_calendar_return,final_nav,total_deposits,trades,rebalance_dates,traded_notional,estimated_transaction_cost,average_cash_weight,meets_5pct_return_floor
baseline_calendar,baseline,"confirmed baseline: 4-ETF pool, reversal_20 ranks, 50% global tilt, month-start calendar rebalance",0.0658356663628763,0.043110302248543085,1.5006708695233377,-0.05912863943001134,1.8364877769379477,1.1134311054257193,0.009961889154295633,0.13290202086440028,5530870.910917307,3280000.0,504,94,161299254.1654,80649.6270827,0.031169797831788318,True
pool_add_510880,pool,"add 510880.SH (SSE dividend, 2013); dividend sleeve split 17.5/17.5",0.06556783041569392,0.051292662314304564,1.2639163898729753,-0.07523439439612833,1.71549237561749,0.8715140321388448,0.015918312803455015,0.12156907204499201,5315876.323882238,3280000.0,716,129,151953500.99170208,75976.75049585104,0.02547831079665903,True
pool_add_515450,pool,"add 515450.SH (S&P China large dividend low-vol 50, 2020); dividend sleeve split 17.5/17.5",0.05861377931923428,0.03731714680127765,1.5451796594365266,-0.05119853214723913,1.886453334159852,1.1448331985508888,0.013901898502923782,0.14031445365592665,5205277.3336784765,3280000.0,618,97,133002566.14306,66501.28307153001,0.031192837194635645,True
pool_add_511010,pool,"add 511010.SH (5y sovereign, 2013); sovereign sleeve split 20/20",0.06174419516997287,0.041738032223057,1.4564502012669696,-0.05689460051506312,1.856057497021154,1.0852382231531057,0.010117196636717729,0.12293828548707175,5367254.196291219,3280000.0,683,127,155219500.77758002,77609.75038879001,0.03524832499189416,True
pool_add_511090,pool,"add 511090.SH (30y sovereign, listed 2023-06, just past 3y); sovereign sleeve split 20/20",0.06255927412941698,0.041990893785866915,1.466212627256697,-0.05707890301080698,1.7637853050602779,1.096013953133829,0.016276035299537472,0.1392187985740434,5362658.956578227,3280000.0,558,97,141724679.32356,70862.33966178,0.03135765511392081,True
pool_add_511990,pool,"add 511990.SH (Huabao money market, 2013); money sleeve split 5/5",0.06299230719519056,0.04342053276684663,1.428724503529575,-0.058878800193121195,1.7423239289410382,1.069863974615263,0.006128271682173114,0.1329049231671433,5410490.192370105,3280000.0,602,100,154934919.03981,77467.45951990501,0.0353014918219019,True
pool_full_8etf,pool,restore the confirmed 8-ETF defensive universe (3 dividend / 3 sovereign / 1 credit / 1 money),0.05728047646652357,0.0425242698592085,1.3312163996792479,-0.05608653710479705,1.8106656256043223,1.021287450132563,0.014394654079745717,0.14120481443341348,5035684.541750628,3280000.0,974,150,120256329.76658075,60128.164883290374,0.031957422156645335,True
score_reversal_05,score,reversal window 20 -> 5,0.060154104206407766,0.044223337477729885,1.3431330078910304,-0.06389561646100617,1.5232899976873533,0.9414433655729458,0.018046984618115047,0.14561492490385097,5290409.242619279,3280000.0,522,97,146604986.88146,73302.49344073,0.03104182728111332,True
score_reversal_10,score,reversal window 20 -> 10,0.059515025667945975,0.043202221774015476,1.3598597524756266,-0.056887175118221944,1.5974866362326587,1.0461940770351643,0.01804117920413839,0.1411508953348577,5251323.96030824,3280000.0,517,96,144948929.64352998,72474.464821765,0.03117091036129738,True
score_reversal_40,score,reversal window 20 -> 40,0.06487438226719555,0.04329536654701813,1.4735862092100973,-0.06972843871679568,1.7737909509577399,0.9303862736793084,0.019662381398363404,0.15698342684962507,5473770.024217646,3280000.0,471,91,120275104.76472,60137.552382359994,0.03117271262637526,True
score_reversal_60,score,reversal window 20 -> 60,0.0632603807697889,0.042827961640422796,1.4537827167144544,-0.0550742657304405,1.690424688863443,1.1486377517843838,0.021562277459166834,0.14882027933055775,5378812.856091847,3280000.0,475,89,109451182.03631997,54725.59101815999,0.031002379901844023,True
score_momentum_20,score,factor direction flip: positive 20-day momentum instead of reversal,0.03741279089610572,0.05248998797121097,0.7260836246118006,-0.09413538105534092,0.7101311110226767,0.39743601690113994,-0.016455481874706357,0.10140183761912303,4167311.1680985102,3280000.0,516,94,128597778.26299001,64298.88913149501,0.03129945039642565,False
score_reversal_voladj_20,score,reversal divided by window volatility (vol-adjusted reversal),0.06037543966848369,0.04929145524206901,1.214091702893739,-0.05608539244862021,1.3819943031502024,1.0764913470792523,0.011384651565168546,0.13524282934935572,5236644.610866218,3280000.0,478,91,73704660.78757,36852.330393785,0.03119074781605865,True
score_low_vol_20,score,replace reversal with 20-day low-volatility rank,0.04491090608112458,0.026747707801143952,1.6559546967211674,-0.029841687057904243,1.9002233830684192,1.5049720880049546,0.013054882687880243,0.08986645501009782,4513947.957841346,3280000.0,434,72,21110246.717309996,10555.123358654999,0.0312490938288644,False
score_quality_momentum_20,score,replace reversal with 20-day momentum x Kaufman ER,0.03944385178126586,0.051991681004556624,0.7701638699692989,-0.09643847799619965,0.7556994002944821,0.4090053327347226,-0.028246167221263718,0.11485603777801145,4259475.315007776,3280000.0,518,94,134884260.76446,67442.13038223,0.031406768323104024,False
score_momentum_low_vol_60,score,composite: 60-day momentum and 60-day low-vol ranks averaged,0.04231807920483255,0.039798693424428405,1.0614125457895787,-0.05350050534826889,1.129481621294636,0.7909846632168649,0.0007539778547041021,0.09551870869118573,4402933.488350278,3280000.0,490,91,52872431.45944999,26436.215729724998,0.031394994423165255,False
score_zscore_exp05,score,z-score normalization + exponential tilt exp(0.5 * z),0.06995574410728378,0.04746409842734287,1.4484594008640632,-0.06839622922071731,1.7368948546874585,1.0228011822338021,0.017679473773229537,0.13357348499962884,5769732.0239381865,3280000.0,524,98,198611147.60364997,99305.57380182498,0.031158898237890396,True
score_zscore_exp03,score,z-score normalization + exponential tilt exp(0.3 * z),0.06349515118227345,0.043570455372479694,1.4348209018206455,-0.056517907107279663,1.7413807542626543,1.1234519187299328,0.016192527668877688,0.12342792793715929,5410472.733619587,3280000.0,516,98,123975457.64084,61987.72882042,0.031158607728911283,True
score_zscore_sigmoid05,score,z-score normalization + sigmoid tilt (1 + 0.5 * tanh(z)),0.06441708413573743,0.042558496065083995,1.4882769504261404,-0.05638785799048052,1.8158011534188045,1.1423928205716278,0.01641898436549072,0.12260451100665515,5456908.61696719,3280000.0,527,98,137201420.70564002,68600.71035282001,0.031042696969656034,True
score_zscore_additive,score,z-score normalization + additive tilt bi + 0.05 * z,0.05815297053558899,0.04196377636448983,1.3681041989789582,-0.04870487438998383,1.623145736845804,1.1939866648654813,0.015287009600924772,0.12144025628557453,5133843.840132869,3280000.0,532,99,71169750.19426998,35584.875097134995,0.03118482203406758,True
score_tilt_025,score,tilt strength 0.50 -> 0.25,0.05917667103675561,0.04240227737179471,1.3772011360627043,-0.04855222058550457,1.6366281342185633,1.2188252220625109,0.01075857434634564,0.12541562158368746,5182274.26795314,3280000.0,506,95,80801134.83373,40400.567416865,0.0311187641898459,True
score_tilt_075,score,tilt strength 0.50 -> 0.75,0.0727569506318193,0.046175667057471434,1.544199817074699,-0.06957859603820749,1.8380835723022424,1.045680062182722,0.008343110195536463,0.14510652200525942,5914498.914070275,3280000.0,507,97,252163054.93948,126081.52746974,0.030987599658844074,True
score_tilt_100,score,tilt strength 0.50 -> 1.00,0.08018396841008246,0.0515128139358774,1.523216042050302,-0.08185481676603068,1.7345828857788845,0.9795876599330241,0.006272301152552506,0.17211083370227342,6352067.695918943,3280000.0,472,91,357182193.88216,178591.09694108,0.030495632362233297,True
score_blend_050,score,50/50 blend of baseline and rank-tilted portfolio,0.058192306508261904,0.036784793798312586,1.5561796412111049,-0.04959930215625974,1.8896329171835318,1.1732484929915021,0.0159491780289851,0.11321742620714126,5153053.454512949,3280000.0,490,95,129920449.33411999,64960.22466706,0.031163655855630697,True
score_dynamic_bi_invvol60,score,dynamic bi: fixed weights rescaled by inverse 60-day volatility,0.03874833173886105,0.021172095937299955,1.8062843484365225,-0.03133330844409321,1.9027900998358134,1.2366498676001028,0.010278178994016951,0.09270553532198544,4205240.921901234,3280000.0,529,95,90613693.19754,45306.846598770004,0.031398994679538585,False
mech_calendar_or_drift_05,mechanism,add 5% portfolio one-sided drift trigger on top of calendar,0.054340790389948435,0.04682550768024595,1.1536000549890884,-0.05779059279532506,1.2422289790346932,0.9403051216727493,0.004153615969054281,0.1569530664044565,5025831.221972199,3280000.0,2055,531,612383269.59567,306191.634797835,0.02973223144870681,True
mech_calendar_or_drift_10,mechanism,add 10% portfolio one-sided drift trigger on top of calendar,0.054519235303281954,0.04676838570962155,1.158571841291454,-0.05779059279532506,1.2464200768215,0.9433929064609329,0.0038669885978970253,0.1534729178569305,5032873.481404198,3280000.0,1799,459,588412336.93167,294206.168465835,0.029816219434264137,True
mech_calendar_or_drift_15,mechanism,add 15% portfolio one-sided drift trigger on top of calendar,0.056101558171103516,0.04536897652801611,1.2259333344819192,-0.05625603020109471,1.352731631180116,0.9972541249455568,0.00441818254860582,0.15362958061473875,5088063.084062337,3280000.0,1598,397,564550014.33539,282275.007167695,0.02974918134941446,True
mech_min_notional_5k,mechanism,"minimum rebalance order notional 10,000 -> 5,000",0.06580174509208914,0.04309827964033295,1.5003388527497092,-0.05912580664474831,1.8357828525549014,1.1129107377333989,0.009963658051052926,0.13294580505243037,5529326.724990308,3280000.0,511,97,161347341.9994,80673.6709997,0.031144430346780865,True
mech_min_notional_20k,mechanism,"minimum rebalance order notional 10,000 -> 20,000",0.06584612395222167,0.04313013399021538,1.500228209975167,-0.05909864670092335,1.8356800986984125,1.1141731262552395,0.009793304487516918,0.13270138818443633,5531290.450209961,3280000.0,478,90,160888958.52008998,80444.47926004499,0.03124751372213088,True
mech_min_notional_0,mechanism,remove the minimum rebalance order notional floor,0.0657998737997536,0.043097312612973726,1.5003308039294039,-0.05912693603010011,1.835726985794316,1.1128578312641884,0.009959846786321558,0.13295138504662307,5529200.9299855195,3280000.0,511,98,161355217.00897998,80677.60850449,0.03115300459027915,True
score_tilt_125,score,tilt strength 0.50 -> 1.25,0.08144836216751772,0.05321033268008919,1.498276604703939,-0.08568167720440756,1.699578312522792,0.9505925283559683,0.00623475663016948,0.17631468915642,6433990.661436221,3280000.0,475,92,380635801.2076,190317.9006038,0.03073875049343614,True
