combo,strength,annualized_return,volatility,sharpe,max_drawdown,sortino,calmar,worst_calendar_return,best_calendar_return,final_nav,total_deposits,trades,rebalance_dates,traded_notional,estimated_transaction_cost,average_cash_weight,meets_5pct_return_floor
A_rank_linear,0.6,0.06906580437807897,0.04439217629390799,1.5267713178982507,-0.06483649655770518,1.8571485836888744,1.065230357050672,0.01200538247341143,0.13278443705296628,5702054.881065182,3280000.0,445,89,183070465.52966,91535.23276483,0.031146194837056593,True
B_zscore_sigmoid,0.6,0.06614124759925533,0.04339953750820143,1.4975656070892873,-0.05917230312431154,1.818246540928898,1.117773757433493,0.017275822080570435,0.1229208409112772,5550622.281396534,3280000.0,459,90,150208168.46695,75104.084233475,0.031145882886706257,True
A_rank_linear,0.65,0.07039001866151628,0.045107885466016476,1.5307016670725317,-0.06706266007056239,1.8458944566777031,1.0496156667130845,0.011883021479696332,0.1349751363143008,5775984.257365278,3280000.0,450,87,199663499.68946996,99831.74984473498,0.03096564688986046,True
B_zscore_sigmoid,0.65,0.0673131509353917,0.04390836297364023,1.5057396986972351,-0.06091116244915529,1.8201728765622265,1.1051036990400631,0.01776768998987066,0.12448273935692589,5615180.431447321,3280000.0,459,88,162977950.20538,81488.97510269,0.030959742057542688,True
A_rank_linear,0.7,0.07175529098415656,0.04594158311785269,1.531497699953763,-0.06926754049796935,1.8339569293073927,1.0359150977254656,0.01178883784518181,0.13729895083764654,5853829.940576382,3280000.0,449,87,216412895.78726,108206.44789363,0.03100830212713982,True
B_zscore_sigmoid,0.7,0.06844095151849117,0.044496015071335146,1.5101745238908117,-0.06265736169563052,1.8159473263450419,1.0923050327422894,0.01828764941549421,0.1266018515326479,5677961.78305072,3280000.0,460,88,176100038.49858,88050.01924929001,0.030949323933130893,True
A_rank_linear,0.8,0.07445301860021591,0.047855593023128876,1.5246555631534824,-0.0736701732592423,1.7901078741640322,1.0106263540092246,0.011474518569519976,0.14860928902402737,6010144.339481967,3280000.0,444,86,251028125.85610002,125514.06292805001,0.031054958956717355,True
B_zscore_sigmoid,0.8,0.07065044905429096,0.04589284556265793,1.510603352804268,-0.06616076091626188,1.7901288548725636,1.0678602857018464,0.019000056110084707,0.13563207050633252,5803393.775492952,3280000.0,457,90,202728387.95412,101364.19397706,0.031168110320764008,True
A_rank_linear,0.85,0.075765791932902,0.04893672594415548,1.516994321756994,-0.07583786906505086,1.7634652495724572,0.9990495891691389,0.011277729513745394,0.1543669884237322,6087908.7054583095,3280000.0,446,84,268907573.36341,134453.786681705,0.0309577949779468,True
B_zscore_sigmoid,0.85,0.0717533518586666,0.046701606312452286,1.5072931128067297,-0.06791870463894967,1.7695195096318055,1.0564593691841093,0.019462658476905537,0.14029147393927333,5867358.2451893985,3280000.0,461,89,216203623.44123,108101.811720615,0.03100511116113575,True
A_rank_linear,0.9,0.07711276018623336,0.050101095118998074,1.5078666454892098,-0.07803192776015766,1.742013564670448,0.9882206219901488,0.010988680117964167,0.16019867202452542,6168394.201340827,3280000.0,438,86,287091427.99837995,143545.71399919,0.03090681504125302,True
B_zscore_sigmoid,0.9,0.07285487098815024,0.04756668374403216,1.5023354411488847,-0.06963218315204722,1.751491690974412,1.0462815854712761,0.019865733045723033,0.144692012093099,5931410.0432534395,3280000.0,458,87,230167072.29314995,115083.53614657497,0.030908559570008032,True
