rank,start,valley,end,days,depth_pct,holdings_at_peak,holdings_at_valley,rebalance_trades,rebalance_detail
1,2024-07-02,2024-09-11,2024-09-30,90,-6.926754049796912,红利低波ETF 62.1% / 短融ETF 15.4% / 10年国债ETF 12.4% / 银华日利 10.0%,红利低波ETF 49.5% / 10年国债ETF 35.6% / 银华日利 10.0% / 短融ETF 3.9%,12,2024-07-02: 10年国债ETF卖166.0万; 短融ETF卖69.3万; 红利低波ETF买232.7万; 银华日利买1.4万<br>2024-08-02: 10年国债ETF卖2.6万; 短融ETF卖1.1万; 银华日利卖1.4万; 红利低波ETF买4.5万<br>2024-09-03: 短融ETF卖55.2万; 银华日利卖1.4万; 红利低波ETF卖47.1万; 10年国债ETF买100.4万
2,2026-04-23,2026-06-30,2026-07-30,98,-6.174747093931421,10年国债ETF 65.4% / 短融ETF 14.3% / 红利低波ETF 10.1% / 银华日利 9.9%,红利低波ETF 59.6% / 短融ETF 16.6% / 10年国债ETF 13.2% / 银华日利 10.5%,9,2026-05-07: 10年国债ETF卖306.4万; 红利低波ETF买297.1万; 短融ETF买6.8万<br>2026-06-02: 红利低波ETF卖1.6万; 短融ETF买1.1万<br>2026-07-02: 短融ETF卖69.3万; 银华日利卖2.8万; 红利低波ETF卖44.9万; 10年国债ETF买116.7万
3,2022-09-09,2022-10-31,2022-11-25,77,-4.92235141643863,10年国债ETF 47.1% / 短融ETF 29.9% / 红利低波ETF 12.9% / 银华日利 9.9%,红利低波ETF 49.2% / 10年国债ETF 36.3% / 银华日利 10.4% / 短融ETF 3.8%,7,2022-10-11: 10年国债ETF卖42.9万; 短融ETF卖91.0万; 红利低波ETF买132.9万<br>2022-11-02: 10年国债ETF卖78.0万; 银华日利卖1.3万; 红利低波ETF买41.2万; 短融ETF买37.1万
4,2023-06-09,2023-06-26,2023-07-27,48,-4.029905615913232,红利低波ETF 62.2% / 短融ETF 15.3% / 10年国债ETF 12.3% / 银华日利 9.6%,红利低波ETF 60.6% / 短融ETF 16.0% / 10年国债ETF 12.8% / 银华日利 10.0%,2,2023-07-04: 10年国债ETF卖1.2万; 红利低波ETF卖1.7万
5,2024-12-30,2025-01-13,2025-05-13,134,-3.943980959309412,红利低波ETF 62.8% / 短融ETF 15.1% / 10年国债ETF 12.4% / 银华日利 9.6%,红利低波ETF 60.5% / 短融ETF 15.7% / 10年国债ETF 12.6% / 银华日利 10.0%,13,2025-01-03: 10年国债ETF卖4.1万; 红利低波ETF卖2.3万<br>2025-02-06: 红利低波ETF买6.2万<br>2025-03-04: 短融ETF卖59.0万; 红利低波ETF卖164.4万; 10年国债ETF买223.7万<br>2025-04-02: 红利低波ETF卖101.7万; 短融ETF买52.4万; 10年国债ETF买48.4万<br>2025-05-07: 10年国债ETF卖275.9万; 红利低波ETF买266.0万; 短融ETF买6.7万; 银华日利买1.4万
6,2024-01-05,2024-01-22,2024-01-25,20,-3.1999394823873595,红利低波ETF 62.5% / 短融ETF 15.3% / 10年国债ETF 12.2% / 银华日利 9.8%,红利低波ETF 61.3% / 短融ETF 15.8% / 10年国债ETF 12.6% / 银华日利 10.2%,0,无
7,2021-06-03,2021-08-03,2021-08-11,69,-3.1935894645779617,10年国债ETF 47.3% / 短融ETF 30.1% / 红利低波ETF 12.4% / 银华日利 10.0%,红利低波ETF 61.6% / 短融ETF 15.4% / 10年国债ETF 12.5% / 银华日利 9.7%,7,2021-07-02: 10年国债ETF卖35.0万; 短融ETF卖71.7万; 红利低波ETF买104.8万<br>2021-08-03: 10年国债ETF卖62.0万; 银华日利卖1.3万; 短融ETF买30.9万; 红利低波ETF买30.2万
8,2019-04-01,2019-05-09,2019-07-01,91,-3.1041922414692835,10年国债ETF 65.2% / 银华日利 23.9% / 红利低波ETF 10.7%,红利低波ETF 61.3% / 银华日利 25.9% / 10年国债ETF 12.3%,4,2019-04-02: 红利低波ETF卖1.1万<br>2019-05-07: 10年国债ETF卖91.5万; 红利低波ETF买88.1万; 银华日利买2.5万
9,2021-01-19,2021-01-29,2021-02-18,30,-2.736075124973314,红利低波ETF 52.1% / 10年国债ETF 34.1% / 银华日利 9.7% / 短融ETF 3.6%,红利低波ETF 50.8% / 10年国债ETF 35.0% / 银华日利 10.0% / 短融ETF 3.7%,3,2021-02-02: 10年国债ETF卖55.3万; 红利低波ETF买26.4万; 短融ETF买26.3万
10,2021-09-13,2021-11-10,2021-12-07,85,-2.620418338549202,10年国债ETF 65.3% / 短融ETF 14.1% / 红利低波ETF 11.3% / 银华日利 9.3%,红利低波ETF 50.7% / 10年国债ETF 35.0% / 银华日利 9.9% / 短融ETF 3.9%,6,2021-10-11: 红利低波ETF卖1.1万<br>2021-11-02: 10年国债ETF卖90.6万; 短融ETF卖30.0万; 红利低波ETF买118.9万<br>2021-12-02: 短融ETF卖3.1万; 红利低波ETF买2.0万
