date,strategy_nav,strategy_return,strategy_cash_weight,calendar_nav,calendar_return,calendar_cash_weight,static_nav,static_return,static_cash_weight,deposit
2013-01-04,20000.0,,1.0,20000.0,,1.0,20000.0,,1.0,20000.0
2013-01-07,20000.0,0.0,1.0,20000.0,0.0,1.0,20000.0,0.0,1.0,0.0
2013-01-08,20000.0,0.0,1.0,20000.0,0.0,1.0,20000.0,0.0,1.0,0.0
2013-01-09,20000.0,0.0,1.0,20000.0,0.0,1.0,20000.0,0.0,1.0,0.0
2013-01-10,20000.0,0.0,1.0,20000.0,0.0,1.0,20000.0,0.0,1.0,0.0
2013-01-11,20000.0,0.0,1.0,20000.0,0.0,1.0,20000.0,0.0,1.0,0.0
2013-01-14,20000.0,0.0,1.0,20000.0,0.0,1.0,20000.0,0.0,1.0,0.0
2013-01-15,20000.0,0.0,1.0,20000.0,0.0,1.0,20000.0,0.0,1.0,0.0
2013-01-16,20000.0,0.0,1.0,20000.0,0.0,1.0,20000.0,0.0,1.0,0.0
2013-01-17,20000.0,0.0,1.0,20000.0,0.0,1.0,20000.0,0.0,1.0,0.0
2013-01-18,20000.0,0.0,1.0,20000.0,0.0,1.0,20000.0,0.0,1.0,0.0
2013-01-21,20000.0,0.0,1.0,20000.0,0.0,1.0,20000.0,0.0,1.0,0.0
2013-01-22,20000.0,0.0,1.0,20000.0,0.0,1.0,20000.0,0.0,1.0,0.0
2013-01-23,20000.0,0.0,1.0,20000.0,0.0,1.0,20000.0,0.0,1.0,0.0
2013-01-24,20000.0,0.0,1.0,20000.0,0.0,1.0,20000.0,0.0,1.0,0.0
2013-01-25,20000.0,0.0,1.0,20000.0,0.0,1.0,20000.0,0.0,1.0,0.0
2013-01-28,20000.0,0.0,1.0,20000.0,0.0,1.0,20000.0,0.0,1.0,0.0
2013-01-29,20000.0,0.0,1.0,20000.0,0.0,1.0,20000.0,0.0,1.0,0.0
2013-01-30,20000.0,0.0,1.0,20000.0,0.0,1.0,20000.0,0.0,1.0,0.0
2013-01-31,20000.0,0.0,1.0,20000.0,0.0,1.0,20000.0,0.0,1.0,0.0
2013-02-01,40000.0,0.0,1.0,40000.0,0.0,1.0,40000.0,0.0,1.0,20000.0
