date,asset,target_weight
2013-01-04,512890.SH,0.35
2013-01-04,511260.SH,0.4
2013-01-04,511360.SH,0.15
2013-01-04,511880.SH,0.1
2013-01-07,512890.SH,0.35
2013-01-07,511260.SH,0.4
2013-01-07,511360.SH,0.15
2013-01-07,511880.SH,0.1
2013-01-08,512890.SH,0.35
2013-01-08,511260.SH,0.4
2013-01-08,511360.SH,0.15
2013-01-08,511880.SH,0.1
2013-01-09,512890.SH,0.35
2013-01-09,511260.SH,0.4
2013-01-09,511360.SH,0.15
2013-01-09,511880.SH,0.1
2013-01-10,512890.SH,0.35
2013-01-10,511260.SH,0.4
2013-01-10,511360.SH,0.15
2013-01-10,511880.SH,0.1
2013-01-11,512890.SH,0.35
2013-01-11,511260.SH,0.4
2013-01-11,511360.SH,0.15
2013-01-11,511880.SH,0.1
2013-01-14,512890.SH,0.35
2013-01-14,511260.SH,0.4
2013-01-14,511360.SH,0.15
2013-01-14,511880.SH,0.1
2013-01-15,512890.SH,0.35
2013-01-15,511260.SH,0.4
2013-01-15,511360.SH,0.15
2013-01-15,511880.SH,0.1
2013-01-16,512890.SH,0.35
2013-01-16,511260.SH,0.4
2013-01-16,511360.SH,0.15
2013-01-16,511880.SH,0.1
2013-01-17,512890.SH,0.35
2013-01-17,511260.SH,0.4
2013-01-17,511360.SH,0.15
2013-01-17,511880.SH,0.1
2013-01-18,512890.SH,0.35
2013-01-18,511260.SH,0.4
2013-01-18,511360.SH,0.15
2013-01-18,511880.SH,0.1
2013-01-21,512890.SH,0.35
2013-01-21,511260.SH,0.4
2013-01-21,511360.SH,0.15
2013-01-21,511880.SH,0.1
2013-01-22,512890.SH,0.35
2013-01-22,511260.SH,0.4
2013-01-22,511360.SH,0.15
2013-01-22,511880.SH,0.1
2013-01-23,512890.SH,0.35
2013-01-23,511260.SH,0.4
2013-01-23,511360.SH,0.15
2013-01-23,511880.SH,0.1
2013-01-24,512890.SH,0.35
2013-01-24,511260.SH,0.4
2013-01-24,511360.SH,0.15
2013-01-24,511880.SH,0.1
2013-01-25,512890.SH,0.35
2013-01-25,511260.SH,0.4
2013-01-25,511360.SH,0.15
2013-01-25,511880.SH,0.1
2013-01-28,512890.SH,0.35
2013-01-28,511260.SH,0.4
2013-01-28,511360.SH,0.15
2013-01-28,511880.SH,0.1
2013-01-29,512890.SH,0.35
2013-01-29,511260.SH,0.4
2013-01-29,511360.SH,0.15
2013-01-29,511880.SH,0.1
2013-01-30,512890.SH,0.35
2013-01-30,511260.SH,0.4
2013-01-30,511360.SH,0.15
2013-01-30,511880.SH,0.1
2013-01-31,512890.SH,0.35
2013-01-31,511260.SH,0.4
2013-01-31,511360.SH,0.15
2013-01-31,511880.SH,0.1
2013-02-01,512890.SH,0.35
2013-02-01,511260.SH,0.4
2013-02-01,511360.SH,0.15
2013-02-01,511880.SH,0.1
2013-02-04,512890.SH,0.35
2013-02-04,511260.SH,0.4
2013-02-04,511360.SH,0.15
2013-02-04,511880.SH,0.1
2013-02-05,512890.SH,0.35
2013-02-05,511260.SH,0.4
2013-02-05,511360.SH,0.15
2013-02-05,511880.SH,0.1
2013-02-06,512890.SH,0.35
2013-02-06,511260.SH,0.4
2013-02-06,511360.SH,0.15
2013-02-06,511880.SH,0.1
2013-02-07,512890.SH,0.35
2013-02-07,511260.SH,0.4
2013-02-07,511360.SH,0.15
2013-02-07,511880.SH,0.1
2013-02-08,512890.SH,0.35
2013-02-08,511260.SH,0.4
