year,walkforward_expanding,walkforward_trailing_36m,baseline_calendar,comboA_fixed_070
2013,0.02761043413281139,0.02761043413281139,0.02761043413281139,0.02761043413281139
2014,0.04449324788640596,0.04449324788640596,0.04449324788640596,0.04449324788640596
2015,0.03119536294349512,0.03119536294349512,0.03119536294349512,0.03119536294349512
2016,0.026074544357653995,0.026074544357653995,0.026074544357653995,0.026074544357653995
2017,0.021869308413925204,0.021869308413925204,0.01821738791997185,0.021869308413925204
2018,0.05284910151060518,0.05284910151060518,0.04807947350553743,0.05284910151060518
2019,0.08207474110235458,0.08207474110235458,0.09270553532198544,0.08628344188612691
2020,0.07127469189119884,0.07127469189119884,0.08035872763209007,0.10229571543526395
2021,0.13400439027202382,0.13605607786542118,0.13290202086440028,0.13704247721569307
2022,0.08031626701894723,0.08491694536639183,0.0754370553741106,0.08920220742609963
2023,0.13741626978189148,0.17308266213798795,0.11419267085075013,0.13729895083764654
2024,0.13363968839779994,0.13447673814729955,0.12739399258765216,0.1330419065607229
2025,0.04776362459882244,0.0591884353461658,0.04162749109947894,0.04837872123548648
2026,0.011813614246879878,0.01107525940344245,0.009961889154295633,0.01178883784518181
