er_group,mom_group,com_group,mean,median,count
low,low,low,1.2255351695996704e-05,0.004364971742715329,74
low,low,mid,0.0008669116299356867,0.0015424164524420192,65
low,low,high,-0.0009710366591047134,-0.001136363636363713,51
low,mid,low,-0.002349702097929952,0.0007967196866150994,238
low,mid,mid,0.0008760284125386672,0.001846722068328699,207
low,mid,high,0.006080937263629379,0.0037358087970962295,166
low,high,low,0.019122854827342817,0.016733639973047998,10
low,high,mid,-0.01151489710139096,-0.0038933812518717748,7
low,high,high,0.022078879177652742,0.01098901098901095,5
mid,low,low,-0.009411133249212179,-0.00037523452157595116,111
mid,low,mid,-0.0005560975832709925,0.0025440663774793926,104
mid,low,high,-0.0015845104835957682,0.00037369207772797175,119
mid,mid,low,0.005257909590069674,0.002193815568349633,60
mid,mid,mid,0.00368476769379765,0.008143875127248013,71
mid,mid,high,2.1594092454529924e-06,0.00068493150684934,40
mid,high,low,0.003292826442875717,2.3356839156440934e-05,110
mid,high,mid,-0.0027368778652420885,-0.004870129870129913,105
mid,high,high,0.007062847492314218,0.006974167668087339,62
high,low,low,0.0019579670653197467,0.0019650655021834496,51
high,low,mid,0.00954017062019858,0.007614903453902588,89
high,low,high,0.008427152233349023,0.008301886792452917,127
high,mid,low,0.0022601068526657184,0.0023612750885477762,9
high,mid,mid,-0.007043459014527876,-0.0009456264775414835,5
high,mid,high,0.007398698158652128,0.004238108598322188,8
high,high,low,0.005881623145047543,0.0048454245968380105,134
high,high,mid,0.006605559446751404,0.003361344537815114,153
high,high,high,0.007139451978121893,0.006679389312977069,219
