er_group,mom_group,conv_group,mean,median,count
low,low,low,0.0020722872446525724,0.0013047295498282985,58
low,low,mid,-0.0037327183629951182,-0.00044345898004427564,59
low,low,high,0.0014763151449841887,0.006600000000000161,73
low,mid,low,0.002586039775244369,0.0017543859649122862,205
low,mid,mid,0.0009647976485070026,0.002066649444588009,213
low,mid,high,-0.0005393558818986251,0.0015485869144404862,193
low,high,low,0.007767383470349887,0.030359355638166052,3
low,high,mid,0.024027060271981805,0.01098901098901095,5
low,high,high,0.0055415151914997495,-0.003743097811564622,14
mid,low,low,-0.0002707552717674829,0.00018341892883344535,120
mid,low,mid,-3.348974555206421e-05,0.0011695327670524502,110
mid,low,high,-0.012065886367767368,0.0008782657660488802,104
mid,mid,low,0.005511110408393847,0.006871359632156238,58
mid,mid,mid,-0.00037518904893778097,0.001431385848725486,58
mid,mid,high,0.0050781094397305436,0.0030289917784509512,55
mid,high,low,0.003983761517167201,-0.0024526084735508324,82
mid,high,mid,0.0018646635702182313,-0.0008253094910590786,91
mid,high,high,0.00015752353934443792,0.002901555879268658,104
high,low,low,0.009006225768550613,0.006698346035159397,102
high,low,mid,0.006673417291299383,0.006507592190889255,99
high,low,high,0.006664795438386439,0.006872549768553116,66
high,mid,low,0.014137508754902856,0.012480484525376645,4
high,mid,mid,-0.003054999077022691,0.0007078243055031463,10
high,mid,high,0.0022891509526480752,0.001475152495099552,8
high,high,low,0.007279424229195296,0.004162949747249511,171
high,high,mid,0.006205800049116782,0.004486540378863646,151
high,high,high,0.006415601790157611,0.005578731167157791,184
