er_group,mom_group,com_group,mean,median,count
low,low,low,-0.0029099939695058762,0.003259545818022902,352
low,low,mid,0.00010122451296117322,0.0037363223912463273,293
low,low,high,-0.001973017503281767,0.0007662835249042654,241
low,mid,low,-0.0013722090527723903,0.0008883332236625519,1150
low,mid,mid,0.0022979762697637085,0.0017543859649122862,1048
low,mid,high,0.002949541512753489,0.0020865936358893666,801
low,high,low,0.007616387317598695,0.01206140350877205,55
low,high,mid,0.002072920484380068,0.0015568240788790266,33
low,high,high,-0.0075138794756565595,-0.007194244604316613,25
mid,low,low,-0.0033246570742652957,0.00030949053750717326,588
mid,low,mid,-0.001222217938318437,0.0007433299191534903,576
mid,low,high,-0.0010402162864952091,0.0,608
mid,mid,low,0.004157516643226768,0.0035335689045936647,319
mid,mid,mid,0.002829504042382859,0.00366300366300365,343
mid,mid,high,0.0007760277569670034,0.0016238452024623928,244
mid,high,low,0.003105318146944624,0.0027782547618306896,488
mid,high,mid,0.0034245104879764496,0.002320185614849146,455
mid,high,high,0.005804402083188329,0.003353193683970579,378
high,low,low,0.00245645783585524,0.0006118078923218473,287
high,low,mid,0.005639733752453391,0.005172516270914529,410
high,low,high,0.007022151426791162,0.007838283828382808,643
high,mid,low,0.006702621089501734,0.004276114844227186,29
high,mid,mid,0.002590964891480544,0.004034636307027162,30
high,mid,high,0.005680692918604331,0.0028948553408791877,36
high,high,low,0.0036036132141922203,0.003309652316456968,730
high,high,mid,0.006022603987013452,0.00343942789491114,812
high,high,high,0.007909671442770834,0.005565550442064637,1024
