er_group,mom_group,conv_group,mean,median,count
low,low,low,0.0003108069210296972,0.0,262
low,low,mid,0.002572721765388798,0.003827227993439042,293
low,low,high,-0.006964940192833985,0.0046451612903224415,331
low,mid,low,0.004105314865529438,0.0024199843871975935,998
low,mid,mid,0.0003277563589543532,0.0017084282460135825,985
low,mid,high,-0.0012077980094771204,0.0005454632312817953,1016
low,high,low,0.010529980265392716,0.010060806172153436,32
low,high,mid,0.004822626236496513,0.007717308841785897,24
low,high,high,-0.0026884509931127502,-0.003592814371257469,57
mid,low,low,0.0021916321727358666,0.0007342143906019505,641
mid,low,mid,-0.002033494334574547,-0.0005815789751103528,616
mid,low,high,-0.006686507003794699,0.0007446016381236209,515
mid,mid,low,0.003946355307033575,0.002687770950876134,298
mid,mid,mid,0.0005687043853700289,0.0018137377775199193,354
mid,mid,high,0.0043652883248409945,0.005973768620782138,254
mid,high,low,0.004349609037814628,0.001094091903719896,407
mid,high,mid,0.0035457358583449966,0.0036224394181840758,418
mid,high,high,0.004062909370977192,0.0031820753654883127,496
high,low,low,0.005960529063562511,0.005241726807544644,516
high,low,mid,0.004686375014024295,0.005081874647092199,475
high,low,high,0.006392196207344601,0.006718346253229868,349
high,mid,low,0.011480585248578137,0.010116731517509914,21
high,mid,mid,0.004104632091511834,0.0036478712117462564,46
high,mid,high,0.0016680191778584747,0.002600744544042688,28
high,high,low,0.00707593635171913,0.00439560439560438,823
high,high,mid,0.00519085342442899,0.0031989763275752647,789
high,high,high,0.005976327748294822,0.004743042498017269,954
