start,trough,recovery,max_drawdown
2014-02-11,2014-02-13,2014-02-17,-0.04353562005277045
2014-02-18,2014-02-20,2014-02-24,-0.012192159449075923
2014-02-27,2014-02-27,2014-03-03,-0.018483591097698926
2014-03-04,2014-03-10,2014-03-12,-0.01546586193889099
2014-03-14,2014-03-14,2014-03-17,-0.0007423904974015461
2014-03-18,2014-03-31,2014-04-10,-0.05075031702241806
2014-04-11,2014-05-08,2014-06-06,-0.07402639076314177
2014-06-10,2014-06-13,2014-06-16,-0.011942675159235638
2014-06-17,2014-07-11,2014-07-25,-0.055448927609214715
2014-07-30,2014-07-30,2014-07-31,-0.0033698399326032025
2014-08-01,2014-08-01,2014-08-04,-0.012093411175979951
2014-08-05,2014-08-07,2014-08-21,-0.01983471074380161
2014-08-25,2014-08-28,2014-09-02,-0.041287613715885185
2014-09-04,2014-09-05,2014-09-12,-0.012652445137196766
2014-09-16,2014-09-22,2014-09-30,-0.03858433676909734
2014-10-10,2014-10-30,2014-11-26,-0.061557632147035246
2014-12-05,2014-12-05,2014-12-08,-0.005974842767295652
2014-12-09,2014-12-09,2014-12-16,-0.05523694536673707
2014-12-18,2014-12-18,2014-12-19,-0.0011806375442738881
2014-12-22,2014-12-24,2014-12-26,-0.054164239953407134
2014-12-29,2014-12-29,2014-12-31,-0.004861309694023541
2015-01-06,2015-01-30,2015-03-13,-0.12747142917250986
2015-03-17,2015-03-17,2015-03-18,-0.0038816108685104656
2015-03-19,2015-03-19,2015-03-20,-0.0019056693663650481
2015-03-26,2015-03-31,2015-04-16,-0.0668720220091954
2015-04-20,2015-04-20,2015-04-22,-0.02178649237472763
2015-04-23,2015-04-24,2015-04-27,-0.004670912951167838
2015-04-28,2015-05-07,2015-05-08,-0.06580083918456736
2015-05-13,2015-05-14,2015-05-18,-0.03867050175775022
2015-05-22,2015-05-25,2015-05-26,-0.024340175953079135
2015-05-28,2015-05-28,2015-06-01,-0.04995668495524108
2015-06-04,2015-07-08,2015-10-23,-0.25794670074545
2015-10-26,2015-10-26,2015-10-27,-0.011948908117016765
2015-10-28,2016-01-05,2017-02-22,-0.24445097628980272
2017-02-23,2017-02-27,2017-03-02,-0.009160305343511643
2017-03-03,2017-03-03,2017-03-06,-0.005530417295123158
2017-03-07,2017-03-08,2017-03-14,-0.02079207920792081
2017-03-15,2017-03-15,2017-03-16,-0.002962962962962834
2017-03-17,2017-03-20,2017-03-21,-0.00588235294117645
2017-03-22,2017-04-27,2017-05-26,-0.04689147279241246
2017-05-31,2017-06-05,2017-06-07,-0.010191326934051226
2017-06-12,2017-06-12,2017-06-13,-0.0019514914970727437
2017-06-14,2017-06-16,2017-06-21,-0.015054362977418467
2017-06-28,2017-07-04,2017-07-11,-0.014893040888167008
2017-07-12,2017-07-12,2017-07-13,-0.005923532579429014
2017-07-17,2017-07-17,2017-07-19,-0.013581890812250252
2017-07-21,2017-08-24,2017-08-31,-0.03347604358822642
2017-09-07,2017-09-26,2017-10-17,-0.039636371942492477
2017-10-18,2017-10-18,2017-10-19,-0.001413760603204417
2017-10-24,2017-10-24,2017-10-26,-0.004229323308270749
2017-10-30,2017-11-02,2017-11-07,-0.006499854086609469
2017-11-10,2017-11-15,2017-11-20,-0.018155744306955324
2017-11-22,2017-12-06,2018-01-12,-0.050212209135704455
2018-01-17,2018-01-17,2018-01-18,-0.003017641597028775
2018-01-23,2018-01-23,2018-01-24,-0.0004555808656035998
2018-01-25,2018-02-06,2018-03-09,-0.12053258050349169
2018-03-13,2018-03-23,2018-03-30,-0.08722566122678643
2018-04-02,2018-04-26,2018-05-08,-0.04483346481078965
2018-05-09,2018-05-09,2018-05-10,-0.0008795074758136678
2018-05-14,2018-05-30,2018-06-05,-0.03366647524225452
2018-06-08,2018-06-08,2018-06-13,-0.013940139401394158
2018-06-14,2018-06-14,2018-06-15,-0.006119951040391758
2018-06-19,2018-06-19,2018-06-21,-0.012135922330096971
2018-06-22,2018-06-28,2018-07-09,-0.04351297405189625
2018-07-11,2018-07-11,2018-07-19,-0.01920122887864828
2018-07-26,2018-07-31,2018-08-03,-0.0392916905655879
2018-08-07,2018-08-22,2018-09-04,-0.04768786127167601
2018-09-05,2018-10-11,2019-01-03,-0.09837074830661796
2019-01-04,2019-01-30,2019-02-11,-0.04655657129932611
2019-02-15,2019-02-15,2019-02-18,-0.016485133941713248
2019-02-19,2019-02-19,2019-02-22,-0.00810611643330883
2019-02-26,2019-02-27,2019-03-01,-0.02278820375335111
