asset,entry_date,exit_date,next_entry_date,holding_days,pnl
518880.SH,2016-02-02,2016-03-14,2016-03-15,25,0.0941353675851686
513100.SH,2016-03-15,2016-03-24,2016-03-25,8,-0.012827142046835549
510300.SH,2016-03-25,2016-03-31,2016-04-01,5,0.012835582308660554
159915.SZ,2016-04-01,2016-04-19,2016-04-20,12,0.021576368022071746
513100.SH,2016-04-20,2016-04-26,2016-04-27,5,-0.01115281560771475
518880.SH,2016-04-27,2016-05-25,2016-05-26,20,-0.01208141733383361
513100.SH,2016-05-26,2016-06-06,2016-06-07,8,0.014201426875891654
159915.SZ,2016-06-07,2016-06-15,2016-06-16,5,-0.022538793269012758
513100.SH,2016-06-16,2016-06-23,2016-06-24,6,-0.00571703906368759
159915.SZ,2016-06-24,2016-06-30,2016-07-01,5,0.04806109199058639
518880.SH,2016-07-01,2016-07-11,2016-07-12,7,0.03850480325888439
159915.SZ,2016-07-12,2016-07-18,2016-07-19,5,0.006761733991597518
510300.SH,2016-07-19,2016-07-25,2016-07-26,5,-0.010473853942523648
513100.SH,2016-07-26,2016-08-17,2016-08-18,17,0.027809637572318247
510300.SH,2016-08-18,2016-09-08,2016-09-09,16,-0.00892365774931092
159915.SZ,2016-09-09,2016-09-19,2016-09-20,5,-0.02605450721302549
513100.SH,2016-09-20,2016-09-30,2016-10-10,9,-0.0023351018381639888
518880.SH,2016-10-10,2016-10-14,2016-10-17,5,0.0020620252536220907
513100.SH,2016-10-17,2016-10-21,2016-10-24,5,-0.0043931627734363765
510300.SH,2016-10-24,2016-11-07,2016-11-08,11,0.006576316499997015
518880.SH,2016-11-08,2016-11-14,2016-11-15,5,-0.032407619926065445
510300.SH,2016-11-15,2016-12-07,2016-12-08,17,0.023074536315686567
513100.SH,2016-12-08,2017-01-13,2017-01-16,26,0.03242237028978945
518880.SH,2017-01-16,2017-01-26,2017-02-03,9,-0.008867606161478858
513100.SH,2017-02-03,2017-03-22,2017-03-23,34,0.07526980137505768
518880.SH,2017-03-23,2017-03-29,2017-03-30,5,0.009205429413716937
513100.SH,2017-03-30,2017-04-07,2017-04-10,5,-0.02198402474452732
518880.SH,2017-04-10,2017-04-25,2017-04-26,12,0.003169115223574215
513100.SH,2017-04-26,2017-06-01,2017-06-02,24,0.03337438822100247
510300.SH,2017-06-02,2017-07-26,2017-07-27,39,0.08228898295974219
513100.SH,2017-07-27,2017-08-09,2017-08-10,10,-0.014185110123745237
518880.SH,2017-08-10,2017-08-16,2017-08-17,5,-0.004195669991876372
159915.SZ,2017-08-17,2017-09-12,2017-09-13,19,0.049179873275412955
510300.SH,2017-09-13,2017-09-19,2017-09-20,5,-0.00485502773356139
159915.SZ,2017-09-20,2017-09-26,2017-09-27,5,-0.02418640368938918
513100.SH,2017-09-27,2017-10-24,2017-10-25,15,0.041919513571654354
510300.SH,2017-10-25,2017-10-31,2017-11-01,5,0.011027268847335847
513100.SH,2017-11-01,2017-11-13,2017-11-14,9,0.008273985236455283
510300.SH,2017-11-14,2017-11-23,2017-11-24,8,-0.010435578244259558
513100.SH,2017-11-24,2017-12-29,2018-01-02,26,0.005509369247851392
510300.SH,2018-01-02,2018-01-08,2018-01-09,5,0.024059933641821685
518880.SH,2018-01-09,2018-01-15,2018-01-16,5,0.01771902226457378
510300.SH,2018-01-16,2018-01-30,2018-01-31,11,-0.001838944856811242
513100.SH,2018-01-31,2018-02-06,2018-02-07,5,-0.09306213268925112
518880.SH,2018-02-07,2018-02-13,2018-02-14,5,0.03926958202466624
159915.SZ,2018-02-14,2018-02-27,2018-02-28,5,0.057310690532692554
513100.SH,2018-02-28,2018-03-06,2018-03-07,5,-0.00038625301898420616
159915.SZ,2018-03-07,2018-04-10,2018-04-11,23,0.022702559216366325
518880.SH,2018-04-11,2018-04-24,2018-04-25,10,-0.003586220056379763
159915.SZ,2018-04-25,2018-05-03,2018-05-04,5,0.01779461651626435
513100.SH,2018-05-04,2018-05-18,2018-05-21,11,0.03628530403827179
510300.SH,2018-05-21,2018-05-25,2018-05-28,5,-0.028397741509058272
513100.SH,2018-05-28,2018-07-19,2018-07-20,38,0.1224552687756606
159915.SZ,2018-07-20,2018-07-26,2018-07-27,5,0.01151704476539539
513100.SH,2018-07-27,2018-09-03,2018-09-04,27,0.030749010083026773
510300.SH,2018-09-04,2018-09-10,2018-09-11,5,-0.02325187491055103
513100.SH,2018-09-11,2018-09-20,2018-09-21,8,0.0019654311319070583
518880.SH,2018-09-21,2018-09-28,2018-10-08,5,-0.0004925996954101564
510300.SH,2018-10-08,2018-10-12,2018-10-15,5,-0.048203132722483
518880.SH,2018-10-15,2018-11-08,2018-11-09,19,0.004977223838053879
159915.SZ,2018-11-09,2018-11-30,2018-12-03,16,0.005429900915574937
518880.SH,2018-12-03,2019-01-21,2019-01-22,34,0.05894958450352905
513100.SH,2019-01-22,2019-01-30,2019-01-31,7,-0.02340151660230938
510300.SH,2019-01-31,2019-02-15,2019-02-18,7,0.0706338536059774
