date,from_asset,to_asset,traded_weight,cost
2016-02-02,,518880.SH,1.0,0.0001
2016-03-15,518880.SH,513100.SH,2.0,0.0002
2016-03-25,513100.SH,510300.SH,2.0,0.0002
2016-04-01,510300.SH,159915.SZ,2.0,0.0002
2016-04-20,159915.SZ,513100.SH,2.0,0.0002
2016-04-27,513100.SH,518880.SH,2.0,0.0002
2016-05-26,518880.SH,513100.SH,2.0,0.0002
2016-06-07,513100.SH,159915.SZ,2.0,0.0002
2016-06-16,159915.SZ,513100.SH,2.0,0.0002
2016-06-24,513100.SH,159915.SZ,2.0,0.0002
2016-07-01,159915.SZ,518880.SH,2.0,0.0002
2016-07-12,518880.SH,159915.SZ,2.0,0.0002
2016-07-19,159915.SZ,510300.SH,2.0,0.0002
2016-07-26,510300.SH,513100.SH,2.0,0.0002
2016-08-18,513100.SH,510300.SH,2.0,0.0002
2016-09-09,510300.SH,159915.SZ,2.0,0.0002
2016-09-20,159915.SZ,513100.SH,2.0,0.0002
2016-10-10,513100.SH,518880.SH,2.0,0.0002
2016-10-17,518880.SH,513100.SH,2.0,0.0002
2016-10-24,513100.SH,510300.SH,2.0,0.0002
2016-11-08,510300.SH,518880.SH,2.0,0.0002
2016-11-15,518880.SH,510300.SH,2.0,0.0002
2016-12-08,510300.SH,513100.SH,2.0,0.0002
2017-01-16,513100.SH,518880.SH,2.0,0.0002
2017-02-03,518880.SH,513100.SH,2.0,0.0002
2017-03-23,513100.SH,518880.SH,2.0,0.0002
2017-03-30,518880.SH,513100.SH,2.0,0.0002
2017-04-10,513100.SH,518880.SH,2.0,0.0002
2017-04-26,518880.SH,513100.SH,2.0,0.0002
2017-06-02,513100.SH,510300.SH,2.0,0.0002
2017-07-27,510300.SH,513100.SH,2.0,0.0002
2017-08-10,513100.SH,518880.SH,2.0,0.0002
2017-08-17,518880.SH,159915.SZ,2.0,0.0002
2017-09-13,159915.SZ,510300.SH,2.0,0.0002
2017-09-20,510300.SH,159915.SZ,2.0,0.0002
2017-09-27,159915.SZ,513100.SH,2.0,0.0002
2017-10-25,513100.SH,510300.SH,2.0,0.0002
2017-11-01,510300.SH,513100.SH,2.0,0.0002
2017-11-14,513100.SH,510300.SH,2.0,0.0002
2017-11-24,510300.SH,513100.SH,2.0,0.0002
2018-01-02,513100.SH,510300.SH,2.0,0.0002
2018-01-09,510300.SH,518880.SH,2.0,0.0002
2018-01-16,518880.SH,510300.SH,2.0,0.0002
2018-01-31,510300.SH,513100.SH,2.0,0.0002
2018-02-07,513100.SH,518880.SH,2.0,0.0002
2018-02-14,518880.SH,159915.SZ,2.0,0.0002
2018-02-28,159915.SZ,513100.SH,2.0,0.0002
2018-03-07,513100.SH,159915.SZ,2.0,0.0002
2018-04-11,159915.SZ,518880.SH,2.0,0.0002
2018-04-25,518880.SH,159915.SZ,2.0,0.0002
2018-05-04,159915.SZ,513100.SH,2.0,0.0002
2018-05-21,513100.SH,510300.SH,2.0,0.0002
2018-05-28,510300.SH,513100.SH,2.0,0.0002
2018-07-20,513100.SH,159915.SZ,2.0,0.0002
2018-07-27,159915.SZ,513100.SH,2.0,0.0002
2018-09-04,513100.SH,510300.SH,2.0,0.0002
2018-09-11,510300.SH,513100.SH,2.0,0.0002
2018-09-21,513100.SH,518880.SH,2.0,0.0002
2018-10-08,518880.SH,510300.SH,2.0,0.0002
2018-10-15,510300.SH,518880.SH,2.0,0.0002
2018-11-09,518880.SH,159915.SZ,2.0,0.0002
2018-12-03,159915.SZ,518880.SH,2.0,0.0002
2019-01-22,518880.SH,513100.SH,2.0,0.0002
2019-01-31,513100.SH,510300.SH,2.0,0.0002
2019-02-18,510300.SH,159915.SZ,2.0,0.0002
2019-03-27,159915.SZ,513100.SH,2.0,0.0002
2019-04-09,513100.SH,510300.SH,2.0,0.0002
2019-04-16,510300.SH,513100.SH,2.0,0.0002
2019-04-23,513100.SH,510300.SH,2.0,0.0002
2019-04-30,510300.SH,513100.SH,2.0,0.0002
2019-05-15,513100.SH,518880.SH,2.0,0.0002
2019-07-02,518880.SH,510300.SH,2.0,0.0002
2019-07-10,510300.SH,518880.SH,2.0,0.0002
2019-07-17,518880.SH,513100.SH,2.0,0.0002
2019-07-30,513100.SH,518880.SH,2.0,0.0002
2019-09-03,518880.SH,159915.SZ,2.0,0.0002
2019-09-27,159915.SZ,513100.SH,2.0,0.0002
2019-10-11,513100.SH,159915.SZ,2.0,0.0002
2019-10-18,159915.SZ,513100.SH,2.0,0.0002
2019-11-06,513100.SH,159915.SZ,2.0,0.0002
2019-11-13,159915.SZ,513100.SH,2.0,0.0002
2019-12-11,513100.SH,159915.SZ,2.0,0.0002
2019-12-18,159915.SZ,513100.SH,2.0,0.0002
2019-12-25,513100.SH,159915.SZ,2.0,0.0002
2020-01-06,159915.SZ,513100.SH,2.0,0.0002
2020-01-14,513100.SH,159915.SZ,2.0,0.0002
2020-02-03,159915.SZ,513100.SH,2.0,0.0002
2020-02-20,513100.SH,159915.SZ,2.0,0.0002
2020-02-27,159915.SZ,518880.SH,2.0,0.0002
2020-03-05,518880.SH,159915.SZ,2.0,0.0002
2020-03-12,159915.SZ,518880.SH,2.0,0.0002
2020-04-23,518880.SH,159915.SZ,2.0,0.0002
2020-04-30,159915.SZ,513100.SH,2.0,0.0002
2020-06-01,513100.SH,518880.SH,2.0,0.0002
2020-06-08,518880.SH,159915.SZ,2.0,0.0002
2020-07-07,159915.SZ,510300.SH,2.0,0.0002
2020-07-14,510300.SH,159915.SZ,2.0,0.0002
2020-07-27,159915.SZ,518880.SH,2.0,0.0002
2020-08-13,518880.SH,513100.SH,2.0,0.0002
2020-09-29,513100.SH,510300.SH,2.0,0.0002
2020-10-14,510300.SH,159915.SZ,2.0,0.0002
2020-10-26,159915.SZ,510300.SH,2.0,0.0002
2020-11-02,510300.SH,159915.SZ,2.0,0.0002
2020-11-09,159915.SZ,510300.SH,2.0,0.0002
