tau,episode,start,end,return,max_drawdown,switches_in_window
0.0,2015-10_switch_heavy,2015-10-01,2015-10-31,,,0
0.0,2020-09_switch_heavy,2020-09-01,2020-09-30,-0.09953215068550436,-0.1621112158341188,1
0.0,2024-10_single_asset,2024-10-01,2024-10-31,-0.04928315412186357,-0.25504107542942467,0
0.0,2025-10_switch_heavy,2025-10-01,2025-10-31,-0.030760448944195384,-0.08847287923307101,2
0.0005,2015-10_switch_heavy,2015-10-01,2015-10-31,,,0
0.0005,2020-09_switch_heavy,2020-09-01,2020-09-30,-0.09953215068550436,-0.1621112158341188,1
0.0005,2024-10_single_asset,2024-10-01,2024-10-31,-0.04928315412186357,-0.25504107542942467,0
0.0005,2025-10_switch_heavy,2025-10-01,2025-10-31,-0.030760448944195384,-0.08847287923307101,2
0.001,2015-10_switch_heavy,2015-10-01,2015-10-31,,,0
0.001,2020-09_switch_heavy,2020-09-01,2020-09-30,-0.09953215068550436,-0.1621112158341188,1
0.001,2024-10_single_asset,2024-10-01,2024-10-31,-0.04928315412186357,-0.25504107542942467,0
0.001,2025-10_switch_heavy,2025-10-01,2025-10-31,-0.030760448944195384,-0.08847287923307101,2
0.0025,2015-10_switch_heavy,2015-10-01,2015-10-31,,,0
0.0025,2020-09_switch_heavy,2020-09-01,2020-09-30,-0.09953215068550436,-0.1621112158341188,1
0.0025,2024-10_single_asset,2024-10-01,2024-10-31,-0.04928315412186357,-0.25504107542942467,0
0.0025,2025-10_switch_heavy,2025-10-01,2025-10-31,-0.030760448944195384,-0.08847287923307101,2
0.005,2015-10_switch_heavy,2015-10-01,2015-10-31,,,0
0.005,2020-09_switch_heavy,2020-09-01,2020-09-30,-0.09953215068550436,-0.1621112158341188,1
0.005,2024-10_single_asset,2024-10-01,2024-10-31,-0.04928315412186357,-0.25504107542942467,0
0.005,2025-10_switch_heavy,2025-10-01,2025-10-31,-0.030760448944195384,-0.08847287923307101,2
0.0075,2015-10_switch_heavy,2015-10-01,2015-10-31,,,0
0.0075,2020-09_switch_heavy,2020-09-01,2020-09-30,-0.09944642151047844,-0.1621112158341188,0
0.0075,2024-10_single_asset,2024-10-01,2024-10-31,-0.04928315412186357,-0.25504107542942467,0
0.0075,2025-10_switch_heavy,2025-10-01,2025-10-31,-0.030760448944195384,-0.08847287923307101,2
0.01,2015-10_switch_heavy,2015-10-01,2015-10-31,,,0
0.01,2020-09_switch_heavy,2020-09-01,2020-09-30,-0.09944642151047844,-0.1621112158341188,0
0.01,2024-10_single_asset,2024-10-01,2024-10-31,-0.04928315412186357,-0.25504107542942467,0
0.01,2025-10_switch_heavy,2025-10-01,2025-10-31,0.057067800900935106,-0.0884728792330709,1
