tau,asset,entry_date,exit_date,next_entry_date,holding_days,pnl
0.0,159915.SZ,2014-02-07,2014-02-19,2014-02-20,9,0.037804359131725196
0.0,518880.SH,2014-02-20,2014-03-25,2014-03-26,24,0.013975931050158596
0.0,510300.SH,2014-03-26,2014-04-28,2014-04-29,23,-0.01388451862528639
0.0,518880.SH,2014-04-29,2014-05-08,2014-05-09,6,-0.01579998830526297
0.0,513100.SH,2014-05-09,2014-06-13,2014-06-16,25,0.07075788356319124
0.0,159915.SZ,2014-06-16,2014-06-20,2014-06-23,5,-0.030288066372988198
0.0,513100.SH,2014-06-23,2014-06-27,2014-06-30,5,0.006147295521180984
0.0,518880.SH,2014-06-30,2014-07-07,2014-07-08,6,-0.006653149368081479
0.0,513100.SH,2014-07-08,2014-07-18,2014-07-21,9,-0.005994272619059049
0.0,510300.SH,2014-07-21,2014-08-20,2014-08-21,23,0.09824489797747926
0.0,159915.SZ,2014-08-21,2014-09-03,2014-09-04,10,0.035048406335002724
0.0,513100.SH,2014-09-04,2014-09-11,2014-09-12,5,-0.010440314693142438
0.0,159915.SZ,2014-09-12,2014-09-19,2014-09-22,6,-0.003361150146751979
0.0,510300.SH,2014-09-22,2014-09-26,2014-09-29,5,0.0007735149035270616
0.0,159915.SZ,2014-09-29,2014-10-16,2014-10-17,9,0.006188453377008241
0.0,510300.SH,2014-10-17,2014-10-23,2014-10-24,5,-0.02267730232061238
0.0,518880.SH,2014-10-24,2014-10-30,2014-10-31,5,-0.01580944760131875
0.0,510300.SH,2014-10-31,2014-11-06,2014-11-07,5,0.009957018665160744
0.0,513100.SH,2014-11-07,2014-11-21,2014-11-24,11,0.015672120145324042
0.0,510300.SH,2014-11-24,2015-01-19,2015-01-20,39,0.24352952714927323
0.0,518880.SH,2015-01-20,2015-01-27,2015-01-28,6,-0.00020264551483040183
0.0,159915.SZ,2015-01-28,2015-02-25,2015-02-26,16,0.08479728548064691
0.0,513100.SH,2015-02-26,2015-03-04,2015-03-05,5,0.011512733791386509
0.0,159915.SZ,2015-03-05,2015-03-30,2015-03-31,18,0.12402576994327252
0.0,510300.SH,2015-03-31,2015-04-07,2015-04-08,5,0.021612430896046364
0.0,159915.SZ,2015-04-08,2015-04-14,2015-04-15,5,0.0025697387713996545
0.0,510300.SH,2015-04-15,2015-05-06,2015-05-07,15,0.0250782916952077
0.0,159915.SZ,2015-05-07,2015-06-08,2015-06-09,23,0.2962417286384209
0.0,510300.SH,2015-06-09,2015-06-19,2015-06-23,9,-0.14835286997102115
