tau,date,from_asset,to_asset,traded_weight,cost
0.0,2014-02-07,,159915.SZ,1.0,0.0001
0.0,2014-02-20,159915.SZ,518880.SH,2.0,0.0002
0.0,2014-03-26,518880.SH,510300.SH,2.0,0.0002
0.0,2014-04-29,510300.SH,518880.SH,2.0,0.0002
0.0,2014-05-09,518880.SH,513100.SH,2.0,0.0002
0.0,2014-06-16,513100.SH,159915.SZ,2.0,0.0002
0.0,2014-06-23,159915.SZ,513100.SH,2.0,0.0002
0.0,2014-06-30,513100.SH,518880.SH,2.0,0.0002
0.0,2014-07-08,518880.SH,513100.SH,2.0,0.0002
0.0,2014-07-21,513100.SH,510300.SH,2.0,0.0002
0.0,2014-08-21,510300.SH,159915.SZ,2.0,0.0002
0.0,2014-09-04,159915.SZ,513100.SH,2.0,0.0002
0.0,2014-09-12,513100.SH,159915.SZ,2.0,0.0002
0.0,2014-09-22,159915.SZ,510300.SH,2.0,0.0002
0.0,2014-09-29,510300.SH,159915.SZ,2.0,0.0002
0.0,2014-10-17,159915.SZ,510300.SH,2.0,0.0002
0.0,2014-10-24,510300.SH,518880.SH,2.0,0.0002
0.0,2014-10-31,518880.SH,510300.SH,2.0,0.0002
0.0,2014-11-07,510300.SH,513100.SH,2.0,0.0002
0.0,2014-11-24,513100.SH,510300.SH,2.0,0.0002
0.0,2015-01-20,510300.SH,518880.SH,2.0,0.0002
0.0,2015-01-28,518880.SH,159915.SZ,2.0,0.0002
0.0,2015-02-26,159915.SZ,513100.SH,2.0,0.0002
0.0,2015-03-05,513100.SH,159915.SZ,2.0,0.0002
0.0,2015-03-31,159915.SZ,510300.SH,2.0,0.0002
0.0,2015-04-08,510300.SH,159915.SZ,2.0,0.0002
0.0,2015-04-15,159915.SZ,510300.SH,2.0,0.0002
0.0,2015-05-07,510300.SH,159915.SZ,2.0,0.0002
0.0,2015-06-09,159915.SZ,510300.SH,2.0,0.0002
0.0,2015-06-23,510300.SH,513100.SH,2.0,0.0002
0.0,2015-07-07,513100.SH,518880.SH,2.0,0.0002
0.0,2015-07-15,518880.SH,513100.SH,2.0,0.0002
0.0,2015-08-05,513100.SH,159915.SZ,2.0,0.0002
0.0,2015-08-12,159915.SZ,513100.SH,2.0,0.0002
0.0,2015-08-19,513100.SH,518880.SH,2.0,0.0002
0.0,2015-09-23,518880.SH,513100.SH,2.0,0.0002
0.0,2015-09-30,513100.SH,159915.SZ,2.0,0.0002
0.0,2015-11-04,159915.SZ,513100.SH,2.0,0.0002
0.0,2015-11-11,513100.SH,159915.SZ,2.0,0.0002
0.0,2015-12-03,159915.SZ,510300.SH,2.0,0.0002
0.0,2015-12-10,510300.SH,513100.SH,2.0,0.0002
0.0,2015-12-21,513100.SH,159915.SZ,2.0,0.0002
0.0,2015-12-28,159915.SZ,510300.SH,2.0,0.0002
0.0,2016-01-05,510300.SH,518880.SH,2.0,0.0002
0.0,2016-03-15,518880.SH,513100.SH,2.0,0.0002
0.0,2016-03-25,513100.SH,510300.SH,2.0,0.0002
0.0,2016-04-01,510300.SH,159915.SZ,2.0,0.0002
0.0,2016-04-20,159915.SZ,513100.SH,2.0,0.0002
0.0,2016-04-27,513100.SH,518880.SH,2.0,0.0002
0.0,2016-05-26,518880.SH,513100.SH,2.0,0.0002
0.0,2016-06-07,513100.SH,159915.SZ,2.0,0.0002
