rebalance_days,label,cost_included,start,end,trading_days,total_return,annual_return,sharpe,max_drawdown,annual_turnover,avg_holding_days,switch_count,cost_bps_one_side
2,rd=2 gross,False,2014-02-07,2026-05-19,2985,31.443643401313118,0.341444631580869,1.2639092458281895,-0.283720225094944,33.30452261306532,7.553299492385787,394,0.0
2,rd=2 net_cost_1bp,True,2014-02-07,2026-05-19,2985,28.9819834289664,0.3325382022301404,1.2382106099555679,-0.2844362184152358,33.30452261306532,7.553299492385787,394,1.0
3,rd=3 gross,False,2014-02-07,2026-05-19,2985,23.98539446552264,0.3121866644406648,1.1761594972264775,-0.2852092976386864,29.421105527638193,8.551724137931034,348,0.0
3,rd=3 net_cost_1bp,True,2014-02-07,2026-05-19,2985,22.303054976237558,0.30448737295686334,1.1534633791928077,-0.28592380248194416,29.421105527638193,8.551724137931034,348,1.0
5,rd=5 gross,False,2014-02-07,2026-05-19,2985,27.959231926750093,0.3286394611241641,1.2293842566770574,-0.2574996335895967,23.00502512562814,10.941176470588236,272,0.0
5,rd=5 net_cost_1bp,True,2014-02-07,2026-05-19,2985,26.42304174425136,0.32253981786800523,1.2115890955819455,-0.2579450447153391,23.00502512562814,10.941176470588236,272,1.0
7,rd=7 gross,False,2014-02-07,2026-05-19,2984,29.26446375406811,0.333722217976014,1.2496230165007618,-0.3244529761587719,19.719168900804288,12.768240343347639,233,0.0
7,rd=7 net_cost_1bp,True,2014-02-07,2026-05-19,2984,27.883472485456323,0.3284720744220784,1.234257019614428,-0.32553309508682104,19.719168900804288,12.768240343347639,233,1.0
10,rd=10 gross,False,2014-02-07,2026-05-19,2985,31.051605024437656,0.34006855591227536,1.3523159676336698,-0.43303378697749606,15.91356783919598,15.824468085106384,188,0.0
10,rd=10 net_cost_1bp,True,2014-02-07,2026-05-19,2985,29.865637045691855,0.33580985692307586,1.3389083518099787,-0.4343930100953596,15.91356783919598,15.824468085106384,188,1.0
20,rd=20 gross,False,2014-02-07,2026-05-19,2983,4.323877830497327,0.1517303554206253,0.7033578578560247,-0.5688928545676213,10.771035869929602,23.330708661417322,127,0.0
20,rd=20 net_cost_1bp,True,2014-02-07,2026-05-19,2983,4.189822042174849,0.14925171295330153,0.6944606524423591,-0.5692376368320472,10.771035869929602,23.330708661417322,127,1.0
