switch_date,from_asset,to_asset,next_switch_date,holding_days,holding_period_return,whipsaw_le_5d_loss
2014-02-20,159915.SZ,518880.SH,2014-03-26,24,0.014179204627710496,False
2014-03-26,518880.SH,510300.SH,2014-04-29,23,-0.013687750388905684,False
2014-04-29,510300.SH,518880.SH,2014-05-09,6,-0.01560121765601219,False
2014-05-09,518880.SH,513100.SH,2014-06-16,25,0.0709720336926134,False
2014-06-16,513100.SH,159915.SZ,2014-06-23,5,-0.030096577011286096,True
2014-06-23,159915.SZ,513100.SH,2014-06-30,5,0.006349206349206327,False
2014-06-30,513100.SH,518880.SH,2014-07-08,6,-0.006454062262718052,False
2014-07-08,518880.SH,513100.SH,2014-07-21,9,-0.00579641985832291,False
2014-07-21,513100.SH,510300.SH,2014-08-21,23,0.0984633357613125,False
2014-08-21,510300.SH,159915.SZ,2014-09-04,10,0.03525179856115157,False
2014-09-04,159915.SZ,513100.SH,2014-09-12,5,-0.010240165550711389,True
2014-09-12,513100.SH,159915.SZ,2014-09-22,6,-0.0031642519673859004,False
2014-09-22,159915.SZ,510300.SH,2014-09-29,5,0.0009784735812135015,False
2014-09-29,510300.SH,159915.SZ,2014-10-17,9,0.0063875131486670345,False
2014-10-17,159915.SZ,510300.SH,2014-10-24,5,-0.022480931352870437,True
2014-10-24,510300.SH,518880.SH,2014-10-31,5,-0.015612327074786103,True
2014-10-31,518880.SH,510300.SH,2014-11-07,5,0.010156313888340485,False
2014-11-07,510300.SH,513100.SH,2014-11-24,11,0.015874321172469452,False
2014-11-24,513100.SH,510300.SH,2015-01-20,39,0.24377358490566037,False
2015-01-20,510300.SH,518880.SH,2015-01-28,6,0.011581831151006083,False
2015-01-28,518880.SH,159915.SZ,2015-02-26,16,0.08501347253100633,False
2015-02-26,159915.SZ,513100.SH,2015-03-05,5,0.011716057891109521,False
2015-03-05,513100.SH,159915.SZ,2015-03-31,18,0.12425208573274604,False
2015-03-31,159915.SZ,510300.SH,2015-04-08,5,0.0218223043765724,False
2015-04-08,510300.SH,159915.SZ,2015-04-15,5,0.0027750395707266673,False
2015-04-15,159915.SZ,510300.SH,2015-05-07,15,0.025285936465178516,False
2015-05-07,510300.SH,159915.SZ,2015-06-09,23,0.2965047963971701,False
2015-06-09,159915.SZ,510300.SH,2015-06-23,9,-0.14817795072344386,False
2015-06-23,510300.SH,513100.SH,2015-07-07,10,-0.032086360060474384,False
2015-07-07,513100.SH,518880.SH,2015-07-15,6,-0.0023943709934191038,False
2015-07-15,518880.SH,513100.SH,2015-08-05,15,0.03954680677503508,False
2015-08-05,513100.SH,159915.SZ,2015-08-12,5,0.06053059524595095,False
2015-08-12,159915.SZ,513100.SH,2015-08-19,5,0.011314186248912339,False
2015-08-19,513100.SH,518880.SH,2015-09-23,23,0.008997598415456665,False
2015-09-23,518880.SH,513100.SH,2015-09-30,5,-0.045075306324548925,True
2015-09-30,513100.SH,159915.SZ,2015-11-04,20,0.1657936725326652,False
2015-11-04,159915.SZ,513100.SH,2015-11-11,5,-0.002403014621132571,True
2015-11-11,513100.SH,159915.SZ,2015-12-03,16,-0.06025750591927359,False
2015-12-03,159915.SZ,510300.SH,2015-12-10,5,-0.022861680563392328,True
2015-12-10,510300.SH,513100.SH,2015-12-21,7,-0.0035736336931913026,False
2015-12-21,513100.SH,159915.SZ,2015-12-28,5,-0.022153335599618518,True
2015-12-28,159915.SZ,510300.SH,2016-01-05,5,-0.08881366891769704,True
2016-01-05,510300.SH,518880.SH,2016-03-15,45,0.14024111063552702,False
2016-03-15,518880.SH,513100.SH,2016-03-25,8,-0.012626610485373946,False
2016-03-25,513100.SH,510300.SH,2016-04-01,5,0.013037089373024946,False
2016-04-01,510300.SH,159915.SZ,2016-04-20,12,0.021782471980106743,False
2016-04-20,159915.SZ,513100.SH,2016-04-27,5,-0.010954497367093752,True
2016-04-27,513100.SH,518880.SH,2016-05-26,20,-0.011882955203882828,False
2016-05-26,518880.SH,513100.SH,2016-06-07,8,0.01440323800137655,False
2016-06-07,513100.SH,159915.SZ,2016-06-16,5,-0.022344322344322487,True
2016-06-16,159915.SZ,513100.SH,2016-06-24,6,-0.005517555859553158,False
2016-06-24,513100.SH,159915.SZ,2016-07-01,5,0.04826980466802189,False
2016-07-01,159915.SZ,518880.SH,2016-07-12,7,0.03871068149541301,False
2016-07-12,518880.SH,159915.SZ,2016-07-19,5,0.006961084339625501,False
