label,reeval_mode,engine_mode,rebalance_days,phase_offset,start,end,trading_days,total_return,annual_return,sharpe,max_drawdown,annual_turnover,avg_holding_days,switch_count,cost_bps_one_side
N2_min_hold,min_hold,min_hold,2,0,2014-02-07,2026-05-19,2985,28.985818575234273,0.3325525912766394,1.2382343422153543,-0.2844431402547053,33.30452261306533,7.556962025316456,394,1.0
N2_periodic_k0,periodic,fixed_cycle,2,0,2014-02-07,2026-05-19,2985,24.527893772810298,0.31456835811616446,1.1857022604032654,-0.27577251457176144,28.154773869346734,8.937125748502995,333,1.0
N3_min_hold,min_hold,min_hold,3,0,2014-02-07,2026-05-19,2985,22.304397524265717,0.3044937175182283,1.1534663475088487,-0.2859227979495401,29.421105527638193,8.553008595988539,348,1.0
N3_periodic_k0,periodic,fixed_cycle,3,0,2014-02-07,2026-05-19,2985,43.82308372159904,0.3785523463353291,1.3670454395255005,-0.31543797478912095,21.65427135678392,11.614785992217898,256,1.0
N4_min_hold,min_hold,min_hold,4,0,2014-02-07,2026-05-19,2985,18.50335478180535,0.285031435071154,1.0932751559009,-0.3045245370797304,26.29748743718593,9.567307692307692,311,1.0
N4_periodic_k0,periodic,fixed_cycle,4,0,2014-02-07,2026-05-19,2985,17.828405210972345,0.28121628244717733,1.0782122961340852,-0.2938270482139024,19.374874371859296,12.978260869565217,229,1.0
N5_min_hold,min_hold,min_hold,5,0,2014-02-07,2026-05-19,2985,26.425596528883432,0.32255021910783976,1.2116079438764318,-0.2579467007454498,23.00502512562814,10.934065934065934,272,1.0
N5_periodic_k0,periodic,fixed_cycle,5,0,2014-02-07,2026-05-19,2985,17.818942652905772,0.28116191065920715,1.1469024801453462,-0.30374554229266915,16.504522613065326,15.229591836734693,195,1.0
N6_min_hold,min_hold,min_hold,6,0,2014-02-07,2026-05-19,2985,26.011078564792445,0.3208508826636054,1.2080782622691055,-0.31543797478912106,20.55678391959799,12.23360655737705,243,1.0
N6_periodic_k0,periodic,fixed_cycle,6,0,2014-02-07,2026-05-19,2985,54.68319652534018,0.4040343010229408,1.4296646671044315,-0.30778946883537817,13.71859296482412,18.312883435582823,162,1.0
N7_min_hold,min_hold,min_hold,7,0,2014-02-07,2026-05-19,2984,27.88491667754294,0.32847768386544285,1.2342605951316767,-0.32554595484293614,19.719168900804288,12.752136752136753,233,1.0
N7_periodic_k0,periodic,fixed_cycle,7,0,2014-02-07,2026-05-19,2985,43.38486017034387,0.37740940209454354,1.4320361443786682,-0.2980987418395754,12.030150753768844,20.874125874125873,142,1.0
N10_min_hold,min_hold,min_hold,10,0,2014-02-07,2026-05-19,2985,29.866895274875045,0.335814453952183,1.3389103388891626,-0.4344038665647967,15.91356783919598,15.793650793650794,188,1.0
N10_periodic_k0,periodic,fixed_cycle,10,0,2014-02-07,2026-05-19,2983,13.023033391531524,0.24992436277053964,1.061780886165996,-0.33970327125146826,12.460610124036206,20.155405405405407,147,1.0
