signal_date,execution_date,next_shared_eval_date,method1_holding_days,method1_old,method1_new,method2_old,method2_holding_days,same_old_asset,new_asset_return,old_asset_return,old_minus_new,old_outperformed
2014-02-19,2014-02-20,2014-02-27,9,159915.SZ,518880.SH,159915.SZ,9,True,0.015216543113538705,-0.07728181212524976,-0.09249835523878847,False
2014-05-08,2014-05-09,2014-05-20,6,518880.SH,513100.SH,518880.SH,2,True,0.0249784668389319,0.0003858024691356654,-0.024592664369796235,False
2014-07-07,2014-07-08,2014-07-16,6,518880.SH,513100.SH,518880.SH,3,True,-0.003076923076923088,-0.011823035850495711,-0.008746112773572623,False
2014-07-18,2014-07-21,2014-07-30,9,513100.SH,510300.SH,513100.SH,2,True,0.073990013617794,0.0038520801232664326,-0.07013793349452757,False
2014-09-19,2014-09-22,2014-10-16,6,159915.SZ,510300.SH,159915.SZ,6,True,0.01095779220779236,0.02066115702479343,0.00970336481700107,True
2015-01-27,2015-01-28,2015-02-09,6,518880.SH,159915.SZ,518880.SH,6,True,-0.01614832535885158,-0.038771593090211165,-0.022623267731359586,False
2015-06-19,2015-06-23,2015-07-02,9,510300.SH,513100.SH,510300.SH,2,True,-0.012286689419795271,-0.11005199306759117,-0.0977653036477959,False
2015-07-14,2015-07-15,2015-07-23,6,518880.SH,513100.SH,518880.SH,3,True,0.04066161268090962,-0.04164859002169197,-0.08231020270260159,False
2015-12-18,2015-12-21,2016-01-12,7,513100.SH,159915.SZ,513100.SH,9,True,-0.23285606631499622,-0.03694267515923566,0.19591339115576056,True
2016-03-24,2016-03-25,2016-04-13,8,513100.SH,510300.SH,513100.SH,7,True,0.023629489603024467,0.013227513227513255,-0.010401976375511213,False
2016-06-06,2016-06-07,2016-07-11,8,513100.SH,159915.SZ,513100.SH,7,True,0.011904761904761862,0.017197452229299248,0.005292690324537386,True
2016-06-23,2016-06-24,2016-07-11,6,513100.SH,159915.SZ,513100.SH,3,True,0.03810454323400081,0.027670527670527578,-0.010434015563473231,False
2016-09-30,2016-10-10,2016-11-02,9,513100.SH,518880.SH,513100.SH,7,True,0.034811286185415735,0.0029171528588098905,-0.031894133326605845,False
2017-11-13,2017-11-14,2017-11-23,9,513100.SH,510300.SH,513100.SH,7,True,-0.009785202863962006,0.005464480874316946,0.015249683738278952,True
2018-09-20,2018-09-21,2018-10-22,8,513100.SH,518880.SH,518880.SH,4,False,0.028636021100226117,0.028636021100226117,0.0,False
2019-02-11,2019-02-12,2019-02-27,6,513100.SH,510300.SH,510300.SH,3,False,0.11245832070324324,0.11245832070324324,0.0,False
2019-04-08,2019-04-09,2019-05-14,8,513100.SH,510300.SH,513100.SH,2,True,-0.10094012864918345,-0.012048192771084376,0.08889193587809907,True
2019-07-09,2019-07-10,2019-07-24,6,510300.SH,518880.SH,513100.SH,4,False,0.01913099870298307,0.022629310344827624,0.0034983116418445537,True
2019-07-29,2019-07-30,2019-08-07,9,513100.SH,518880.SH,513100.SH,3,True,0.06999681832643967,-0.036726128016789095,-0.10672294634322876,False
2020-02-19,2020-02-20,2020-03-23,9,513100.SH,159915.SZ,513100.SH,7,True,-0.14597478176527645,-0.2182806835836354,-0.07230590181835894,False
2020-07-24,2020-07-27,2020-08-04,9,159915.SZ,518880.SH,159915.SZ,33,True,0.009843937575030104,0.07625786163522008,0.06641392406018998,True
2020-10-23,2020-10-26,2020-11-18,8,159915.SZ,510300.SH,159915.SZ,7,True,0.04204330460374206,0.013599999999999834,-0.028443304603742225,False
2021-01-13,2021-01-14,2021-01-28,6,159915.SZ,510300.SH,159915.SZ,19,True,-0.03357791389599096,0.015614617940199471,0.049192531836190434,True
2021-02-01,2021-02-02,2021-02-25,8,159915.SZ,510300.SH,159915.SZ,7,True,0.010701107011070077,-0.06009144350097961,-0.07079255051204969,False
2021-02-26,2021-03-01,2021-04-16,9,513100.SH,510300.SH,513100.SH,11,True,-0.07768072848912844,0.08633093525179847,0.1640116637409269,True
2021-03-08,2021-03-09,2021-04-16,6,510300.SH,513100.SH,510300.SH,2,True,0.13149625332366455,-0.02245420523931463,-0.15395045856297918,False
2021-03-23,2021-03-24,2021-04-16,6,518880.SH,513100.SH,518880.SH,3,True,0.0770823745973308,0.021306419960751333,-0.05577595463657947,False
2021-05-07,2021-05-10,2021-06-09,9,159915.SZ,518880.SH,159915.SZ,7,True,0.013694951664876331,0.09929078014184411,0.08559582847696778,True
2021-08-24,2021-08-25,2021-09-27,9,513100.SH,510300.SH,513100.SH,18,True,-0.0004028197381670262,-0.005076142131979711,-0.0046733223938126844,False
2022-05-30,2022-05-31,2022-06-15,8,159915.SZ,510300.SH,159915.SZ,4,True,0.06459627329192541,0.09710017574692453,0.03250390245499912,True
2022-12-21,2022-12-22,2022-12-29,8,510300.SH,518880.SH,510300.SH,14,True,-0.006772009029345383,0.001532175689479054,0.008304184718824437,True
2023-10-18,2023-10-19,2023-10-31,6,513100.SH,518880.SH,513100.SH,6,True,0.01560782589580123,-0.04528985507246375,-0.06089768096826498,False
2023-12-07,2023-12-08,2023-12-26,8,513100.SH,518880.SH,513100.SH,12,True,0.013301351940689043,0.051038062283737196,0.03773671034304815,True
2024-01-19,2024-01-22,2024-01-31,7,518880.SH,513100.SH,518880.SH,7,True,-0.003940110323088941,0.0015066724063710346,0.005446782729459976,True
2024-03-04,2024-03-05,2024-03-14,7,510300.SH,159915.SZ,510300.SH,7,True,0.03444381705251276,0.010526315789473273,-0.023917501263039487,False
2025-02-25,2025-02-26,2025-03-27,6,159915.SZ,518880.SH,518880.SH,23,False,0.038098140810728376,0.038098140810728376,0.0,False
2025-03-05,2025-03-06,2025-03-27,6,518880.SH,159915.SZ,159915.SZ,4,False,-0.027289546716003588,-0.027289546716003588,0.0,False
2025-07-04,2025-07-07,2025-07-24,6,159915.SZ,513100.SH,159915.SZ,6,True,0.018371096142069776,0.09360301034807161,0.07523191420600184,True
2025-10-27,2025-10-28,2025-11-07,9,518880.SH,513100.SH,518880.SH,6,True,-0.02631578947368418,0.0003412969283276279,0.02665708640201181,True
