episode,start,end,tau,fee_bps_one_side,switch_count,cumulative_pnl
whipsaw,2024-11-04,2024-12-17,0.0,1.0,4,0.02725420065258355
whipsaw,2024-11-04,2024-12-17,0.0,2.9999999999999996,4,0.025628916301497995
whipsaw,2024-11-04,2024-12-17,0.0,5.0,4,0.02400556108263463
single_asset_crash,2024-10-08,2024-11-15,0.0,1.0,2,-0.10377796070504575
single_asset_crash,2024-10-08,2024-11-15,0.0,2.9999999999999996,2,-0.1044804708348559
single_asset_crash,2024-10-08,2024-11-15,0.0,5.0,2,-0.10518270566764187
whipsaw,2024-11-04,2024-12-17,0.0005,1.0,4,0.02725420065258355
whipsaw,2024-11-04,2024-12-17,0.0005,2.9999999999999996,4,0.025628916301497995
whipsaw,2024-11-04,2024-12-17,0.0005,5.0,4,0.02400556108263463
single_asset_crash,2024-10-08,2024-11-15,0.0005,1.0,2,-0.10377796070504575
single_asset_crash,2024-10-08,2024-11-15,0.0005,2.9999999999999996,2,-0.1044804708348559
single_asset_crash,2024-10-08,2024-11-15,0.0005,5.0,2,-0.10518270566764187
whipsaw,2024-11-04,2024-12-17,0.001,1.0,4,0.02725420065258355
whipsaw,2024-11-04,2024-12-17,0.001,2.9999999999999996,4,0.025628916301497995
whipsaw,2024-11-04,2024-12-17,0.001,5.0,4,0.02400556108263463
single_asset_crash,2024-10-08,2024-11-15,0.001,1.0,2,-0.10377796070504575
single_asset_crash,2024-10-08,2024-11-15,0.001,2.9999999999999996,2,-0.1044804708348559
single_asset_crash,2024-10-08,2024-11-15,0.001,5.0,2,-0.10518270566764187
whipsaw,2024-11-04,2024-12-17,0.0025,1.0,4,0.02725420065258355
whipsaw,2024-11-04,2024-12-17,0.0025,2.9999999999999996,4,0.025628916301497995
whipsaw,2024-11-04,2024-12-17,0.0025,5.0,4,0.02400556108263463
single_asset_crash,2024-10-08,2024-11-15,0.0025,1.0,2,-0.10377796070504575
single_asset_crash,2024-10-08,2024-11-15,0.0025,2.9999999999999996,2,-0.1044804708348559
single_asset_crash,2024-10-08,2024-11-15,0.0025,5.0,2,-0.10518270566764187
whipsaw,2024-11-04,2024-12-17,0.005,1.0,3,0.07087144919130228
whipsaw,2024-11-04,2024-12-17,0.005,2.9999999999999996,3,0.06960641874308982
whipsaw,2024-11-04,2024-12-17,0.005,5.0,3,0.06834238475240606
single_asset_crash,2024-10-08,2024-11-15,0.005,1.0,2,-0.10377796070504575
single_asset_crash,2024-10-08,2024-11-15,0.005,2.9999999999999996,2,-0.1044804708348559
single_asset_crash,2024-10-08,2024-11-15,0.005,5.0,2,-0.10518270566764187
whipsaw,2024-11-04,2024-12-17,0.0075,1.0,3,0.010829334895280818
whipsaw,2024-11-04,2024-12-17,0.0075,2.9999999999999996,3,0.009634436793309886
whipsaw,2024-11-04,2024-12-17,0.0075,5.0,3,0.00844048052736035
single_asset_crash,2024-10-08,2024-11-15,0.0075,1.0,2,-0.10377796070504575
single_asset_crash,2024-10-08,2024-11-15,0.0075,2.9999999999999996,2,-0.1044804708348559
single_asset_crash,2024-10-08,2024-11-15,0.0075,5.0,2,-0.10518270566764187
whipsaw,2024-11-04,2024-12-17,0.01,1.0,3,0.010829334895280818
whipsaw,2024-11-04,2024-12-17,0.01,2.9999999999999996,3,0.009634436793309886
whipsaw,2024-11-04,2024-12-17,0.01,5.0,3,0.00844048052736035
single_asset_crash,2024-10-08,2024-11-15,0.01,1.0,2,-0.10377796070504575
single_asset_crash,2024-10-08,2024-11-15,0.01,2.9999999999999996,2,-0.1044804708348559
single_asset_crash,2024-10-08,2024-11-15,0.01,5.0,2,-0.10518270566764187
