tau,fee_one_side,fee_bps_one_side,fee_note,start,end,trading_days,total_return,annual_return,sharpe,max_drawdown,annual_turnover_sum_abs,annual_turnover_single_side,avg_holding_days,switch_count
0.0,5e-05,0.5,,2014-02-07,2026-05-19,2985,27.18202204274372,0.3255914955552257,1.2204981767711907,-0.25772318960277774,46.01005025125628,23.00502512562814,10.934065934065934,272
0.0,0.0001,1.0,,2014-02-07,2026-05-19,2985,26.425596528883432,0.32255021910783976,1.2116079438764318,-0.2579467007454498,46.01005025125628,23.00502512562814,10.934065934065934,272
0.0,0.0003,2.9999999999999996,,2014-02-07,2026-05-19,2985,23.596879810729572,0.31045172465573256,1.1760071479112026,-0.2588402967011062,46.01005025125628,23.00502512562814,10.934065934065934,272
0.0,0.0005,5.0,,2014-02-07,2026-05-19,2985,21.058962140700213,0.2984591399810661,1.1403465799840897,-0.2622193265943886,46.01005025125628,23.00502512562814,10.934065934065934,272
0.0,0.001,10.0,stress only; ETF no stamp duty,2014-02-07,2026-05-19,2985,15.798287756954693,0.26893524058829343,1.0509689534160607,-0.2710889593763658,46.01005025125628,23.00502512562814,10.934065934065934,272
0.0005,5e-05,0.5,,2014-02-07,2026-05-19,2985,17.936716736110302,0.28183686388174256,1.081280361448831,-0.3291281947316643,44.65929648241206,22.32964824120603,11.264150943396226,264
0.0005,0.0001,1.0,,2014-02-07,2026-05-19,2985,17.442825611446086,0.27898021344703294,1.0727253682876943,-0.3295296331446472,44.65929648241206,22.32964824120603,11.264150943396226,264
0.0005,0.0003,2.9999999999999996,,2014-02-07,2026-05-19,2985,15.592319606015753,0.26761430763116056,1.0384748353781872,-0.33113338572680784,44.65929648241206,22.32964824120603,11.264150943396226,264
0.0005,0.0005,5.0,,2014-02-07,2026-05-19,2985,13.926857890972588,0.2563449253808432,1.0041790954341223,-0.33273394042830884,44.65929648241206,22.32964824120603,11.264150943396226,264
0.0005,0.001,10.0,stress only; ETF no stamp duty,2014-02-07,2026-05-19,2985,10.456217459077065,0.22858864574080884,0.9182743712080573,-0.3368489467673288,44.65929648241206,22.32964824120603,11.264150943396226,264
0.001,5e-05,0.5,,2014-02-07,2026-05-19,2985,14.585063093055863,0.2609299905526763,1.015094066896412,-0.3291281947316641,42.29547738693468,21.14773869346734,11.892430278884461,250
0.001,0.0001,1.0,,2014-02-07,2026-05-19,2985,14.199678392683772,0.25826742754865184,1.0070180024138171,-0.32952963314464734,42.29547738693468,21.14773869346734,11.892430278884461,250
0.001,0.0003,2.9999999999999996,,2014-02-07,2026-05-19,2985,12.750765322848377,0.24767064412059403,0.9746880624710923,-0.3311333857268084,42.29547738693468,21.14773869346734,11.892430278884461,250
0.001,0.0005,5.0,,2014-02-07,2026-05-19,2985,11.439472006026747,0.2371589206760616,0.9423203230776802,-0.3327339404283086,42.29547738693468,21.14773869346734,11.892430278884461,250
0.001,0.001,10.0,stress only; ETF no stamp duty,2014-02-07,2026-05-19,2985,8.68084901213861,0.2112475008641026,0.861264494542004,-0.33684894676732857,42.29547738693468,21.14773869346734,11.892430278884461,250
0.0025,5e-05,0.5,,2014-02-07,2026-05-19,2985,14.987304478810266,0.26364547610452016,1.02536309822907,-0.3345164010707302,38.58090452261307,19.290452261306534,13.034934497816593,228
