window_name,start,end,design,window,threshold,cash_yield,baseline_return,overlay_return,baseline_max_drawdown,overlay_max_drawdown,drawdown_depth_delta,cash_days,cash_segments,states_seen
2020Q1,2020-01-01,2020-03-31,design2_filter_then_rank,20,point,0.0,-0.004916116196572284,-0.08508432613402106,-0.21739980673590276,-0.21739980673590276,0.0,8,1,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2022,2022-01-01,2022-12-31,design2_filter_then_rank,20,point,0.0,0.2282291014130471,0.11006005289464671,-0.13769507655338997,-0.16972790204228383,-0.03203282548889386,29,5,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design2_filter_then_rank,20,point,0.0,-0.10377796070504575,-0.10377796070504575,-0.25504107542942467,-0.25504107542942467,0.0,0,0,"159915.SZ,518880.SH"
2020Q1,2020-01-01,2020-03-31,design2_filter_then_rank,20,point,0.02,-0.004916116196572284,-0.08443702088318483,-0.21739980673590276,-0.21739980673590276,0.0,8,1,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2022,2022-01-01,2022-12-31,design2_filter_then_rank,20,point,0.02,0.2282291014130471,0.1130299459190125,-0.13769507655338997,-0.16887926610598147,-0.0311841895525915,29,5,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design2_filter_then_rank,20,point,0.02,-0.10377796070504575,-0.10377796070504575,-0.25504107542942467,-0.25504107542942467,0.0,0,0,"159915.SZ,518880.SH"
2020Q1,2020-01-01,2020-03-31,design2_filter_then_rank,40,point,0.0,-0.004916116196572284,-0.08123796179392773,-0.21739980673590276,-0.21739980673590276,0.0,5,1,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2022,2022-01-01,2022-12-31,design2_filter_then_rank,40,point,0.0,0.2282291014130471,0.16978991236204477,-0.13769507655338997,-0.10682109959899078,0.030873976954399196,18,3,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design2_filter_then_rank,40,point,0.0,-0.10377796070504575,-0.10377796070504575,-0.25504107542942467,-0.25504107542942467,0.0,0,0,"159915.SZ,518880.SH"
2020Q1,2020-01-01,2020-03-31,design2_filter_then_rank,40,point,0.02,-0.004916116196572284,-0.0808046570005111,-0.21739980673590276,-0.21739980673590276,0.0,5,1,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2022,2022-01-01,2022-12-31,design2_filter_then_rank,40,point,0.02,0.2282291014130471,0.17172197069842432,-0.13769507655338997,-0.10597842239248878,0.03171665416090119,18,3,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design2_filter_then_rank,40,point,0.02,-0.10377796070504575,-0.10377796070504575,-0.25504107542942467,-0.25504107542942467,0.0,0,0,"159915.SZ,518880.SH"
2020Q1,2020-01-01,2020-03-31,design2_filter_then_rank,60,point,0.0,-0.004916116196572284,0.026528868513227,-0.21739980673590276,-0.21739980673590265,1.1102230246251565e-16,0,0,"159915.SZ,510300.SH,513100.SH,518880.SH"
2022,2022-01-01,2022-12-31,design2_filter_then_rank,60,point,0.0,0.2282291014130471,-0.03547445040384367,-0.13769507655338997,-0.15608865131730254,-0.018393574763912568,11,2,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design2_filter_then_rank,60,point,0.0,-0.10377796070504575,-0.10377796070504575,-0.25504107542942467,-0.25504107542942467,0.0,0,0,"159915.SZ,518880.SH"
2020Q1,2020-01-01,2020-03-31,design2_filter_then_rank,60,point,0.02,-0.004916116196572284,0.026528868513227,-0.21739980673590276,-0.21739980673590265,1.1102230246251565e-16,0,0,"159915.SZ,510300.SH,513100.SH,518880.SH"
2022,2022-01-01,2022-12-31,design2_filter_then_rank,60,point,0.02,0.2282291014130471,-0.034488592073395274,-0.13769507655338997,-0.15608865131730199,-0.018393574763912013,11,2,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design2_filter_then_rank,60,point,0.02,-0.10377796070504575,-0.10377796070504575,-0.25504107542942467,-0.25504107542942467,0.0,0,0,"159915.SZ,518880.SH"
2020Q1,2020-01-01,2020-03-31,design2_filter_then_rank,120,point,0.0,-0.004916116196572284,-0.07541120462481044,-0.21739980673590276,-0.23905512129965978,-0.021655314563757022,0,0,"159915.SZ,510300.SH,513100.SH,518880.SH"
2022,2022-01-01,2022-12-31,design2_filter_then_rank,120,point,0.0,0.2282291014130471,-0.22259047919263142,-0.13769507655338997,-0.2535252696953888,-0.11583019314199883,52,6,"159915.SZ,513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design2_filter_then_rank,120,point,0.0,-0.10377796070504575,-0.10178252046618164,-0.25504107542942467,-0.1405366592727072,0.11450441615671747,0,0,"159915.SZ,510300.SH,518880.SH"
2020Q1,2020-01-01,2020-03-31,design2_filter_then_rank,120,point,0.02,-0.004916116196572284,-0.07541120462481044,-0.21739980673590276,-0.23905512129965978,-0.021655314563757022,0,0,"159915.SZ,510300.SH,513100.SH,518880.SH"
2022,2022-01-01,2022-12-31,design2_filter_then_rank,120,point,0.02,0.2282291014130471,-0.21903908226643198,-0.13769507655338997,-0.25082200874099103,-0.11312693218760106,52,6,"159915.SZ,513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design2_filter_then_rank,120,point,0.02,-0.10377796070504575,-0.10178252046618164,-0.25504107542942467,-0.1405366592727072,0.11450441615671747,0,0,"159915.SZ,510300.SH,518880.SH"
2020Q1,2020-01-01,2020-03-31,design2_filter_then_rank,200,point,0.0,-0.004916116196572284,-0.004916116196572284,-0.21739980673590276,-0.21739980673590276,0.0,0,0,"159915.SZ,510300.SH,513100.SH,518880.SH"
2022,2022-01-01,2022-12-31,design2_filter_then_rank,200,point,0.0,0.2282291014130471,-0.02749563420433343,-0.13769507655338997,-0.13647507641439682,0.0012200001389931492,11,2,"159915.SZ,513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design2_filter_then_rank,200,point,0.0,-0.10377796070504575,-0.10178252046618164,-0.25504107542942467,-0.1405366592727072,0.11450441615671747,0,0,"159915.SZ,510300.SH,518880.SH"
2020Q1,2020-01-01,2020-03-31,design2_filter_then_rank,200,point,0.02,-0.004916116196572284,-0.004916116196572284,-0.21739980673590276,-0.21739980673590276,0.0,0,0,"159915.SZ,510300.SH,513100.SH,518880.SH"
2022,2022-01-01,2022-12-31,design2_filter_then_rank,200,point,0.02,0.2282291014130471,-0.02657812439193863,-0.13769507655338997,-0.1364072095605937,0.0012878669927962605,11,2,"159915.SZ,513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design2_filter_then_rank,200,point,0.02,-0.10377796070504575,-0.10178252046618164,-0.25504107542942467,-0.1405366592727072,0.11450441615671747,0,0,"159915.SZ,510300.SH,518880.SH"
2020Q1,2020-01-01,2020-03-31,design2_filter_then_rank,250,point,0.0,-0.004916116196572284,-0.004916116196572284,-0.21739980673590276,-0.21739980673590276,0.0,0,0,"159915.SZ,510300.SH,513100.SH,518880.SH"
2022,2022-01-01,2022-12-31,design2_filter_then_rank,250,point,0.0,0.2282291014130471,-0.16241629844681804,-0.13769507655338997,-0.22313330743158288,-0.08543823087819291,10,1,"159915.SZ,513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design2_filter_then_rank,250,point,0.0,-0.10377796070504575,-0.0934805212762484,-0.25504107542942467,-0.1325928548811488,0.12244822054827587,0,0,"159915.SZ,510300.SH,518880.SH"
2020Q1,2020-01-01,2020-03-31,design2_filter_then_rank,250,point,0.02,-0.004916116196572284,-0.004916116196572284,-0.21739980673590276,-0.21739980673590276,0.0,0,0,"159915.SZ,510300.SH,513100.SH,518880.SH"
2022,2022-01-01,2022-12-31,design2_filter_then_rank,250,point,0.02,0.2282291014130471,-0.16169196459788449,-0.13769507655338997,-0.22246148103322694,-0.08476640447983697,10,1,"159915.SZ,513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design2_filter_then_rank,250,point,0.02,-0.10377796070504575,-0.0934805212762484,-0.25504107542942467,-0.1325928548811488,0.12244822054827587,0,0,"159915.SZ,510300.SH,518880.SH"
2020Q1,2020-01-01,2020-03-31,design2_filter_then_rank,40,sma,0.0,-0.004916116196572284,-0.08123796179392773,-0.21739980673590276,-0.21739980673590276,0.0,5,1,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2022,2022-01-01,2022-12-31,design2_filter_then_rank,40,sma,0.0,0.2282291014130471,0.10428795640479849,-0.13769507655338997,-0.1357574677262643,0.0019376088271256808,30,5,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design2_filter_then_rank,40,sma,0.0,-0.10377796070504575,-0.10377796070504575,-0.25504107542942467,-0.25504107542942467,0.0,0,0,"159915.SZ,518880.SH"
2020Q1,2020-01-01,2020-03-31,design2_filter_then_rank,40,sma,0.02,-0.004916116196572284,-0.0808046570005111,-0.21739980673590276,-0.21739980673590276,0.0,5,1,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2022,2022-01-01,2022-12-31,design2_filter_then_rank,40,sma,0.02,0.2282291014130471,0.10732941863815215,-0.13769507655338997,-0.1352139730712416,0.0024811034821483613,30,5,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design2_filter_then_rank,40,sma,0.02,-0.10377796070504575,-0.10377796070504575,-0.25504107542942467,-0.25504107542942467,0.0,0,0,"159915.SZ,518880.SH"
2020Q1,2020-01-01,2020-03-31,design2_filter_then_rank,60,sma,0.0,-0.004916116196572284,-0.08123796179392773,-0.21739980673590276,-0.21739980673590276,0.0,5,1,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2022,2022-01-01,2022-12-31,design2_filter_then_rank,60,sma,0.0,0.2282291014130471,0.11477889301162247,-0.13769507655338997,-0.10302679634288503,0.03466828021050494,22,4,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design2_filter_then_rank,60,sma,0.0,-0.10377796070504575,-0.10377796070504575,-0.25504107542942467,-0.25504107542942467,0.0,0,0,"159915.SZ,518880.SH"
2020Q1,2020-01-01,2020-03-31,design2_filter_then_rank,60,sma,0.02,-0.004916116196572284,-0.0808046570005111,-0.21739980673590276,-0.21739980673590276,0.0,5,1,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2022,2022-01-01,2022-12-31,design2_filter_then_rank,60,sma,0.02,0.2282291014130471,0.11705892741745716,-0.13769507655338997,-0.10246271847445376,0.03523235807893621,22,4,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design2_filter_then_rank,60,sma,0.02,-0.10377796070504575,-0.10377796070504575,-0.25504107542942467,-0.25504107542942467,0.0,0,0,"159915.SZ,518880.SH"
2020Q1,2020-01-01,2020-03-31,design2_filter_then_rank,200,sma,0.0,-0.004916116196572284,-0.0694144471715995,-0.21739980673590276,-0.23977849036228205,-0.022378683626379292,0,0,"159915.SZ,510300.SH,513100.SH,518880.SH"
2022,2022-01-01,2022-12-31,design2_filter_then_rank,200,sma,0.0,0.2282291014130471,-0.04862040255974742,-0.13769507655338997,-0.14995316586909224,-0.01225808931570227,38,5,"513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design2_filter_then_rank,200,sma,0.0,-0.10377796070504575,-0.10178252046618164,-0.25504107542942467,-0.1405366592727072,0.11450441615671747,0,0,"159915.SZ,510300.SH,518880.SH"
2020Q1,2020-01-01,2020-03-31,design2_filter_then_rank,200,sma,0.02,-0.004916116196572284,-0.0694144471715995,-0.21739980673590276,-0.23977849036228205,-0.022378683626379292,0,0,"159915.SZ,510300.SH,513100.SH,518880.SH"
2022,2022-01-01,2022-12-31,design2_filter_then_rank,200,sma,0.02,0.2282291014130471,-0.045400159502606674,-0.13769507655338997,-0.148281541136974,-0.010586464583584032,38,5,"513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design2_filter_then_rank,200,sma,0.02,-0.10377796070504575,-0.10178252046618164,-0.25504107542942467,-0.1405366592727072,0.11450441615671747,0,0,"159915.SZ,510300.SH,518880.SH"
2020Q1,2020-01-01,2020-03-31,design1_rank_then_gate,20,point,0.0,-0.004916116196572284,-0.08508432613402106,-0.21739980673590276,-0.21739980673590276,0.0,8,1,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2022,2022-01-01,2022-12-31,design1_rank_then_gate,20,point,0.0,0.2282291014130471,0.11006005289464671,-0.13769507655338997,-0.16972790204228383,-0.03203282548889386,29,5,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design1_rank_then_gate,20,point,0.0,-0.10377796070504575,-0.10377796070504575,-0.25504107542942467,-0.25504107542942467,0.0,0,0,"159915.SZ,518880.SH"
2020Q1,2020-01-01,2020-03-31,design1_rank_then_gate,20,point,0.02,-0.004916116196572284,-0.08443702088318483,-0.21739980673590276,-0.21739980673590276,0.0,8,1,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2022,2022-01-01,2022-12-31,design1_rank_then_gate,20,point,0.02,0.2282291014130471,0.1130299459190125,-0.13769507655338997,-0.16887926610598147,-0.0311841895525915,29,5,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design1_rank_then_gate,20,point,0.02,-0.10377796070504575,-0.10377796070504575,-0.25504107542942467,-0.25504107542942467,0.0,0,0,"159915.SZ,518880.SH"
2020Q1,2020-01-01,2020-03-31,design1_rank_then_gate,40,point,0.0,-0.004916116196572284,-0.08123796179392773,-0.21739980673590276,-0.21739980673590276,0.0,5,1,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2022,2022-01-01,2022-12-31,design1_rank_then_gate,40,point,0.0,0.2282291014130471,0.013004083944546663,-0.13769507655338997,-0.12019370691400488,0.01750136963938509,66,11,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design1_rank_then_gate,40,point,0.0,-0.10377796070504575,-0.10377796070504575,-0.25504107542942467,-0.25504107542942467,0.0,0,0,"159915.SZ,518880.SH"
2020Q1,2020-01-01,2020-03-31,design1_rank_then_gate,40,point,0.02,-0.004916116196572284,-0.0808046570005111,-0.21739980673590276,-0.21739980673590276,0.0,5,1,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
