asset,first_date,backtest_first_date,last_date,rows,threshold,window
510300.SH,2013-01-04,2014-01-02,2026-06-04,3018,,
159915.SZ,2013-01-04,2014-01-02,2026-06-04,3017,,
513100.SH,2013-05-15,2014-01-02,2026-06-04,3017,,
518880.SH,2013-07-29,2014-01-02,2026-06-04,3018,,
ALL_ASSETS_AM_VALID,2014-01-02,,,0,point,20.0
ALL_ASSETS_AM_VALID,2014-01-02,,,0,point,40.0
ALL_ASSETS_AM_VALID,2014-01-02,,,0,point,60.0
ALL_ASSETS_AM_VALID,2014-01-23,,,0,point,120.0
ALL_ASSETS_AM_VALID,2014-05-27,,,0,point,200.0
ALL_ASSETS_AM_VALID,2014-08-06,,,0,point,250.0
ALL_ASSETS_AM_VALID,2014-01-02,,,0,sma,40.0
ALL_ASSETS_AM_VALID,2014-01-02,,,0,sma,60.0
ALL_ASSETS_AM_VALID,2014-05-26,,,0,sma,200.0
