period,start,end,cost,rd2_annual_return_pct,rd2_sharpe,rd5_annual_return_pct,rd5_sharpe,rd2_minus_rd5_annual_pp,sign,flip_vs_previous_cost
full,2014-01-01,2026-06-04,0.5bp,34.56,1.27,33.42,1.24,1.14,+,
full,2014-01-01,2026-06-04,1bp,34.11,1.26,33.11,1.23,1.0,+,
full,2014-01-01,2026-06-04,3bp,32.35,1.21,31.9,1.2,0.45,+,
full,2014-01-01,2026-06-04,5bp,30.61,1.16,30.7,1.16,-0.09,-,yes
since_2022,2022-01-01,2026-06-04,0.5bp,44.6,1.44,39.26,1.31,5.35,+,
since_2022,2022-01-01,2026-06-04,1bp,44.2,1.43,38.96,1.3,5.23,+,
since_2022,2022-01-01,2026-06-04,3bp,42.58,1.39,37.79,1.27,4.78,+,
since_2022,2022-01-01,2026-06-04,5bp,40.97,1.35,36.63,1.24,4.34,+,
since_2024,2024-01-01,2026-06-04,0.5bp,69.99,1.69,61.32,1.55,8.67,+,
since_2024,2024-01-01,2026-06-04,1bp,69.52,1.69,60.96,1.54,8.56,+,
since_2024,2024-01-01,2026-06-04,3bp,67.69,1.66,59.55,1.52,8.14,+,
since_2024,2024-01-01,2026-06-04,5bp,65.88,1.62,58.16,1.49,7.72,+,
