start,end,days,rd2_holding,rd5_holding,gross_diff_pct,gross_daily_diff_sum_pct,overlaps_2024_09_a_share_rally,rank_since_2024,rd2_price_change,rd5_price_change,fact_description
2014-02-25,2014-02-26,2,159915.SZ,518880.SH,-6.55,-6.55,False,,,,
2014-05-13,2014-05-14,2,518880.SH,513100.SH,-0.62,-0.62,False,,,,
2014-06-20,2014-06-20,1,513100.SH,159915.SZ,-1.24,-1.24,False,,,,
2014-06-27,2014-06-27,1,518880.SH,513100.SH,1.62,1.62,False,,,,
2014-07-01,2014-07-02,2,159915.SZ,518880.SH,0.76,0.75,False,,,,
2014-07-10,2014-07-14,3,518880.SH,513100.SH,-0.77,-0.76,False,,,,
2014-09-09,2014-09-11,3,159915.SZ,513100.SH,1.47,1.46,False,,,,
2014-09-24,2014-09-26,3,159915.SZ,510300.SH,-0.95,-0.96,False,,,,
2014-10-21,2014-10-23,3,159915.SZ,510300.SH,-1.56,-1.59,False,,,,
2014-10-29,2014-10-30,2,159915.SZ,518880.SH,0.64,0.64,False,,,,
2014-11-06,2014-11-06,1,513100.SH,510300.SH,0.23,0.23,False,,,,
2015-01-22,2015-01-23,2,159915.SZ,518880.SH,-1.68,-1.67,False,,,,
2015-03-02,2015-03-04,3,159915.SZ,513100.SH,2.76,2.77,False,,,,
2015-04-07,2015-04-07,1,159915.SZ,510300.SH,0.38,0.38,False,,,,
2015-04-09,2015-04-14,4,510300.SH,159915.SZ,-1.1,-1.09,False,,,,
2015-06-11,2015-06-15,3,159915.SZ,510300.SH,-2.18,-2.13,False,,,,
2015-07-09,2015-07-10,2,513100.SH,518880.SH,-1.74,-1.76,False,,,,
2015-08-07,2015-08-11,3,513100.SH,159915.SZ,-4.54,-4.47,False,,,,
2015-09-25,2015-09-29,3,510300.SH -> 159915.SZ,513100.SH,1.72,1.75,False,,,,
2015-11-09,2015-11-10,2,159915.SZ,513100.SH,4.26,4.22,False,,,,
2015-12-07,2015-12-09,3,513100.SH,510300.SH,1.23,1.23,False,,,,
2015-12-23,2015-12-28,4,510300.SH -> 518880.SH,159915.SZ -> 510300.SH,2.79,2.8,False,,,,
2015-12-31,2016-01-04,2,159915.SZ,510300.SH,-4.5,-4.71,False,,,,
2016-03-29,2016-03-31,3,159915.SZ,510300.SH,0.65,0.72,False,,,,
2016-04-22,2016-04-25,2,518880.SH,513100.SH,0.67,0.67,False,,,,
2016-04-27,2016-04-27,1,513100.SH,518880.SH,-0.29,-0.29,False,,,,
2016-06-14,2016-06-15,2,518880.SH,159915.SZ,-3.88,-3.87,False,,,,
2016-06-28,2016-06-30,3,518880.SH,159915.SZ,-2.11,-2.1,False,,,,
2016-07-14,2016-07-18,3,510300.SH,159915.SZ,1.44,1.44,False,,,,
2016-07-20,2016-07-25,4,159915.SZ -> 513100.SH,510300.SH,-0.23,-0.23,False,,,,
2016-08-24,2016-08-25,2,513100.SH,510300.SH,0.36,0.36,False,,,,
2016-09-13,2016-09-19,3,518880.SH,159915.SZ,-1.31,-1.31,False,,,,
2016-10-12,2016-10-14,3,513100.SH,518880.SH,0.92,0.92,False,,,,
2016-11-11,2016-11-14,2,510300.SH,518880.SH,4.5,4.55,False,,,,
2017-02-07,2017-02-09,3,513100.SH,510300.SH,0.22,0.22,False,,,,
2017-03-27,2017-03-29,3,159915.SZ,518880.SH,-1.41,-1.42,False,,,,
2017-04-06,2017-04-07,2,510300.SH,513100.SH,0.59,0.6,False,,,,
2017-06-06,2017-06-07,2,513100.SH,510300.SH,-2.59,-2.58,False,,,,
2017-08-01,2017-08-02,2,510300.SH,513100.SH,-0.46,-0.46,False,,,,
2017-08-15,2017-08-16,2,159915.SZ,518880.SH,2.06,2.07,False,,,,
2017-09-26,2017-09-26,1,513100.SH,159915.SZ,-0.07,-0.07,False,,,,
2017-10-09,2017-10-10,2,510300.SH,513100.SH,-0.03,-0.04,False,,,,
2017-10-31,2017-10-31,1,513100.SH,510300.SH,-0.06,-0.06,False,,,,
2017-11-16,2017-11-17,2,513100.SH,510300.SH,-0.04,-0.03,False,,,,
2018-01-04,2018-01-05,2,159915.SZ,510300.SH,-0.1,-0.1,False,,,,
2018-01-09,2018-01-09,1,510300.SH,518880.SH,0.74,0.74,False,,,,
2018-02-02,2018-02-06,3,510300.SH,513100.SH,7.01,7.24,False,,,,
2018-02-13,2018-02-13,1,159915.SZ,518880.SH,-0.52,-0.52,False,,,,
2018-02-22,2018-02-27,4,518880.SH -> 513100.SH,159915.SZ,-4.66,-4.59,False,,,,
2018-03-02,2018-03-06,3,159915.SZ,513100.SH,-0.76,-0.76,False,,,,
2018-04-27,2018-05-03,3,518880.SH -> 513100.SH,159915.SZ,-2.15,-2.13,False,,,,
2018-05-23,2018-05-25,3,159915.SZ -> 513100.SH,510300.SH,0.66,0.67,False,,,,
2018-07-25,2018-07-26,2,513100.SH,159915.SZ,1.84,1.84,False,,,,
2018-08-01,2018-08-02,2,510300.SH,513100.SH,-5.76,-5.8,False,,,,
2018-09-06,2018-09-10,3,513100.SH,510300.SH,1.21,1.21,False,,,,
2018-09-14,2018-09-17,2,518880.SH,513100.SH,-0.15,-0.15,False,,,,
2018-09-26,2018-09-28,3,513100.SH -> 510300.SH,518880.SH,3.18,3.17,False,,,,
2018-10-09,2018-10-12,4,518880.SH,510300.SH,5.37,5.26,False,,,,
2018-12-05,2018-12-07,3,159915.SZ,518880.SH,-2.29,-2.25,False,,,,
2019-01-24,2019-01-25,2,513100.SH,510300.SH,-0.81,-0.8,False,,,,
2019-01-29,2019-02-01,4,510300.SH,513100.SH,-0.7,-0.71,False,,,,
2019-02-12,2019-02-12,1,513100.SH,510300.SH,-0.23,-0.23,False,,,,
2019-02-21,2019-02-22,2,510300.SH,159915.SZ,-2.08,-2.05,False,,,,
2019-03-29,2019-04-02,3,159915.SZ,513100.SH,5.42,5.31,False,,,,
2019-04-18,2019-04-22,3,510300.SH,513100.SH,-1.19,-1.16,False,,,,
2019-04-24,2019-04-29,4,513100.SH,510300.SH,5.97,5.95,False,,,,
2019-07-04,2019-07-05,2,513100.SH,510300.SH,0.19,0.19,False,,,,
2019-07-12,2019-07-16,3,513100.SH,518880.SH,0.83,0.84,False,,,,
2019-07-18,2019-07-19,2,159915.SZ,513100.SH,-0.71,-0.7,False,,,,
2019-08-01,2019-08-02,2,513100.SH,518880.SH,-1.76,-1.8,False,,,,
2019-10-08,2019-10-17,8,159915.SZ -> 510300.SH -> 513100.SH,513100.SH -> 159915.SZ,3.04,3.01,False,,,,
2019-11-08,2019-11-12,3,513100.SH,159915.SZ,3.41,3.41,False,,,,
2019-12-13,2019-12-16,2,513100.SH,159915.SZ,-2.03,-2.01,False,,,,
2019-12-18,2019-12-23,4,159915.SZ,513100.SH,-3.91,-3.97,False,,,,
2019-12-25,2019-12-25,1,513100.SH,159915.SZ,-1.69,-1.69,False,,,,
2019-12-30,2019-12-31,2,510300.SH,159915.SZ,0.18,0.18,False,,,,
2020-01-07,2020-01-08,2,518880.SH,510300.SH,2.19,2.18,False,,,,
2020-01-10,2020-01-15,4,159915.SZ -> 513100.SH,518880.SH,0.73,0.74,False,,,,
2020-01-21,2020-01-22,2,159915.SZ,513100.SH,0.6,0.59,False,,,,
2020-02-03,2020-02-06,4,513100.SH,159915.SZ,-3.6,-3.41,False,,,,
2020-03-03,2020-03-04,2,159915.SZ,518880.SH,-2.88,-2.88,False,,,,
2020-03-06,2020-03-11,4,510300.SH -> 518880.SH,159915.SZ,-1.0,-1.12,False,,,,
2020-04-27,2020-04-29,3,513100.SH,159915.SZ,5.95,5.79,False,,,,
2020-06-10,2020-06-12,3,513100.SH,159915.SZ,-4.55,-4.56,False,,,,
2020-07-09,2020-07-13,3,159915.SZ,510300.SH,6.91,6.68,False,,,,
2020-07-30,2020-07-31,2,159915.SZ,518880.SH,1.02,1.03,False,,,,
2020-08-19,2020-08-20,2,518880.SH,513100.SH,-3.81,-3.82,False,,,,
2020-10-09,2020-10-13,3,518880.SH -> 159915.SZ,510300.SH,-2.29,-2.24,False,,,,
2020-10-28,2020-10-30,3,159915.SZ,510300.SH,0.54,0.54,False,,,,
2020-11-06,2020-11-06,1,510300.SH,159915.SZ,1.94,1.94,False,,,,
2020-12-31,2021-01-05,3,159915.SZ,518880.SH,5.05,4.92,False,,,,
2021-01-18,2021-01-19,2,159915.SZ,510300.SH,0.47,0.52,False,,,,
2021-01-21,2021-01-21,1,510300.SH,159915.SZ,-0.91,-0.91,False,,,,
2021-02-04,2021-02-08,3,513100.SH,510300.SH,0.12,0.12,False,,,,
2021-02-10,2021-02-18,2,159915.SZ,513100.SH,-0.73,-0.68,False,,,,
2021-03-03,2021-03-04,2,513100.SH,510300.SH,-1.8,-1.85,False,,,,
2021-03-18,2021-03-19,2,513100.SH,518880.SH,-2.56,-2.53,False,,,,
2021-03-26,2021-03-29,2,518880.SH,513100.SH,-0.92,-0.92,False,,,,
2021-03-31,2021-04-07,5,513100.SH,518880.SH,1.72,1.67,False,,,,
2021-04-27,2021-04-28,2,513100.SH,159915.SZ,-3.39,-3.37,False,,,,
2021-05-13,2021-05-14,2,159915.SZ,518880.SH,3.01,3.01,False,,,,
2021-05-26,2021-05-28,3,159915.SZ,518880.SH,1.53,1.51,False,,,,
2021-06-02,2021-06-03,2,518880.SH,159915.SZ,1.75,1.77,False,,,,
2021-07-26,2021-07-28,3,513100.SH,159915.SZ,4.05,4.07,False,,,,
2021-08-03,2021-08-04,2,159915.SZ,518880.SH,1.46,1.48,False,,,,
2021-08-06,2021-08-11,4,513100.SH,159915.SZ,2.59,2.61,False,,,,
2021-08-27,2021-08-31,3,513100.SH,510300.SH,2.71,2.69,False,,,,
2021-09-07,2021-09-07,1,518880.SH,513100.SH,-0.54,-0.54,False,,,,
2021-09-09,2021-09-14,4,513100.SH,518880.SH,-1.8,-1.82,False,,,,
2021-09-17,2021-09-22,2,513100.SH,510300.SH,-2.18,-2.17,False,,,,
2021-10-14,2021-10-15,2,510300.SH,159915.SZ,-2.38,-2.38,False,,,,
2022-01-05,2022-01-06,2,513100.SH,518880.SH,-2.82,-2.83,False,,,,
2022-06-02,2022-06-07,3,159915.SZ,510300.SH,2.99,2.94,False,,,,
2022-06-10,2022-06-13,2,510300.SH,159915.SZ,-1.63,-1.63,False,,,,
2022-08-29,2022-08-30,2,513100.SH,518880.SH,0.51,0.51,False,,,,
2022-09-01,2022-09-07,5,518880.SH,510300.SH,0.85,0.85,False,,,,
2022-11-10,2022-11-10,1,518880.SH,159915.SZ,0.77,0.77,False,,,,
2022-11-15,2022-11-16,2,513100.SH,518880.SH,0.85,0.84,False,,,,
2022-12-01,2022-12-02,2,518880.SH,510300.SH,2.08,2.06,False,,,,
2022-12-06,2022-12-09,4,510300.SH,518880.SH,1.16,1.15,False,,,,
2022-12-26,2022-12-28,3,510300.SH,518880.SH,0.73,0.73,False,,,,
2023-01-19,2023-01-20,2,510300.SH,159915.SZ,-0.25,-0.25,False,,,,
2023-03-07,2023-03-09,3,518880.SH,510300.SH,0.97,0.98,False,,,,
2023-04-07,2023-04-07,1,518880.SH,513100.SH,0.2,0.2,False,,,,
2023-04-11,2023-04-13,3,513100.SH,518880.SH,-2.89,-2.89,False,,,,
2023-04-17,2023-04-17,1,518880.SH,159915.SZ,0.2,0.2,False,,,,
2023-04-20,2023-04-21,2,510300.SH,159915.SZ,0.77,0.78,False,,,,
2023-04-26,2023-04-28,3,518880.SH,513100.SH,-2.46,-2.46,False,,,,
2023-05-05,2023-05-05,1,513100.SH,518880.SH,0.13,0.13,False,,,,
2023-05-10,2023-05-11,2,513100.SH,518880.SH,1.6,1.59,False,,,,
2023-07-26,2023-07-28,3,513100.SH,518880.SH,0.83,0.83,False,,,,
2023-08-02,2023-08-03,2,513100.SH,510300.SH,-3.04,-3.06,False,,,,
2023-08-17,2023-08-18,2,510300.SH,518880.SH,-0.47,-0.46,False,,,,
2023-08-22,2023-08-25,4,518880.SH,510300.SH,1.21,1.2,False,,,,
2023-09-20,2023-09-22,3,518880.SH,513100.SH,2.39,2.4,False,,,,
2023-10-17,2023-10-18,2,518880.SH,513100.SH,1.6,1.59,False,,,,
2023-11-23,2023-11-27,3,513100.SH,159915.SZ,0.45,0.44,False,,,,
2023-12-12,2023-12-14,3,513100.SH,518880.SH,1.08,1.06,False,,,,
2024-05-10,2024-05-13,2,159915.SZ,510300.SH,-1.99,-2.0,False,,,,
2024-07-24,2024-07-26,3,513100.SH -> 518880.SH,510300.SH,-3.42,-3.46,False,,,,
2024-09-05,2024-09-06,2,518880.SH,513100.SH,0.18,0.18,False,,,,
2024-11-08,2024-11-11,2,513100.SH,518880.SH -> 159915.SZ,-3.42,-3.4,False,,,,
2024-12-17,2024-12-19,3,513100.SH,518880.SH,-1.54,-1.53,False,,,,
2025-02-20,2025-02-21,2,518880.SH,159915.SZ,-3.38,-3.38,False,,,,
2025-02-28,2025-03-03,2,159915.SZ,518880.SH,-1.52,-1.48,False,,,,
2025-03-10,2025-03-11,2,518880.SH,159915.SZ,-0.08,-0.07,False,,,,
2025-03-13,2025-03-19,5,159915.SZ -> 518880.SH,510300.SH,-1.51,-1.51,False,,,,
2025-05-13,2025-05-15,3,513100.SH,159915.SZ,3.84,3.82,False,2,513100.SH(纳指ETF) 1.37%,159915.SZ(创业板ETF) -2.42%,少数交易日快速拉开差距
2025-06-26,2025-06-26,1,159915.SZ,513100.SH,-1.01,-1.01,False,,,,
2025-07-09,2025-07-11,3,159915.SZ,513100.SH,1.3,1.29,False,,,,
2025-09-25,2025-09-26,2,159915.SZ,518880.SH,-0.66,-0.63,False,,,,
2025-09-30,2025-09-30,1,518880.SH,513100.SH,-0.43,-0.43,False,,,,
2025-10-14,2025-10-14,1,518880.SH,513100.SH,1.08,1.08,False,,,,
2025-11-21,2025-11-24,2,513100.SH,159915.SZ,3.9,3.89,False,1,513100.SH(纳指ETF) 1.20%,159915.SZ(创业板ETF) -2.74%,少数交易日快速拉开差距
2025-12-12,2025-12-16,3,518880.SH,159915.SZ,3.35,3.37,False,4,518880.SH(黄金ETF) 0.42%,159915.SZ(创业板ETF) -2.92%,少数交易日快速拉开差距
2026-01-08,2026-01-08,1,518880.SH,159915.SZ,-0.34,-0.34,False,,,,
2026-01-20,2026-01-22,3,518880.SH,159915.SZ,3.48,3.45,False,3,518880.SH(黄金ETF) 3.36%,159915.SZ(创业板ETF) -0.12%,少数交易日快速拉开差距
2026-03-10,2026-03-12,3,518880.SH,510300.SH,-1.35,-1.35,False,,,,
2026-03-17,2026-03-19,3,159915.SZ,518880.SH,2.79,2.87,False,5,159915.SZ(创业板ETF) -1.96%,518880.SH(黄金ETF) -4.76%,少数交易日快速拉开差距
2026-04-13,2026-04-14,2,159915.SZ,513100.SH,2.1,2.08,False,,,,
2026-05-12,2026-05-14,3,513100.SH,159915.SZ,0.11,0.05,False,,,,
