window_start,window_end,rd,cum_return_pct,sharpe,max_dd_pct
2022-01-01,2026-06-04,2,371.7,1.43,-28.19
2022-01-01,2026-06-04,3,344.67,1.39,-27.2
2022-01-01,2026-06-04,5,303.31,1.3,-25.51
2022-01-01,2026-06-04,7,367.77,1.44,-30.66
2024-01-01,2026-06-04,2,239.81,1.69,-28.19
2024-01-01,2026-06-04,3,219.83,1.62,-27.2
2024-01-01,2026-06-04,5,201.36,1.54,-25.51
2024-01-01,2026-06-04,7,286.07,1.85,-30.66
2025-01-01,2026-06-04,2,119.85,2.15,-17.72
2025-01-01,2026-06-04,3,97.67,1.91,-17.42
2025-01-01,2026-06-04,5,77.99,1.62,-25.51
2025-01-01,2026-06-04,7,148.95,2.5,-16.77
2026-01-01,2026-06-04,2,33.74,2.15,-17.72
2026-01-01,2026-06-04,3,26.59,1.78,-17.42
2026-01-01,2026-06-04,5,17.91,1.29,-21.36
2026-01-01,2026-06-04,7,38.86,2.45,-16.77
