window_months,window_start,window_end,rd2_cum_return_pct,rd5_cum_return_pct,return_diff_pp,rd2_sharpe,rd5_sharpe,sharpe_diff,rd2_max_dd_pct,rd5_max_dd_pct
36,2014-02-07,2017-01-26,136.02,153.28,-17.25,1.23,1.33,-0.1,-28.44,-25.79
36,2014-03-03,2017-02-28,149.47,150.98,-1.52,1.32,1.33,-0.02,-28.44,-25.79
36,2014-04-01,2017-03-31,154.1,159.81,-5.71,1.33,1.37,-0.04,-28.44,-25.79
36,2014-04-29,2017-04-28,151.96,156.04,-4.08,1.33,1.36,-0.03,-28.44,-25.79
36,2014-06-03,2017-05-31,148.28,153.96,-5.68,1.31,1.35,-0.04,-28.44,-25.79
36,2014-07-01,2017-06-30,160.34,174.19,-13.84,1.37,1.45,-0.08,-28.44,-25.79
36,2014-08-01,2017-07-31,144.06,154.24,-10.18,1.29,1.35,-0.06,-28.44,-25.79
36,2014-09-01,2017-08-31,149.52,159.77,-10.25,1.33,1.38,-0.06,-28.44,-25.79
36,2014-09-30,2017-09-29,142.81,153.23,-10.42,1.29,1.36,-0.06,-28.44,-25.79
36,2014-11-03,2017-10-31,160.01,170.1,-10.1,1.39,1.45,-0.06,-28.44,-25.79
36,2014-12-01,2017-11-30,138.05,147.33,-9.27,1.27,1.32,-0.06,-28.44,-25.79
36,2014-12-30,2017-12-29,96.28,103.93,-7.65,1.05,1.1,-0.06,-28.44,-25.79
36,2015-02-02,2018-01-31,125.72,129.0,-3.29,1.27,1.3,-0.03,-28.44,-25.79
36,2015-03-02,2018-02-28,100.31,104.69,-4.39,1.11,1.13,-0.02,-28.44,-25.79
36,2015-03-31,2018-03-30,79.69,91.09,-11.4,0.96,1.04,-0.08,-28.44,-25.79
36,2015-04-28,2018-04-27,56.49,67.35,-10.85,0.77,0.86,-0.09,-28.44,-25.79
36,2015-06-01,2018-05-31,36.43,46.46,-10.03,0.6,0.7,-0.1,-28.44,-25.79
36,2015-06-30,2018-06-29,66.41,72.27,-5.86,0.96,0.99,-0.03,-25.47,-24.45
36,2015-08-03,2018-07-31,75.79,77.22,-1.43,1.05,1.04,0.01,-25.47,-24.45
36,2015-09-01,2018-08-31,69.07,75.03,-5.96,0.99,1.04,-0.05,-25.47,-24.45
36,2015-09-29,2018-09-28,81.3,74.77,6.53,1.11,1.03,0.08,-25.47,-24.45
36,2015-11-02,2018-10-31,48.19,44.89,3.3,0.83,0.78,0.05,-25.47,-23.6
36,2015-12-01,2018-11-30,51.16,54.27,-3.1,0.9,0.93,-0.02,-18.37,-16.32
36,2015-12-29,2018-12-28,66.93,82.76,-15.84,1.1,1.27,-0.17,-13.86,-12.05
36,2016-02-01,2019-01-31,82.13,90.29,-8.16,1.35,1.38,-0.03,-9.3,-12.05
36,2016-02-29,2019-02-28,86.66,98.52,-11.86,1.37,1.43,-0.06,-9.3,-12.05
36,2016-03-30,2019-03-29,111.61,116.19,-4.58,1.54,1.53,0.01,-9.3,-12.05
36,2016-05-03,2019-04-30,103.1,101.48,1.62,1.48,1.42,0.06,-9.3,-12.05
36,2016-06-01,2019-05-31,93.96,92.41,1.55,1.38,1.32,0.06,-8.83,-15.05
36,2016-06-29,2019-06-28,118.39,106.54,11.85,1.64,1.48,0.15,-8.83,-15.05
36,2016-08-01,2019-07-31,102.23,91.57,10.66,1.48,1.33,0.14,-8.83,-15.05
36,2016-08-31,2019-08-30,114.93,113.02,1.91,1.57,1.51,0.07,-8.83,-15.05
36,2016-10-10,2019-09-30,117.16,112.74,4.42,1.59,1.5,0.09,-8.83,-15.05
36,2016-11-01,2019-10-31,123.98,115.61,8.36,1.64,1.52,0.12,-8.83,-15.05
36,2016-11-30,2019-11-29,123.21,114.64,8.57,1.64,1.52,0.12,-8.83,-15.05
36,2017-01-03,2019-12-31,122.15,128.36,-6.21,1.63,1.64,-0.0,-8.83,-15.05
36,2017-01-24,2020-01-23,112.94,120.31,-7.37,1.52,1.56,-0.03,-8.83,-15.05
36,2017-03-01,2020-02-28,119.39,133.64,-14.24,1.42,1.52,-0.09,-14.36,-15.05
36,2017-04-05,2020-03-31,99.47,112.05,-12.57,1.23,1.31,-0.08,-22.86,-21.74
36,2017-05-02,2020-04-30,121.66,118.65,3.01,1.39,1.35,0.04,-22.86,-21.74
36,2017-05-31,2020-05-29,111.9,109.03,2.88,1.3,1.27,0.03,-22.86,-21.74
36,2017-07-03,2020-06-30,115.56,119.1,-3.55,1.32,1.34,-0.01,-22.86,-21.74
36,2017-08-01,2020-07-31,124.5,111.52,12.98,1.34,1.25,0.09,-22.86,-21.74
36,2017-09-01,2020-08-31,150.32,145.06,5.26,1.45,1.42,0.03,-22.86,-21.74
36,2017-10-09,2020-09-30,124.63,119.78,4.85,1.21,1.18,0.03,-22.86,-21.74
36,2017-10-31,2020-10-30,109.55,108.1,1.46,1.11,1.1,0.01,-22.86,-21.74
36,2017-12-01,2020-11-30,123.63,117.95,5.68,1.2,1.16,0.04,-22.86,-21.74
36,2018-01-02,2020-12-31,134.46,123.03,11.44,1.26,1.19,0.07,-22.86,-21.74
36,2018-01-30,2021-01-29,121.78,106.58,15.2,1.17,1.08,0.09,-22.86,-21.74
