window_months,window_start,window_end,rd2_cum_return_pct,rd5_cum_return_pct,return_diff_pp,rd2_sharpe,rd5_sharpe,sharpe_diff,rd2_max_dd_pct,rd5_max_dd_pct
60,2014-02-07,2019-01-31,253.99,304.22,-50.23,1.24,1.35,-0.11,-28.44,-25.79
60,2014-03-03,2019-02-28,303.27,340.76,-37.49,1.35,1.42,-0.07,-28.44,-25.79
60,2014-03-31,2019-03-29,349.14,374.88,-25.74,1.42,1.46,-0.04,-28.44,-25.79
60,2014-05-05,2019-04-30,372.22,373.96,-1.75,1.46,1.46,-0.0,-28.44,-25.79
60,2014-06-03,2019-05-31,320.67,325.0,-4.32,1.36,1.37,-0.01,-28.44,-25.79
60,2014-06-30,2019-06-28,361.21,369.8,-8.59,1.44,1.45,-0.01,-28.44,-25.79
60,2014-08-01,2019-07-31,325.69,323.5,2.2,1.37,1.36,0.01,-28.44,-25.79
60,2014-09-01,2019-08-30,349.75,366.92,-17.17,1.42,1.44,-0.03,-28.44,-25.79
60,2014-10-08,2019-09-30,323.36,340.04,-16.68,1.37,1.39,-0.03,-28.44,-25.79
60,2014-11-03,2019-10-31,360.6,362.8,-2.2,1.44,1.44,0.0,-28.44,-25.79
60,2014-12-01,2019-11-29,345.09,333.09,12.0,1.41,1.38,0.03,-28.44,-25.79
60,2015-01-05,2019-12-31,250.69,264.79,-14.09,1.23,1.26,-0.03,-28.44,-25.79
60,2015-01-26,2020-01-23,270.39,281.16,-10.76,1.3,1.32,-0.02,-28.44,-25.79
60,2015-03-02,2020-02-28,267.48,287.96,-20.48,1.25,1.3,-0.05,-28.44,-25.79
60,2015-04-01,2020-03-31,192.99,224.11,-31.13,1.06,1.14,-0.08,-28.44,-25.79
60,2015-05-04,2020-04-30,186.58,190.95,-4.37,1.04,1.05,-0.01,-28.44,-25.79
60,2015-06-01,2020-05-29,140.7,144.37,-3.67,0.91,0.92,-0.01,-28.44,-25.79
60,2015-07-01,2020-06-30,198.67,207.63,-8.96,1.14,1.16,-0.02,-25.47,-24.45
60,2015-08-03,2020-07-31,206.04,190.24,15.8,1.14,1.09,0.05,-25.47,-24.45
60,2015-09-01,2020-08-31,241.97,221.81,20.16,1.22,1.17,0.05,-25.47,-24.45
60,2015-10-08,2020-09-30,220.6,211.0,9.6,1.12,1.1,0.02,-25.47,-24.45
60,2015-11-02,2020-10-30,154.75,151.24,3.51,0.95,0.94,0.01,-25.47,-23.6
60,2015-12-01,2020-11-30,175.51,177.48,-1.97,1.04,1.05,-0.01,-22.86,-21.74
60,2016-01-04,2020-12-31,217.68,216.87,0.81,1.17,1.17,-0.0,-22.86,-21.74
60,2016-02-01,2021-01-29,247.63,224.41,23.22,1.26,1.19,0.06,-22.86,-21.74
60,2016-02-29,2021-02-26,202.18,184.72,17.45,1.12,1.07,0.05,-22.86,-21.74
60,2016-04-01,2021-03-31,181.71,184.42,-2.71,1.06,1.07,-0.01,-22.86,-21.74
60,2016-05-03,2021-04-30,195.95,204.44,-8.49,1.11,1.13,-0.03,-22.86,-21.74
60,2016-06-01,2021-05-31,206.26,205.79,0.47,1.13,1.13,0.0,-22.86,-21.74
60,2016-07-01,2021-06-30,233.52,214.2,19.32,1.22,1.16,0.05,-22.86,-21.74
60,2016-08-01,2021-07-30,206.65,187.8,18.85,1.14,1.08,0.06,-22.86,-21.74
60,2016-09-01,2021-08-31,214.27,177.16,37.11,1.16,1.04,0.12,-22.86,-21.74
60,2016-10-10,2021-09-30,202.7,181.27,21.43,1.13,1.06,0.07,-22.86,-21.74
60,2016-10-31,2021-10-29,210.86,199.2,11.66,1.15,1.11,0.04,-22.86,-21.74
60,2016-12-01,2021-11-30,202.48,201.53,0.95,1.12,1.12,0.0,-22.86,-21.74
60,2017-01-03,2021-12-31,195.33,194.4,0.93,1.1,1.1,0.0,-22.86,-21.74
60,2017-02-03,2022-01-28,185.36,189.85,-4.49,1.07,1.08,-0.02,-22.86,-21.74
60,2017-03-01,2022-02-28,186.08,191.43,-5.35,1.07,1.09,-0.02,-22.86,-21.74
60,2017-04-05,2022-03-31,197.99,198.7,-0.71,1.1,1.11,-0.0,-22.86,-21.74
60,2017-05-02,2022-04-29,174.32,176.66,-2.35,1.02,1.03,-0.01,-22.86,-21.74
60,2017-06-01,2022-05-31,163.27,165.52,-2.25,0.98,0.99,-0.01,-22.86,-21.74
60,2017-07-03,2022-06-30,192.05,184.42,7.64,1.07,1.05,0.02,-22.86,-21.74
60,2017-07-31,2022-07-29,204.05,196.1,7.95,1.1,1.08,0.02,-22.86,-21.74
60,2017-09-01,2022-08-31,196.49,189.77,6.71,1.07,1.05,0.02,-22.86,-21.74
60,2017-10-09,2022-09-30,197.42,186.16,11.26,1.07,1.04,0.03,-22.86,-21.74
60,2017-11-01,2022-10-31,189.92,178.25,11.68,1.05,1.02,0.03,-22.86,-21.74
60,2017-12-01,2022-11-30,202.97,200.62,2.35,1.09,1.08,0.0,-22.86,-21.74
60,2018-01-02,2022-12-30,197.7,190.9,6.81,1.07,1.06,0.02,-22.86,-21.74
60,2018-02-01,2023-01-31,193.89,192.34,1.54,1.07,1.06,0.0,-22.86,-21.74
60,2018-03-01,2023-02-28,190.52,186.91,3.6,1.05,1.05,-0.0,-22.86,-21.74
60,2018-04-02,2023-03-31,181.93,170.12,11.8,1.04,1.01,0.03,-22.86,-21.74
60,2018-05-02,2023-04-28,175.93,174.02,1.92,1.02,1.02,-0.0,-22.86,-21.74
60,2018-06-01,2023-05-31,213.89,184.64,29.24,1.13,1.05,0.07,-22.86,-21.74
60,2018-07-02,2023-06-30,221.36,191.42,29.94,1.15,1.08,0.07,-22.86,-21.74
60,2018-08-01,2023-07-31,209.0,180.8,28.2,1.12,1.05,0.07,-22.86,-21.74
60,2018-09-03,2023-08-31,189.26,168.83,20.43,1.06,1.0,0.06,-22.86,-21.74
60,2018-10-08,2023-09-28,171.6,161.96,9.64,1.01,0.98,0.03,-22.86,-21.74
60,2018-11-01,2023-10-31,181.4,169.83,11.57,1.04,1.01,0.03,-22.86,-21.74
60,2018-12-03,2023-11-30,171.56,158.22,13.34,1.01,0.98,0.04,-22.86,-21.74
60,2019-01-02,2023-12-29,169.33,146.41,22.92,1.01,0.93,0.07,-22.86,-21.74
60,2019-02-01,2024-01-31,174.22,147.66,26.56,1.02,0.94,0.08,-22.86,-21.74
60,2019-03-01,2024-02-29,155.16,126.39,28.76,0.96,0.86,0.1,-22.86,-21.74
60,2019-04-01,2024-03-29,150.5,129.76,20.74,0.96,0.88,0.07,-22.86,-21.74
60,2019-05-06,2024-04-30,149.45,141.02,8.44,0.96,0.93,0.03,-22.86,-21.74
60,2019-06-03,2024-05-31,157.6,153.49,4.11,0.99,0.98,0.01,-22.86,-21.74
60,2019-07-01,2024-06-28,159.96,155.81,4.15,1.0,0.98,0.01,-22.86,-21.74
60,2019-08-01,2024-07-31,153.31,159.1,-5.78,0.97,0.99,-0.03,-22.86,-21.74
60,2019-09-02,2024-08-30,142.2,137.39,4.81,0.93,0.92,0.01,-22.86,-21.74
60,2019-10-08,2024-09-30,244.83,233.65,11.18,1.16,1.14,0.02,-22.86,-21.74
60,2019-11-01,2024-10-31,214.87,213.14,1.73,0.99,0.99,-0.0,-25.5,-25.5
60,2019-12-02,2024-11-29,177.72,197.9,-20.18,0.89,0.95,-0.05,-28.19,-25.5
60,2020-01-02,2024-12-31,185.23,192.12,-6.89,0.91,0.93,-0.02,-28.19,-25.5
60,2020-02-03,2025-01-27,194.21,199.37,-5.16,0.94,0.95,-0.02,-28.19,-25.5
60,2020-03-02,2025-02-28,169.68,184.03,-14.35,0.89,0.93,-0.04,-28.19,-25.5
60,2020-04-01,2025-03-31,205.0,223.65,-18.65,0.99,1.04,-0.05,-28.19,-25.5
60,2020-05-06,2025-04-30,196.31,240.93,-44.63,0.97,1.08,-0.11,-28.19,-25.5
60,2020-06-01,2025-05-30,210.81,242.78,-31.97,1.01,1.08,-0.08,-28.19,-25.5
60,2020-07-01,2025-06-30,200.24,218.66,-18.41,0.98,1.03,-0.05,-28.19,-25.5
60,2020-08-03,2025-07-31,204.96,244.01,-39.05,1.0,1.1,-0.09,-28.19,-25.5
60,2020-08-31,2025-08-29,249.25,279.4,-30.15,1.12,1.18,-0.06,-28.19,-25.5
60,2020-10-09,2025-09-30,306.26,347.64,-41.39,1.27,1.35,-0.08,-28.19,-25.5
60,2020-11-02,2025-10-31,329.65,342.41,-12.76,1.3,1.33,-0.03,-28.19,-25.5
60,2020-11-30,2025-11-28,286.42,288.35,-1.93,1.21,1.22,-0.01,-28.19,-25.5
60,2021-01-04,2025-12-31,266.96,263.24,3.72,1.17,1.17,0.01,-28.19,-25.5
60,2021-02-01,2026-01-30,317.35,298.14,19.21,1.27,1.23,0.04,-28.19,-25.5
60,2021-03-01,2026-02-27,331.36,307.56,23.8,1.27,1.23,0.05,-28.19,-25.5
60,2021-04-01,2026-03-31,315.47,252.35,63.12,1.24,1.11,0.13,-28.19,-25.5
60,2021-05-06,2026-04-30,324.87,251.77,73.1,1.25,1.1,0.15,-28.19,-25.51
60,2021-05-31,2026-05-29,396.59,325.45,71.15,1.37,1.24,0.12,-28.19,-25.51
60,2021-06-07,2026-06-04,381.99,313.96,68.03,1.34,1.22,0.12,-28.19,-25.51
