year,rd,return_pct,max_dd_pct,switches,avg_holding_days
2014,2,49.21,-8.43,29,7.47
2014,3,41.1,-10.8,25,8.62
2014,5,58.23,-7.4,19,11.2
2014,7,52.11,-11.58,16,13.18
2015,2,41.05,-28.44,33,7.18
2015,3,42.77,-28.59,26,9.04
2015,5,39.76,-25.79,23,10.17
2015,7,23.11,-32.55,20,11.62
2016,2,11.92,-9.3,30,7.87
2016,3,12.64,-9.82,27,8.71
2016,5,14.3,-8.77,23,10.17
2016,7,19.64,-10.95,21,11.62
2017,2,21.07,-5.64,28,8.41
2017,3,21.21,-5.02,24,9.76
2017,5,24.3,-5.02,18,12.84
2017,7,19.57,-7.19,18,12.84
2018,2,25.73,-8.83,35,6.94
2018,3,13.34,-11.7,31,7.84
2018,5,28.64,-12.05,22,11.05
2018,7,29.68,-9.47,18,13.5
2019,2,45.95,-8.31,39,6.1
2019,3,42.86,-10.2,33,7.18
2019,5,42.82,-15.05,23,10.17
2019,7,40.51,-8.89,19,12.2
2020,2,27.78,-22.86,33,7.15
2020,3,25.03,-20.27,32,7.36
2020,5,21.4,-21.74,24,10.12
2020,7,38.39,-19.03,21,11.05
2021,2,4.04,-15.79,47,5.06
2021,3,3.0,-18.57,41,5.93
2021,5,6.19,-13.18,30,7.84
2021,7,0.04,-16.03,25,9.31
2022,2,22.04,-13.77,23,10.08
2022,3,16.86,-13.77,23,10.08
2022,5,22.82,-13.77,15,15.12
2022,7,17.53,-13.77,12,18.62
2023,2,13.75,-14.75,34,6.91
2023,3,18.98,-11.68,29,8.07
2023,5,8.96,-13.71,24,9.68
2023,7,3.09,-18.41,20,11.52
2024,2,54.57,-28.19,22,10.52
2024,3,61.8,-27.2,21,11.0
2024,5,69.31,-25.5,18,12.74
2024,7,55.08,-30.66,18,12.74
2025,2,64.39,-14.2,30,7.84
2025,3,56.15,-14.2,25,9.35
2025,5,50.96,-18.73,22,10.57
2025,7,79.28,-13.06,19,12.15
2026,2,33.74,-17.72,11,8.25
2026,3,26.59,-17.42,11,8.25
2026,5,17.91,-21.36,11,8.25
2026,7,38.86,-16.77,6,14.14
