window_months,pair,sample,n,min_pp,p25_pp,median_pp,p75_pp,max_pp,mean_pp,positive_pct,note
3,rd2-rd5,top_quartile,36,-10.71,-4.53,-1.5,2.28,15.36,-0.71,41.67,
3,rd2-rd5,all,144,-10.71,-2.3,0.0,3.21,15.36,0.36,49.31,
3,rd2-rd7,top_quartile,36,-14.13,-4.76,-2.11,0.88,10.01,-2.23,36.11,
3,rd2-rd7,all,144,-14.13,-2.66,0.01,2.89,19.31,0.12,50.0,
3,rd7-rd5,top_quartile,36,-17.39,-3.91,-1.19,0.93,18.79,-0.78,27.78,
3,rd7-rd5,all,144,-21.13,-2.2,0.0,2.71,18.79,0.23,47.22,
6,rd2-rd5,top_quartile,35,-11.18,-3.56,-1.64,2.26,22.16,1.03,31.43,
6,rd2-rd5,all,138,-15.63,-3.06,-0.47,3.51,26.39,0.7,43.48,
6,rd2-rd7,top_quartile,35,-14.48,-4.28,-0.99,3.9,7.99,-0.92,42.86,
6,rd2-rd7,all,138,-14.48,-4.74,0.27,4.4,23.8,0.19,52.17,
6,rd7-rd5,top_quartile,35,-23.99,-6.5,-1.46,2.12,33.46,-0.02,40.0,
6,rd7-rd5,all,138,-23.99,-4.19,0.0,3.35,33.46,0.51,49.28,
12,rd2-rd5,top_quartile,32,-26.77,-8.81,-2.91,0.77,12.11,-4.51,37.5,
12,rd2-rd5,all,126,-26.77,-3.21,-0.02,3.76,44.39,0.81,50.0,
12,rd2-rd7,top_quartile,32,-16.51,-6.02,-1.24,2.23,8.9,-2.34,40.62,
12,rd2-rd7,all,126,-24.27,-5.17,0.16,5.53,18.37,0.06,51.59,
12,rd7-rd5,top_quartile,32,-17.37,-4.84,-1.54,2.04,10.11,-2.2,37.5,
12,rd7-rd5,all,126,-22.28,-5.74,-1.05,3.43,59.02,0.76,45.24,
