window_months,pair,decision_month,decision_date,trailing_start_month,trailing_end_month,forward_start_month,forward_end_month,trailing_diff_pp,forward_diff_pp,quartile,is_top_quartile
3,rd2-rd5,2015-04,2015-04-30,2015-02,2015-04,2015-05,2015-07,3.86,-4.51,Q4,True
3,rd2-rd5,2015-05,2015-05-29,2015-03,2015-05,2015-06,2015-08,4.13,-8.19,Q4,True
3,rd2-rd5,2015-11,2015-11-30,2015-09,2015-11,2015-12,2016-02,8.11,-2.32,Q4,True
3,rd2-rd5,2015-12,2015-12-31,2015-10,2015-12,2016-01,2016-03,6.12,-3.48,Q4,True
3,rd2-rd5,2016-11,2016-11-30,2016-09,2016-11,2016-12,2017-02,3.35,0.31,Q4,True
3,rd2-rd5,2016-12,2016-12-30,2016-10,2016-12,2017-01,2017-03,4.67,-1.41,Q4,True
3,rd2-rd5,2017-01,2017-01-26,2016-11,2017-01,2017-02,2017-04,3.63,-0.74,Q4,True
3,rd2-rd5,2018-11,2018-11-30,2018-09,2018-11,2018-12,2019-02,8.61,-7.88,Q4,True
3,rd2-rd5,2019-04,2019-04-30,2019-02,2019-04,2019-05,2019-07,8.44,1.3,Q4,True
3,rd2-rd5,2019-05,2019-05-31,2019-03,2019-05,2019-06,2019-08,8.85,-3.42,Q4,True
3,rd2-rd5,2019-06,2019-06-28,2019-04,2019-06,2019-07,2019-09,5.38,-3.1,Q4,True
3,rd2-rd5,2019-11,2019-11-29,2019-09,2019-11,2019-12,2020-02,6.63,-10.71,Q4,True
3,rd2-rd5,2020-04,2020-04-30,2020-02,2020-04,2020-05,2020-07,4.25,2.72,Q4,True
3,rd2-rd5,2020-05,2020-05-29,2020-03,2020-05,2020-06,2020-08,6.43,-1.59,Q4,True
3,rd2-rd5,2020-06,2020-06-30,2020-04,2020-06,2020-07,2020-09,3.41,4.05,Q4,True
3,rd2-rd5,2020-07,2020-07-31,2020-05,2020-07,2020-08,2020-10,2.72,-5.55,Q4,True
3,rd2-rd5,2020-09,2020-09-30,2020-07,2020-09,2020-10,2020-12,4.05,3.17,Q4,True
3,rd2-rd5,2020-12,2020-12-31,2020-10,2020-12,2021-01,2021-03,3.17,-3.58,Q4,True
3,rd2-rd5,2021-01,2021-01-29,2020-11,2021-01,2021-02,2021-04,8.05,-7.66,Q4,True
3,rd2-rd5,2021-02,2021-02-26,2020-12,2021-02,2021-03,2021-05,4.82,-4.58,Q4,True
3,rd2-rd5,2021-06,2021-06-30,2021-04,2021-06,2021-07,2021-09,3.39,1.92,Q4,True
3,rd2-rd5,2021-07,2021-07-30,2021-05,2021-07,2021-08,2021-10,5.99,-2.44,Q4,True
3,rd2-rd5,2021-08,2021-08-31,2021-06,2021-08,2021-09,2021-11,9.4,-9.16,Q4,True
3,rd2-rd5,2023-05,2023-05-31,2023-03,2023-05,2023-06,2023-08,6.91,-8.06,Q4,True
3,rd2-rd5,2023-06,2023-06-30,2023-04,2023-06,2023-07,2023-09,4.67,-4.86,Q4,True
3,rd2-rd5,2023-07,2023-07-31,2023-05,2023-07,2023-08,2023-10,12.69,-3.58,Q4,True
