window_months,metric,from_rd,to_rd,count,row_prob_pct
3,return,2,2,8,17.39
3,return,2,3,6,13.04
3,return,2,5,14,30.43
3,return,2,7,18,39.13
3,return,3,2,3,18.75
3,return,3,3,1,6.25
3,return,3,5,8,50.0
3,return,3,7,4,25.0
3,return,5,2,18,42.86
3,return,5,3,5,11.9
3,return,5,5,7,16.67
3,return,5,7,12,28.57
3,return,7,2,17,42.5
3,return,7,3,5,12.5
3,return,7,5,12,30.0
3,return,7,7,6,15.0
3,sharpe,2,2,6,14.29
3,sharpe,2,3,5,11.9
3,sharpe,2,5,14,33.33
3,sharpe,2,7,17,40.48
3,sharpe,3,2,4,23.53
3,sharpe,3,3,1,5.88
3,sharpe,3,5,8,47.06
3,sharpe,3,7,4,23.53
3,sharpe,5,2,17,39.53
3,sharpe,5,3,6,13.95
3,sharpe,5,5,7,16.28
3,sharpe,5,7,13,30.23
3,sharpe,7,2,14,33.33
3,sharpe,7,3,6,14.29
3,sharpe,7,5,13,30.95
3,sharpe,7,7,9,21.43
6,return,2,2,2,7.14
6,return,2,3,3,10.71
6,return,2,5,15,53.57
6,return,2,7,8,28.57
6,return,3,2,4,21.05
6,return,3,3,2,10.53
6,return,3,5,7,36.84
6,return,3,7,6,31.58
6,return,5,2,14,28.0
6,return,5,3,7,14.0
6,return,5,5,10,20.0
6,return,5,7,19,38.0
6,return,7,2,8,19.51
6,return,7,3,7,17.07
6,return,7,5,15,36.59
6,return,7,7,11,26.83
6,sharpe,2,2,1,3.85
6,sharpe,2,3,5,19.23
6,sharpe,2,5,11,42.31
6,sharpe,2,7,9,34.62
6,sharpe,3,2,5,26.32
6,sharpe,3,3,2,10.53
6,sharpe,3,5,4,21.05
6,sharpe,3,7,8,42.11
6,sharpe,5,2,9,20.0
6,sharpe,5,3,5,11.11
6,sharpe,5,5,11,24.44
6,sharpe,5,7,20,44.44
6,sharpe,7,2,11,22.92
6,sharpe,7,3,7,14.58
6,sharpe,7,5,16,33.33
6,sharpe,7,7,14,29.17
12,return,2,2,2,6.45
12,return,2,3,6,19.35
12,return,2,5,8,25.81
12,return,2,7,15,48.39
12,return,3,2,7,29.17
12,return,3,3,0,0.0
12,return,3,5,9,37.5
12,return,3,7,8,33.33
12,return,5,2,9,24.32
12,return,5,3,9,24.32
12,return,5,5,6,16.22
12,return,5,7,13,35.14
12,return,7,2,12,35.29
12,return,7,3,5,14.71
12,return,7,5,13,38.24
12,return,7,7,4,11.76
12,sharpe,2,2,5,15.62
12,sharpe,2,3,6,18.75
12,sharpe,2,5,4,12.5
12,sharpe,2,7,17,53.12
12,sharpe,3,2,5,19.23
12,sharpe,3,3,2,7.69
12,sharpe,3,5,11,42.31
12,sharpe,3,7,8,30.77
12,sharpe,5,2,9,27.27
12,sharpe,5,3,8,24.24
12,sharpe,5,5,4,12.12
12,sharpe,5,7,12,36.36
12,sharpe,7,2,12,34.29
12,sharpe,7,3,6,17.14
12,sharpe,7,5,13,37.14
12,sharpe,7,7,4,11.43
