window_months,metric,cost_bps,path,start,end,trading_days,total_return_pct,annual_return_pct,sharpe,max_dd_pct,oneway_annual_turnover_pct,meta_turnover_sum_abs,meta_oneway_annual_turnover_pct
3,return,1.0,selector,2014-05-05,2026-06-04,2938,2046.65,30.09,1.14,-28.19,2701.84,53.0,227.3
3,return,1.0,oracle,2014-05-05,2026-06-04,2938,27438.14,61.91,2.0,-25.79,2401.63,55.0,235.87
3,return,1.0,rd5,2014-05-05,2026-06-04,2938,2763.85,33.34,1.24,-25.79,2307.28,31.0,132.95
3,return,5.0,selector,2014-05-05,2026-06-04,2938,1461.55,26.58,1.04,-30.55,2676.11,51.0,218.72
3,return,5.0,oracle,2014-05-05,2026-06-04,2938,21512.99,58.58,1.92,-25.97,2350.17,55.0,235.87
3,return,5.0,rd5,2014-05-05,2026-06-04,2938,2181.56,30.77,1.16,-26.22,2307.28,31.0,132.95
3,sharpe,1.0,selector,2014-05-05,2026-06-04,2938,2231.64,31.01,1.17,-28.19,2658.95,47.0,201.57
3,sharpe,1.0,oracle,2014-05-05,2026-06-04,2938,27438.14,61.91,2.0,-25.79,2401.63,55.0,235.87
3,sharpe,1.0,rd5,2014-05-05,2026-06-04,2938,2763.85,33.34,1.24,-25.79,2307.28,31.0,132.95
3,sharpe,5.0,selector,2014-05-05,2026-06-04,2938,1510.6,26.92,1.05,-28.66,2658.95,47.0,201.57
3,sharpe,5.0,oracle,2014-05-05,2026-06-04,2938,21512.99,58.58,1.92,-25.97,2350.17,55.0,235.87
3,sharpe,5.0,rd5,2014-05-05,2026-06-04,2938,2181.56,30.77,1.16,-26.22,2307.28,31.0,132.95
6,return,1.0,selector,2014-08-01,2026-06-04,2875,1188.64,25.11,0.98,-41.02,2594.5,51.0,223.51
6,return,1.0,oracle,2014-08-01,2026-06-04,2875,23220.48,61.26,1.97,-25.79,2384.14,55.0,241.04
6,return,1.0,rd5,2014-08-01,2026-06-04,2875,2459.81,32.87,1.22,-25.79,2305.25,31.0,135.86
6,return,5.0,selector,2014-08-01,2026-06-04,2875,977.63,23.17,0.92,-41.78,2471.79,47.0,205.98
6,return,5.0,oracle,2014-08-01,2026-06-04,2875,18319.32,57.96,1.89,-25.97,2331.55,55.0,241.04
6,return,5.0,rd5,2014-08-01,2026-06-04,2875,1949.11,30.31,1.14,-26.22,2305.25,31.0,135.86
6,sharpe,1.0,selector,2014-08-01,2026-06-04,2875,1216.5,25.35,0.99,-41.61,2533.15,45.0,197.22
6,sharpe,1.0,oracle,2014-08-01,2026-06-04,2875,23220.48,61.26,1.97,-25.79,2384.14,55.0,241.04
6,sharpe,1.0,rd5,2014-08-01,2026-06-04,2875,2459.81,32.87,1.22,-25.79,2305.25,31.0,135.86
6,sharpe,5.0,selector,2014-08-01,2026-06-04,2875,1002.97,23.42,0.93,-41.78,2445.5,43.0,188.45
6,sharpe,5.0,oracle,2014-08-01,2026-06-04,2875,18319.32,57.96,1.89,-25.97,2331.55,55.0,241.04
6,sharpe,5.0,rd5,2014-08-01,2026-06-04,2875,1949.11,30.31,1.14,-26.22,2305.25,31.0,135.86
12,return,1.0,selector,2015-02-02,2026-06-04,2752,1120.77,25.75,1.01,-30.66,2618.9,39.0,178.56
12,return,1.0,oracle,2015-02-02,2026-06-04,2752,18145.96,61.08,1.98,-25.79,2371.66,53.0,242.66
12,return,1.0,rd5,2015-02-02,2026-06-04,2752,1949.14,31.86,1.19,-25.79,2298.4,31.0,141.93
12,return,5.0,selector,2015-02-02,2026-06-04,2752,956.46,24.09,0.96,-30.77,2527.33,37.0,169.4
12,return,5.0,oracle,2015-02-02,2026-06-04,2752,14473.6,57.8,1.89,-25.97,2316.72,53.0,242.66
12,return,5.0,rd5,2015-02-02,2026-06-04,2752,1556.11,29.31,1.12,-26.22,2298.4,31.0,141.93
12,sharpe,1.0,selector,2015-02-02,2026-06-04,2752,1106.62,25.61,1.0,-30.66,2618.9,43.0,196.88
12,sharpe,1.0,oracle,2015-02-02,2026-06-04,2752,18145.96,61.08,1.98,-25.79,2371.66,53.0,242.66
12,sharpe,1.0,rd5,2015-02-02,2026-06-04,2752,1949.14,31.86,1.19,-25.79,2298.4,31.0,141.93
12,sharpe,5.0,selector,2015-02-02,2026-06-04,2752,1067.43,25.24,0.99,-30.77,2472.38,39.0,178.56
12,sharpe,5.0,oracle,2015-02-02,2026-06-04,2752,14473.6,57.8,1.89,-25.97,2316.72,53.0,242.66
12,sharpe,5.0,rd5,2015-02-02,2026-06-04,2752,1556.11,29.31,1.12,-26.22,2298.4,31.0,141.93
