window_months,pair,decision_month,decision_date,trailing_start_month,trailing_end_month,forward_start_month,forward_end_month,trailing_diff_pp,forward_diff_pp,quartile,is_top_quartile
3,rd2-rd5,2014-04,2014-04-30,2014-02,2014-04,2014-05,2014-07,-6.16,0.45,Q1,False
3,rd7-rd5,2014-04,2014-04-30,2014-02,2014-04,2014-05,2014-07,0.0,4.97,Q2,False
3,rd2-rd7,2014-04,2014-04-30,2014-02,2014-04,2014-05,2014-07,-6.16,-4.52,Q1,False
3,rd2-rd5,2014-05,2014-05-30,2014-03,2014-05,2014-06,2014-08,0.68,-0.27,Q3,False
3,rd7-rd5,2014-05,2014-05-30,2014-03,2014-05,2014-06,2014-08,-0.42,5.17,Q2,False
3,rd2-rd7,2014-05,2014-05-30,2014-03,2014-05,2014-06,2014-08,1.09,-5.43,Q3,False
3,rd2-rd5,2014-06,2014-06-30,2014-04,2014-06,2014-07,2014-09,1.54,-1.1,Q3,False
3,rd7-rd5,2014-06,2014-06-30,2014-04,2014-06,2014-07,2014-09,3.7,-0.87,Q4,True
3,rd2-rd7,2014-06,2014-06-30,2014-04,2014-06,2014-07,2014-09,-2.16,-0.23,Q2,False
3,rd2-rd5,2014-07,2014-07-31,2014-05,2014-07,2014-08,2014-10,0.45,-0.53,Q3,False
3,rd7-rd5,2014-07,2014-07-31,2014-05,2014-07,2014-08,2014-10,4.97,-5.22,Q4,True
3,rd2-rd7,2014-07,2014-07-31,2014-05,2014-07,2014-08,2014-10,-4.52,4.69,Q1,False
3,rd2-rd5,2014-08,2014-08-29,2014-06,2014-08,2014-09,2014-11,-0.27,-0.13,Q2,False
3,rd7-rd5,2014-08,2014-08-29,2014-06,2014-08,2014-09,2014-11,5.17,-8.65,Q4,True
3,rd2-rd7,2014-08,2014-08-29,2014-06,2014-08,2014-09,2014-11,-5.43,8.53,Q1,False
3,rd2-rd5,2014-09,2014-09-30,2014-07,2014-09,2014-10,2014-12,-1.1,-0.31,Q2,False
3,rd7-rd5,2014-09,2014-09-30,2014-07,2014-09,2014-10,2014-12,-0.87,-8.57,Q2,False
3,rd2-rd7,2014-09,2014-09-30,2014-07,2014-09,2014-10,2014-12,-0.23,8.26,Q2,False
3,rd2-rd5,2014-10,2014-10-31,2014-08,2014-10,2014-11,2015-01,-0.53,-1.67,Q2,False
3,rd7-rd5,2014-10,2014-10-31,2014-08,2014-10,2014-11,2015-01,-5.22,-3.09,Q1,False
3,rd2-rd7,2014-10,2014-10-31,2014-08,2014-10,2014-11,2015-01,4.69,1.42,Q4,True
3,rd2-rd5,2014-11,2014-11-28,2014-09,2014-11,2014-12,2015-02,-0.13,-2.21,Q2,False
3,rd7-rd5,2014-11,2014-11-28,2014-09,2014-11,2014-12,2015-02,-8.65,0.56,Q1,False
3,rd2-rd7,2014-11,2014-11-28,2014-09,2014-11,2014-12,2015-02,8.53,-2.77,Q4,True
3,rd2-rd5,2014-12,2014-12-31,2014-10,2014-12,2015-01,2015-03,-0.31,1.67,Q2,False
3,rd7-rd5,2014-12,2014-12-31,2014-10,2014-12,2015-01,2015-03,-8.57,4.36,Q1,False
3,rd2-rd7,2014-12,2014-12-31,2014-10,2014-12,2015-01,2015-03,8.26,-2.7,Q4,True
3,rd2-rd5,2015-01,2015-01-30,2014-11,2015-01,2015-02,2015-04,-1.67,3.86,Q2,False
3,rd7-rd5,2015-01,2015-01-30,2014-11,2015-01,2015-02,2015-04,-3.09,10.98,Q1,False
3,rd2-rd7,2015-01,2015-01-30,2014-11,2015-01,2015-02,2015-04,1.42,-7.13,Q3,False
3,rd2-rd5,2015-02,2015-02-27,2014-12,2015-02,2015-03,2015-05,-2.21,4.13,Q2,False
3,rd7-rd5,2015-02,2015-02-27,2014-12,2015-02,2015-03,2015-05,0.56,11.77,Q3,False
3,rd2-rd7,2015-02,2015-02-27,2014-12,2015-02,2015-03,2015-05,-2.77,-7.64,Q1,False
3,rd2-rd5,2015-03,2015-03-31,2015-01,2015-03,2015-04,2015-06,1.67,-4.74,Q3,False
3,rd7-rd5,2015-03,2015-03-31,2015-01,2015-03,2015-04,2015-06,4.36,5.1,Q4,True
3,rd2-rd7,2015-03,2015-03-31,2015-01,2015-03,2015-04,2015-06,-2.7,-9.83,Q2,False
3,rd2-rd5,2015-04,2015-04-30,2015-02,2015-04,2015-05,2015-07,3.86,-4.51,Q4,True
3,rd7-rd5,2015-04,2015-04-30,2015-02,2015-04,2015-05,2015-07,10.98,-1.37,Q4,True
3,rd2-rd7,2015-04,2015-04-30,2015-02,2015-04,2015-05,2015-07,-7.13,-3.14,Q1,False
3,rd2-rd5,2015-05,2015-05-29,2015-03,2015-05,2015-06,2015-08,4.13,-8.19,Q4,True
3,rd7-rd5,2015-05,2015-05-29,2015-03,2015-05,2015-06,2015-08,11.77,-17.39,Q4,True
3,rd2-rd7,2015-05,2015-05-29,2015-03,2015-05,2015-06,2015-08,-7.64,9.2,Q1,False
3,rd2-rd5,2015-06,2015-06-30,2015-04,2015-06,2015-07,2015-09,-4.74,-2.22,Q1,False
3,rd7-rd5,2015-06,2015-06-30,2015-04,2015-06,2015-07,2015-09,5.1,-16.58,Q4,True
3,rd2-rd7,2015-06,2015-06-30,2015-04,2015-06,2015-07,2015-09,-9.83,14.36,Q1,False
3,rd2-rd5,2015-07,2015-07-31,2015-05,2015-07,2015-08,2015-10,-4.51,-1.82,Q1,False
3,rd7-rd5,2015-07,2015-07-31,2015-05,2015-07,2015-08,2015-10,-1.37,-21.13,Q2,False
3,rd2-rd7,2015-07,2015-07-31,2015-05,2015-07,2015-08,2015-10,-3.14,19.31,Q1,False
