window_months,metric,decision_month,past_best_rd,future_best_rd,hit,trailing_rd2,trailing_rd3,trailing_rd5,trailing_rd7,forward_rd2,forward_rd3,forward_rd5,forward_rd7
3,return,2014-04,5,7,False,-0.03,-0.06,0.03,0.03,0.12,0.09,0.12,0.17
3,return,2014-05,2,7,False,0.04,0.03,0.03,0.03,0.06,0.04,0.06,0.11
3,return,2014-06,7,5,False,0.04,0.03,0.02,0.06,0.12,0.1,0.13,0.12
3,return,2014-07,7,5,False,0.12,0.09,0.12,0.17,-0.0,-0.01,0.01,-0.05
3,return,2014-08,7,5,False,0.06,0.04,0.06,0.11,0.09,0.08,0.09,0.0
3,return,2014-09,5,5,True,0.12,0.1,0.13,0.12,0.31,0.31,0.31,0.23
3,return,2014-10,5,3,False,-0.0,-0.01,0.01,-0.05,0.23,0.25,0.24,0.21
3,return,2014-11,5,7,False,0.09,0.08,0.09,0.0,0.24,0.26,0.27,0.27
3,return,2014-12,5,7,False,0.31,0.31,0.31,0.23,0.14,0.13,0.12,0.16
3,return,2015-01,3,7,False,0.23,0.25,0.24,0.21,0.42,0.43,0.39,0.5
3,return,2015-02,7,7,True,0.24,0.26,0.27,0.27,0.53,0.53,0.48,0.6
3,return,2015-03,7,7,True,0.14,0.13,0.12,0.16,0.13,0.14,0.17,0.22
3,return,2015-04,7,5,False,0.42,0.43,0.39,0.5,0.03,0.03,0.07,0.06
3,return,2015-05,7,5,False,0.53,0.53,0.48,0.6,-0.11,-0.07,-0.03,-0.21
3,return,2015-06,7,3,False,0.13,0.14,0.17,0.22,0.01,0.06,0.03,-0.14
3,return,2015-07,5,3,False,0.03,0.03,0.07,0.06,0.2,0.25,0.21,0.0
3,return,2015-08,5,2,False,-0.11,-0.07,-0.03,-0.21,0.15,0.14,0.07,0.05
3,return,2015-09,3,2,False,0.01,0.06,0.03,-0.14,0.1,0.04,0.03,0.0
3,return,2015-10,3,7,False,0.2,0.25,0.21,0.0,-0.17,-0.19,-0.18,-0.1
3,return,2015-11,2,7,False,0.15,0.14,0.07,0.05,-0.07,-0.1,-0.05,0.05
3,return,2015-12,2,7,False,0.1,0.04,0.03,0.0,0.03,0.06,0.07,0.17
3,return,2016-01,7,2,False,-0.17,-0.19,-0.18,-0.1,0.16,0.15,0.14,0.1
3,return,2016-02,7,2,False,-0.07,-0.1,-0.05,0.05,0.05,0.05,0.04,-0.0
3,return,2016-03,7,5,False,0.03,0.06,0.07,0.17,-0.01,-0.01,0.03,-0.07
3,return,2016-04,2,5,False,0.16,0.15,0.14,0.1,0.02,0.02,0.05,0.01
3,return,2016-05,2,5,False,0.05,0.05,0.04,-0.0,0.03,0.04,0.06,0.02
3,return,2016-06,5,7,False,-0.01,-0.01,0.03,-0.07,0.03,0.03,0.02,0.05
3,return,2016-07,5,7,False,0.02,0.02,0.05,0.01,-0.02,-0.04,-0.02,-0.0
3,return,2016-08,5,2,False,0.03,0.04,0.06,0.02,0.02,0.0,-0.01,0.01
3,return,2016-09,7,2,False,0.03,0.03,0.02,0.05,0.06,0.05,0.02,0.04
3,return,2016-10,7,2,False,-0.02,-0.04,-0.02,-0.0,0.05,0.05,0.02,0.02
3,return,2016-11,2,2,True,0.02,0.0,-0.01,0.01,0.06,0.05,0.05,0.04
3,return,2016-12,2,5,False,0.06,0.05,0.02,0.04,0.06,0.05,0.07,0.05
3,return,2017-01,2,3,False,0.05,0.05,0.02,0.02,0.04,0.07,0.05,0.01
3,return,2017-02,2,3,False,0.06,0.05,0.05,0.04,0.03,0.07,0.04,0.02
3,return,2017-03,5,5,True,0.06,0.05,0.07,0.05,0.06,0.07,0.08,0.06
3,return,2017-04,3,5,False,0.04,0.07,0.05,0.01,0.08,0.06,0.1,0.1
3,return,2017-05,3,5,False,0.03,0.07,0.04,0.02,0.07,0.04,0.09,0.08
