window_months,metric,cost_bps,path,decision_month,hold_month,date,chosen_rd,holding_asset,daily_return,nav,internal_turnover,meta_turnover
3,return,1.0,selector,2014-04,2014-05,2014-05-05,5,518880.SH,0.00449418,1.00449418,0.0,1.0
3,return,1.0,selector,2014-04,2014-05,2014-05-06,5,518880.SH,0.0007622,1.0052598,0.0,0.0
3,return,1.0,selector,2014-04,2014-05,2014-05-07,5,518880.SH,-0.00038081,1.00487699,0.0,0.0
3,return,1.0,selector,2014-04,2014-05,2014-05-08,5,518880.SH,-0.01447619,0.9903302,0.0,0.0
3,return,1.0,selector,2014-04,2014-05,2014-05-09,5,513100.SH,6.76e-06,0.99033689,2.0,0.0
3,return,1.0,selector,2014-04,2014-05,2014-05-12,5,513100.SH,0.00431406,0.99460927,0.0,0.0
3,return,1.0,selector,2014-04,2014-05,2014-05-13,5,513100.SH,0.01890034,1.01340773,0.0,0.0
3,return,1.0,selector,2014-04,2014-05,2014-05-14,5,513100.SH,0.00337268,1.01682563,0.0,0.0
3,return,1.0,selector,2014-04,2014-05,2014-05-15,5,513100.SH,-0.00336134,1.01340773,0.0,0.0
3,return,1.0,selector,2014-04,2014-05,2014-05-16,5,513100.SH,-0.00590219,1.0074264,0.0,0.0
3,return,1.0,selector,2014-04,2014-05,2014-05-19,5,513100.SH,0.00254453,1.00998983,0.0,0.0
3,return,1.0,selector,2014-04,2014-05,2014-05-20,5,513100.SH,0.00676819,1.01682563,0.0,0.0
3,return,1.0,selector,2014-04,2014-05,2014-05-21,5,513100.SH,-0.00588235,1.0108443,0.0,0.0
3,return,1.0,selector,2014-04,2014-05,2014-05-22,5,513100.SH,0.01183432,1.02280696,0.0,0.0
3,return,1.0,selector,2014-04,2014-05,2014-05-23,5,513100.SH,0.00417711,1.02707933,0.0,0.0
3,return,1.0,selector,2014-04,2014-05,2014-05-26,5,513100.SH,0.00748752,1.03476961,0.0,0.0
3,return,1.0,selector,2014-04,2014-05,2014-05-27,5,513100.SH,0.00412882,1.03904199,0.0,0.0
3,return,1.0,selector,2014-04,2014-05,2014-05-28,5,513100.SH,0.01069079,1.05015017,0.0,0.0
3,return,1.0,selector,2014-04,2014-05,2014-05-29,5,513100.SH,-0.00406835,1.04587779,0.0,0.0
3,return,1.0,selector,2014-04,2014-05,2014-05-30,5,513100.SH,0.0122549,1.05869492,0.0,0.0
3,return,1.0,selector,2014-05,2014-06,2014-06-03,2,513100.SH,-0.00242131,1.05613149,0.0,0.0
