date,X持仓,Y持仓,是否分歧
2025-10-16,518880.SH,518880.SH,N
2025-10-17,518880.SH,518880.SH,N
2025-10-20,518880.SH,518880.SH,N
2025-10-21,518880.SH,518880.SH,N
2025-10-22,518880.SH,518880.SH,N
2025-10-23,518880.SH,518880.SH,N
2025-10-24,518880.SH,518880.SH,N
2025-10-27,518880.SH,518880.SH,N
2025-10-28,513100.SH,518880.SH,Y
2025-10-29,513100.SH,518880.SH,Y
2025-10-30,513100.SH,513100.SH,N
2025-10-31,513100.SH,513100.SH,N
2025-11-03,513100.SH,513100.SH,N
2025-11-04,513100.SH,513100.SH,N
2025-11-05,513100.SH,513100.SH,N
2025-11-06,513100.SH,513100.SH,N
2025-11-07,513100.SH,513100.SH,N
2025-11-10,513100.SH,513100.SH,N
2025-11-11,513100.SH,513100.SH,N
2025-11-12,513100.SH,513100.SH,N
2025-11-13,513100.SH,513100.SH,N
2025-11-14,513100.SH,513100.SH,N
2025-11-17,513100.SH,513100.SH,N
2025-11-18,159915.SZ,513100.SH,Y
2025-11-19,159915.SZ,513100.SH,Y
2025-11-20,159915.SZ,159915.SZ,N
2025-11-21,159915.SZ,159915.SZ,N
2025-11-24,159915.SZ,159915.SZ,N
2025-11-25,518880.SH,159915.SZ,Y
2025-11-26,518880.SH,159915.SZ,Y
2025-11-27,518880.SH,518880.SH,N
2025-11-28,518880.SH,518880.SH,N
2025-12-01,518880.SH,518880.SH,N
2025-12-02,518880.SH,518880.SH,N
2025-12-03,518880.SH,518880.SH,N
2025-12-04,518880.SH,518880.SH,N
2025-12-05,518880.SH,518880.SH,N
2025-12-08,518880.SH,518880.SH,N
2025-12-09,518880.SH,518880.SH,N
2025-12-10,159915.SZ,518880.SH,Y
2025-12-11,159915.SZ,159915.SZ,N
2025-12-12,159915.SZ,159915.SZ,N
2025-12-15,159915.SZ,159915.SZ,N
2025-12-16,159915.SZ,159915.SZ,N
2025-12-17,518880.SH,159915.SZ,Y
2025-12-18,518880.SH,518880.SH,N
2025-12-19,518880.SH,518880.SH,N
2025-12-22,518880.SH,518880.SH,N
2025-12-23,518880.SH,518880.SH,N
2025-12-24,518880.SH,518880.SH,N
2025-12-25,518880.SH,518880.SH,N
2025-12-26,518880.SH,518880.SH,N
2025-12-29,518880.SH,518880.SH,N
2025-12-30,518880.SH,518880.SH,N
2025-12-31,159915.SZ,518880.SH,Y
2026-01-05,159915.SZ,159915.SZ,N
2026-01-06,159915.SZ,159915.SZ,N
2026-01-07,159915.SZ,159915.SZ,N
2026-01-08,159915.SZ,159915.SZ,N
2026-01-09,518880.SH,159915.SZ,Y
2026-01-12,518880.SH,518880.SH,N
2026-01-13,518880.SH,518880.SH,N
2026-01-14,518880.SH,518880.SH,N
2026-01-15,518880.SH,518880.SH,N
2026-01-16,159915.SZ,518880.SH,Y
2026-01-19,159915.SZ,518880.SH,Y
2026-01-20,159915.SZ,518880.SH,Y
2026-01-21,159915.SZ,518880.SH,Y
2026-01-22,159915.SZ,518880.SH,Y
2026-01-23,518880.SH,518880.SH,N
2026-01-26,518880.SH,518880.SH,N
2026-01-27,518880.SH,518880.SH,N
2026-01-28,518880.SH,518880.SH,N
2026-01-29,518880.SH,518880.SH,N
2026-01-30,518880.SH,518880.SH,N
2026-02-02,518880.SH,518880.SH,N
2026-02-03,518880.SH,518880.SH,N
2026-02-04,518880.SH,518880.SH,N
2026-02-05,518880.SH,518880.SH,N
2026-02-06,518880.SH,518880.SH,N
2026-02-09,518880.SH,518880.SH,N
2026-02-10,518880.SH,518880.SH,N
2026-02-11,518880.SH,518880.SH,N
2026-02-12,518880.SH,518880.SH,N
2026-02-13,518880.SH,518880.SH,N
2026-02-24,518880.SH,518880.SH,N
2026-02-25,518880.SH,518880.SH,N
2026-02-26,518880.SH,518880.SH,N
2026-02-27,518880.SH,518880.SH,N
2026-03-02,518880.SH,518880.SH,N
2026-03-03,518880.SH,518880.SH,N
2026-03-04,518880.SH,518880.SH,N
2026-03-05,518880.SH,518880.SH,N
2026-03-06,510300.SH,518880.SH,Y
2026-03-09,510300.SH,518880.SH,Y
2026-03-10,510300.SH,518880.SH,Y
2026-03-11,510300.SH,518880.SH,Y
2026-03-12,510300.SH,518880.SH,Y
2026-03-13,518880.SH,518880.SH,N
2026-03-16,518880.SH,518880.SH,N
2026-03-17,518880.SH,159915.SZ,Y
2026-03-18,518880.SH,159915.SZ,Y
2026-03-19,518880.SH,159915.SZ,Y
2026-03-20,159915.SZ,159915.SZ,N
2026-03-23,159915.SZ,159915.SZ,N
2026-03-24,159915.SZ,159915.SZ,N
2026-03-25,159915.SZ,159915.SZ,N
2026-03-26,159915.SZ,159915.SZ,N
2026-03-27,159915.SZ,159915.SZ,N
2026-03-30,159915.SZ,159915.SZ,N
2026-03-31,159915.SZ,159915.SZ,N
2026-04-01,159915.SZ,159915.SZ,N
2026-04-02,159915.SZ,159915.SZ,N
2026-04-03,159915.SZ,159915.SZ,N
2026-04-07,159915.SZ,159915.SZ,N
2026-04-08,513100.SH,513100.SH,N
2026-04-09,513100.SH,513100.SH,N
2026-04-10,513100.SH,513100.SH,N
2026-04-13,513100.SH,513100.SH,N
2026-04-14,513100.SH,513100.SH,N
2026-04-15,159915.SZ,159915.SZ,N
2026-04-16,159915.SZ,159915.SZ,N
2026-04-17,159915.SZ,159915.SZ,N
2026-04-20,159915.SZ,159915.SZ,N
2026-04-21,159915.SZ,159915.SZ,N
2026-04-22,159915.SZ,159915.SZ,N
2026-04-23,159915.SZ,159915.SZ,N
2026-04-24,159915.SZ,159915.SZ,N
2026-04-27,513100.SH,159915.SZ,Y
2026-04-28,513100.SH,159915.SZ,Y
2026-04-29,513100.SH,513100.SH,N
2026-04-30,513100.SH,513100.SH,N
2026-05-06,513100.SH,513100.SH,N
2026-05-07,513100.SH,513100.SH,N
2026-05-08,159915.SZ,513100.SH,Y
2026-05-11,159915.SZ,159915.SZ,N
2026-05-12,159915.SZ,159915.SZ,N
2026-05-13,159915.SZ,159915.SZ,N
2026-05-14,159915.SZ,159915.SZ,N
2026-05-15,513100.SH,159915.SZ,Y
2026-05-18,513100.SH,513100.SH,N
2026-05-19,513100.SH,513100.SH,N
2026-05-20,513100.SH,513100.SH,N
2026-05-21,513100.SH,513100.SH,N
2026-05-22,513100.SH,513100.SH,N
2026-05-25,513100.SH,513100.SH,N
2026-05-26,513100.SH,513100.SH,N
2026-05-27,513100.SH,513100.SH,N
2026-05-28,513100.SH,513100.SH,N
2026-05-29,513100.SH,513100.SH,N
2026-06-01,513100.SH,513100.SH,N
2026-06-02,513100.SH,513100.SH,N
2026-06-03,513100.SH,513100.SH,N
2026-06-04,513100.SH,513100.SH,N
2026-06-05,513100.SH,513100.SH,N
2026-06-08,513100.SH,513100.SH,N
2026-06-09,513100.SH,513100.SH,N
2026-06-10,513100.SH,513100.SH,N
2026-06-11,513100.SH,513100.SH,N
2026-06-12,513100.SH,513100.SH,N
2026-06-15,513100.SH,513100.SH,N
