start,end,trading_days,X持仓,Y持仓,whipsaw标志,X切换次数,分类,分类说明,score_basis,score_date,score_ranking,top1,top2,top1_top2_gap,crowded
2025-10-28,2025-10-29,2,513100.SH,518880.SH,N,1,相位错位,前后持仓一致，区间内只是在同两只资产之间切换时点不同。,first_x_switch_in_interval,2025-10-27,1.513100.SH=0.058681; 2.518880.SH=0.042025; 3.510300.SH=0.012220; 4.159915.SZ=0.006089,513100.SH,518880.SH,0.01665589243801379,N
2025-11-18,2025-11-19,2,159915.SZ,513100.SH,N,1,相位错位,前后持仓一致，区间内只是在同两只资产之间切换时点不同。,first_x_switch_in_interval,2025-11-17,1.159915.SZ=0.004538; 2.513100.SH=0.003296; 3.510300.SH=0.001427; 4.518880.SH=-0.007196,159915.SZ,513100.SH,0.0012423149434896744,N
2025-11-25,2025-11-26,2,518880.SH,159915.SZ,N,1,相位错位,前后持仓一致，区间内只是在同两只资产之间切换时点不同。,first_x_switch_in_interval,2025-11-24,1.518880.SH=-0.000195; 2.513100.SH=-0.009794; 3.510300.SH=-0.021268; 4.159915.SZ=-0.032944,518880.SH,513100.SH,0.009599413915114508,N
2025-12-10,2025-12-10,1,159915.SZ,518880.SH,N,1,相位错位,前后持仓一致，区间内只是在同两只资产之间切换时点不同。,first_x_switch_in_interval,2025-12-09,1.159915.SZ=0.002284; 2.518880.SH=-0.000019; 3.510300.SH=-0.001019; 4.513100.SH=-0.001073,159915.SZ,518880.SH,0.0023035379197331213,N
2025-12-17,2025-12-17,1,518880.SH,159915.SZ,N,1,相位错位,前后持仓一致，区间内只是在同两只资产之间切换时点不同。,first_x_switch_in_interval,2025-12-16,1.518880.SH=0.018602; 2.513100.SH=0.001132; 3.159915.SZ=0.000034; 4.510300.SH=-0.001449,518880.SH,513100.SH,0.017469940020605805,N
2025-12-31,2025-12-31,1,159915.SZ,518880.SH,N,1,相位错位,前后持仓一致，区间内只是在同两只资产之间切换时点不同。,first_x_switch_in_interval,2025-12-30,1.159915.SZ=0.013705; 2.518880.SH=0.004656; 3.510300.SH=0.004638; 4.513100.SH=-0.001162,159915.SZ,518880.SH,0.009049097197704584,N
2026-01-09,2026-01-09,1,518880.SH,159915.SZ,N,1,相位错位,前后持仓一致，区间内只是在同两只资产之间切换时点不同。,first_x_switch_in_interval,2026-01-08,1.518880.SH=0.014236; 2.510300.SH=0.007986; 3.159915.SZ=0.004160; 4.513100.SH=-0.001430,518880.SH,510300.SH,0.0062504082499657745,N
2026-01-16,2026-01-22,5,159915.SZ,518880.SH,Y,1,whipsaw,X 离开并回到 518880.SH 黄金; Y 全程持有。,first_x_switch_in_interval,2026-01-15,1.159915.SZ=0.037553; 2.518880.SH=0.024608; 3.510300.SH=0.023264; 4.513100.SH=0.001598,159915.SZ,518880.SH,0.012945095793518057,N
2026-03-06,2026-03-12,5,510300.SH,518880.SH,Y,1,whipsaw,X 离开并回到 518880.SH 黄金; Y 全程持有。,first_x_switch_in_interval,2026-03-05,1.510300.SH=-0.001299; 2.518880.SH=-0.001437; 3.159915.SZ=-0.003642; 4.513100.SH=-0.016775,510300.SH,518880.SH,0.00013760491103896534,Y
2026-03-17,2026-03-19,3,518880.SH,159915.SZ,N,0,相位错位,前后持仓一致，区间内只是在同两只资产之间切换时点不同。,interval_start_no_x_switch,2026-03-17,1.518880.SH=-0.000279; 2.159915.SZ=-0.000861; 3.510300.SH=-0.002431; 4.513100.SH=-0.012946,518880.SH,159915.SZ,0.0005817061727527078,Y
2026-04-27,2026-04-28,2,513100.SH,159915.SZ,N,1,相位错位,前后持仓一致，区间内只是在同两只资产之间切换时点不同。,first_x_switch_in_interval,2026-04-24,1.513100.SH=0.047348; 2.159915.SZ=0.046596; 3.510300.SH=0.026455; 4.518880.SH=0.007443,513100.SH,159915.SZ,0.000751744682831984,Y
2026-05-08,2026-05-08,1,159915.SZ,513100.SH,N,1,相位错位,前后持仓一致，区间内只是在同两只资产之间切换时点不同。,first_x_switch_in_interval,2026-05-07,1.159915.SZ=0.136732; 2.513100.SH=0.136052; 3.510300.SH=0.070714; 4.518880.SH=0.000401,159915.SZ,513100.SH,0.0006806558653304207,Y
2026-05-15,2026-05-15,1,513100.SH,159915.SZ,N,1,相位错位,前后持仓一致，区间内只是在同两只资产之间切换时点不同。,first_x_switch_in_interval,2026-05-14,1.513100.SH=0.130071; 2.159915.SZ=0.060469; 3.510300.SH=0.028453; 4.518880.SH=-0.001353,513100.SH,159915.SZ,0.06960266576948586,N
