rebalance_days,signal_date,execution_date,old_asset,new_asset,turnover
5,2026-01-08,2026-01-09,159915.SZ,518880.SH,2.0
5,2026-01-15,2026-01-16,518880.SH,159915.SZ,2.0
5,2026-01-22,2026-01-23,159915.SZ,518880.SH,2.0
5,2026-03-05,2026-03-06,518880.SH,510300.SH,2.0
5,2026-03-12,2026-03-13,510300.SH,518880.SH,2.0
5,2026-03-19,2026-03-20,518880.SH,159915.SZ,2.0
5,2026-04-07,2026-04-08,159915.SZ,513100.SH,2.0
5,2026-04-14,2026-04-15,513100.SH,159915.SZ,2.0
5,2026-04-24,2026-04-27,159915.SZ,513100.SH,2.0
5,2026-05-07,2026-05-08,513100.SH,159915.SZ,2.0
5,2026-05-14,2026-05-15,159915.SZ,513100.SH,2.0
7,2026-01-12,2026-01-13,159915.SZ,518880.SH,2.0
7,2026-03-05,2026-03-06,518880.SH,510300.SH,2.0
7,2026-03-16,2026-03-17,510300.SH,159915.SZ,2.0
7,2026-04-07,2026-04-08,159915.SZ,513100.SH,2.0
7,2026-04-16,2026-04-17,513100.SH,159915.SZ,2.0
7,2026-04-27,2026-04-28,159915.SZ,513100.SH,2.0
10,2026-01-16,2026-01-19,159915.SZ,518880.SH,2.0
10,2026-03-05,2026-03-06,518880.SH,510300.SH,2.0
10,2026-03-19,2026-03-20,510300.SH,159915.SZ,2.0
10,2026-04-07,2026-04-08,159915.SZ,513100.SH,2.0
10,2026-04-21,2026-04-22,513100.SH,159915.SZ,2.0
10,2026-05-08,2026-05-11,159915.SZ,513100.SH,2.0
