t_d,t_e,H,G,k,z_t_H,winsorize_bucket,breadth,G_momentum20,G_health,G_is_gold,window,IS_OOS,fwd_5_G,fwd_5_H,net_5,truncated_5,fwd_10_G,fwd_10_H,net_10,truncated_10,fwd_20_G,fwd_20_H,net_20,truncated_20,truncated_any,analysis_status
2014-10-30,2014-10-31,518880.SH,510300.SH,2.5,-2.6877012836397007,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,False,其他/非预注册窗口,IS,,,,,,,,,,,,,,stopped_at_size_gate
2015-01-19,2015-01-20,510300.SH,518880.SH,2.5,-4.926322910276309,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,True,其他/非预注册窗口,IS,,,,,,,,,,,,,,stopped_at_size_gate
2015-06-19,2015-06-23,510300.SH,513100.SH,2.5,-2.7238223015348737,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,False,2015-06~2016-02 A股股灾,IS,,,,,,,,,,,,,,stopped_at_size_gate
2015-07-06,2015-07-07,513100.SH,518880.SH,2.5,-2.917813960462864,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,True,2015-06~2016-02 A股股灾,IS,,,,,,,,,,,,,,stopped_at_size_gate
2016-01-04,2016-01-05,510300.SH,518880.SH,2.5,-3.9029183354752432,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,True,2015-06~2016-02 A股股灾,IS,,,,,,,,,,,,,,stopped_at_size_gate
2016-11-14,2016-11-15,518880.SH,510300.SH,2.5,-3.078659363991239,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,False,其他/非预注册窗口,IS,,,,,,,,,,,,,,stopped_at_size_gate
2017-03-22,2017-03-23,513100.SH,518880.SH,2.5,-3.763744907749932,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,True,其他/非预注册窗口,IS,,,,,,,,,,,,,,stopped_at_size_gate
2017-11-23,2017-11-24,510300.SH,513100.SH,2.5,-4.360231433494065,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,False,其他/非预注册窗口,IS,,,,,,,,,,,,,,stopped_at_size_gate
2018-02-06,2018-02-07,513100.SH,518880.SH,2.5,-5.99172719036386,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,True,其他/非预注册窗口,IS,,,,,,,,,,,,,,stopped_at_size_gate
2019-09-26,2019-09-27,159915.SZ,513100.SH,2.5,-2.5372765109209543,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,False,其他/非预注册窗口,IS,,,,,,,,,,,,,,stopped_at_size_gate
2020-07-24,2020-07-27,159915.SZ,518880.SH,2.5,-2.8702002206755304,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,True,其他/非预注册窗口,IS,,,,,,,,,,,,,,stopped_at_size_gate
2020-08-12,2020-08-13,518880.SH,513100.SH,2.5,-5.530319041398386,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,False,其他/非预注册窗口,IS,,,,,,,,,,,,,,stopped_at_size_gate
2021-02-26,2021-03-01,513100.SH,510300.SH,2.5,-2.9658942242605915,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,False,2021-02~08 成长见顶,IS,,,,,,,,,,,,,,stopped_at_size_gate
2023-08-11,2023-08-14,510300.SH,518880.SH,2.5,-2.6514279207702467,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,True,其他/非预注册窗口,OOS,,,,,,,,,,,,,,stopped_at_size_gate
2023-09-15,2023-09-18,518880.SH,513100.SH,2.5,-2.593033578642132,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,False,其他/非预注册窗口,OOS,,,,,,,,,,,,,,stopped_at_size_gate
2024-07-12,2024-07-15,513100.SH,518880.SH,2.5,-3.827237225948249,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,True,其他/非预注册窗口,OOS,,,,,,,,,,,,,,stopped_at_size_gate
2024-07-19,2024-07-22,518880.SH,510300.SH,2.5,-3.3235685066348806,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,False,其他/非预注册窗口,OOS,,,,,,,,,,,,,,stopped_at_size_gate
2015-01-19,2015-01-20,510300.SH,518880.SH,3.0,-4.926322910276309,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,True,其他/非预注册窗口,IS,,,,,,,,,,,,,,stopped_at_size_gate
2016-01-04,2016-01-05,510300.SH,518880.SH,3.0,-3.9029183354752432,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,True,2015-06~2016-02 A股股灾,IS,,,,,,,,,,,,,,stopped_at_size_gate
2016-11-14,2016-11-15,518880.SH,510300.SH,3.0,-3.078659363991239,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,False,其他/非预注册窗口,IS,,,,,,,,,,,,,,stopped_at_size_gate
2017-03-22,2017-03-23,513100.SH,518880.SH,3.0,-3.763744907749932,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,True,其他/非预注册窗口,IS,,,,,,,,,,,,,,stopped_at_size_gate
2017-11-23,2017-11-24,510300.SH,513100.SH,3.0,-4.360231433494065,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,False,其他/非预注册窗口,IS,,,,,,,,,,,,,,stopped_at_size_gate
2018-02-06,2018-02-07,513100.SH,518880.SH,3.0,-5.99172719036386,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,True,其他/非预注册窗口,IS,,,,,,,,,,,,,,stopped_at_size_gate
2020-08-12,2020-08-13,518880.SH,513100.SH,3.0,-5.530319041398386,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,False,其他/非预注册窗口,IS,,,,,,,,,,,,,,stopped_at_size_gate
2024-07-12,2024-07-15,513100.SH,518880.SH,3.0,-3.827237225948249,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,True,其他/非预注册窗口,OOS,,,,,,,,,,,,,,stopped_at_size_gate
2024-07-19,2024-07-22,518880.SH,510300.SH,3.0,-3.3235685066348806,未评估：规模闸门停止,未评估：规模闸门停止,,未评估：规模闸门停止,False,其他/非预注册窗口,OOS,,,,,,,,,,,,,,stopped_at_size_gate
