arm,transaction_cost_rate,transaction_cost_bps_one_side,split,start,end,days,annual_return,sharpe
A1,5e-05,0.5,IS,2014-01-02,2022-09-05,2112,0.3264495866500341,1.2414919966536084
A1,5e-05,0.5,OOS,2022-09-06,2026-06-04,904,0.33795191611697106,1.210202731060358
A2,5e-05,0.5,IS,2014-01-02,2022-09-05,2112,0.3400546653823029,1.2768980077430805
A2,5e-05,0.5,OOS,2022-09-06,2026-06-04,904,0.4383105681296442,1.4605722861202242
A3,5e-05,0.5,IS,2014-01-02,2022-09-05,2112,0.227651559841211,0.9279355340531455
A3,5e-05,0.5,OOS,2022-09-06,2026-06-04,904,0.3662263136865245,1.269981854446728
B,5e-05,0.5,IS,2014-01-02,2022-09-05,2112,0.31041254038637933,1.2393735417944478
B,5e-05,0.5,OOS,2022-09-06,2026-06-04,904,0.42089764893063575,1.3370811925608066
B_prime,5e-05,0.5,IS,2014-01-02,2022-09-05,2112,0.19739017048603835,0.8623232347655716
B_prime,5e-05,0.5,OOS,2022-09-06,2026-06-04,904,0.6434008503170443,1.8599084948531734
A1,0.0001,1.0,IS,2014-01-02,2022-09-05,2112,0.32461936849999606,1.236074004000264
A1,0.0001,1.0,OOS,2022-09-06,2026-06-04,904,0.3360906727995827,1.2050602891183952
A2,0.0001,1.0,IS,2014-01-02,2022-09-05,2112,0.3382507687494418,1.2716040643090065
A2,0.0001,1.0,OOS,2022-09-06,2026-06-04,904,0.4364356192909138,1.4558815630772695
A3,0.0001,1.0,IS,2014-01-02,2022-09-05,2112,0.2256471508271427,0.9215631186909291
A3,0.0001,1.0,OOS,2022-09-06,2026-06-04,904,0.3641693242557065,1.264468793357764
B,0.0001,1.0,IS,2014-01-02,2022-09-05,2112,0.30743331700625687,1.2299626926620821
B,0.0001,1.0,OOS,2022-09-06,2026-06-04,904,0.4176593224232066,1.329341469385443
B_prime,0.0001,1.0,IS,2014-01-02,2022-09-05,2112,0.19496458482220724,0.8539806101366102
B_prime,0.0001,1.0,OOS,2022-09-06,2026-06-04,904,0.6405639372632852,1.8538744636022295
A1,0.0003,2.9999999999999996,IS,2014-01-02,2022-09-05,2112,0.317321898693812,1.214373984477062
A1,0.0003,2.9999999999999996,OOS,2022-09-06,2026-06-04,904,0.3286697071620166,1.1844687784584744
A2,0.0003,2.9999999999999996,IS,2014-01-02,2022-09-05,2112,0.331057640184544,1.2504039945729488
A2,0.0003,2.9999999999999996,OOS,2022-09-06,2026-06-04,904,0.42895837658041547,1.437089881597454
A3,0.0003,2.9999999999999996,IS,2014-01-02,2022-09-05,2112,0.21766019764568068,0.8960536960775715
A3,0.0003,2.9999999999999996,OOS,2022-09-06,2026-06-04,904,0.3559702436406862,1.242397725622171
B,0.0003,2.9999999999999996,IS,2014-01-02,2022-09-05,2112,0.2955810559017449,1.192275378486074
B,0.0003,2.9999999999999996,OOS,2022-09-06,2026-06-04,904,0.40477645102850723,1.2983493746245365
B_prime,0.0003,2.9999999999999996,IS,2014-01-02,2022-09-05,2112,0.185308874503596,0.8205861862328079
B_prime,0.0003,2.9999999999999996,OOS,2022-09-06,2026-06-04,904,0.6292623573019365,1.8297071500007847
A1,0.0005,5.0,IS,2014-01-02,2022-09-05,2112,0.31006174090351557,1.1926306575453796
A1,0.0005,5.0,OOS,2022-09-06,2026-06-04,904,0.32128701658319647,1.163843813333232
A2,0.0005,5.0,IS,2014-01-02,2022-09-05,2112,0.32390032090932497,1.2291665581992433
A2,0.0005,5.0,OOS,2022-09-06,2026-06-04,904,0.42151709864737663,1.4182532145734565
A3,0.0005,5.0,IS,2014-01-02,2022-09-05,2112,0.20972212631670462,0.8705147939350542
A3,0.0005,5.0,OOS,2022-09-06,2026-06-04,904,0.34781718566190634,1.2202980488716186
B,0.0005,5.0,IS,2014-01-02,2022-09-05,2112,0.2838315646428584,1.1545226098460257
B,0.0005,5.0,OOS,2022-09-06,2026-06-04,904,0.3920055734883485,1.2673068261930214
B_prime,0.0005,5.0,IS,2014-01-02,2022-09-05,2112,0.17572736796946997,0.7871572823683268
B_prime,0.0005,5.0,OOS,2022-09-06,2026-06-04,904,0.6180341558775859,1.8054916451922591
