date,arm,510300.SH,159915.SZ,513100.SH,518880.SH
2014-01-13,B,0.0,0.0,1.0,0.0
2014-01-20,B,0.0,1.0,0.0,0.0
2014-02-20,B,0.0,0.0,0.0,1.0
2014-03-26,B,1.0,0.0,0.0,0.0
2014-04-29,B,0.0,0.0,0.0,1.0
2014-05-09,B,0.0,0.0,1.0,0.0
2014-06-16,B,0.0,1.0,0.0,0.0
2014-06-23,B,0.0,0.0,1.0,0.0
2014-06-30,B,0.0,0.0,0.0,1.0
2014-07-08,B,0.0,0.0,1.0,0.0
2014-07-21,B,1.0,0.0,0.0,0.0
2014-08-21,B,0.0,1.0,0.0,0.0
2014-09-04,B,0.0,0.0,1.0,0.0
2014-09-12,B,0.0,1.0,0.0,0.0
2014-09-22,B,1.0,0.0,0.0,0.0
2014-09-29,B,0.0,1.0,0.0,0.0
2014-10-17,B,1.0,0.0,0.0,0.0
2014-10-24,B,0.0,0.0,0.0,1.0
2014-10-31,B,1.0,0.0,0.0,0.0
2014-11-07,B,0.0,0.0,1.0,0.0
2014-11-24,B,1.0,0.0,0.0,0.0
2015-01-20,B,0.0,0.0,0.0,1.0
2015-01-28,B,0.0,1.0,0.0,0.0
2015-02-26,B,0.0,0.0,1.0,0.0
2015-03-05,B,0.0,1.0,0.0,0.0
2015-03-31,B,1.0,0.0,0.0,0.0
2015-04-08,B,0.0,1.0,0.0,0.0
2015-04-15,B,1.0,0.0,0.0,0.0
2015-05-07,B,0.0,1.0,0.0,0.0
2015-06-09,B,1.0,0.0,0.0,0.0
2015-06-23,B,0.0,0.0,1.0,0.0
2015-07-07,B,0.0,0.0,0.0,1.0
2015-07-15,B,0.0,0.0,1.0,0.0
2015-08-05,B,0.0,1.0,0.0,0.0
2015-08-12,B,0.0,0.0,1.0,0.0
2015-08-19,B,0.0,0.0,0.0,1.0
2015-09-23,B,0.0,0.0,1.0,0.0
2015-09-30,B,0.0,1.0,0.0,0.0
2015-11-04,B,0.0,0.0,1.0,0.0
2015-11-11,B,0.0,1.0,0.0,0.0
2015-12-03,B,1.0,0.0,0.0,0.0
2015-12-10,B,0.0,0.0,1.0,0.0
2015-12-21,B,0.0,1.0,0.0,0.0
2015-12-28,B,1.0,0.0,0.0,0.0
2016-01-05,B,0.0,0.0,0.0,1.0
2016-03-15,B,0.0,0.0,1.0,0.0
2016-03-25,B,1.0,0.0,0.0,0.0
2016-04-01,B,0.0,1.0,0.0,0.0
2016-04-20,B,0.0,0.0,1.0,0.0
2016-04-27,B,0.0,0.0,0.0,1.0
2016-05-26,B,0.0,0.0,1.0,0.0
2016-06-07,B,0.0,1.0,0.0,0.0
2016-06-16,B,0.0,0.0,1.0,0.0
2016-06-24,B,0.0,1.0,0.0,0.0
2016-07-01,B,0.0,0.0,0.0,1.0
2016-07-12,B,0.0,1.0,0.0,0.0
2016-07-19,B,1.0,0.0,0.0,0.0
2016-07-26,B,0.0,0.0,1.0,0.0
2016-08-18,B,1.0,0.0,0.0,0.0
2016-09-09,B,0.0,1.0,0.0,0.0
2016-09-20,B,0.0,0.0,1.0,0.0
2016-10-10,B,0.0,0.0,0.0,1.0
2016-10-17,B,0.0,0.0,1.0,0.0
2016-10-24,B,1.0,0.0,0.0,0.0
2016-11-08,B,0.0,0.0,0.0,1.0
2016-11-15,B,1.0,0.0,0.0,0.0
2016-12-08,B,0.0,0.0,1.0,0.0
2017-01-16,B,0.0,0.0,0.0,1.0
2017-02-03,B,1.0,0.0,0.0,0.0
2017-02-10,B,0.0,0.0,1.0,0.0
2017-03-23,B,0.0,0.0,0.0,1.0
2017-03-30,B,0.0,0.0,1.0,0.0
2017-04-10,B,0.0,0.0,0.0,1.0
2017-04-26,B,0.0,0.0,1.0,0.0
2017-06-02,B,1.0,0.0,0.0,0.0
2017-07-27,B,0.0,0.0,1.0,0.0
2017-08-10,B,0.0,0.0,0.0,1.0
2017-08-17,B,0.0,1.0,0.0,0.0
2017-09-13,B,1.0,0.0,0.0,0.0
2017-09-20,B,0.0,1.0,0.0,0.0
2017-09-27,B,0.0,0.0,1.0,0.0
2017-10-25,B,1.0,0.0,0.0,0.0
2017-11-01,B,0.0,0.0,1.0,0.0
2017-11-14,B,1.0,0.0,0.0,0.0
2017-11-24,B,0.0,0.0,1.0,0.0
2018-01-02,B,1.0,0.0,0.0,0.0
2018-01-09,B,0.0,0.0,0.0,1.0
2018-01-16,B,1.0,0.0,0.0,0.0
2018-01-31,B,0.0,0.0,1.0,0.0
2018-02-07,B,0.0,0.0,0.0,1.0
2018-02-14,B,0.0,1.0,0.0,0.0
2018-02-28,B,0.0,0.0,1.0,0.0
2018-03-07,B,0.0,1.0,0.0,0.0
2018-04-11,B,0.0,0.0,0.0,1.0
2018-04-25,B,0.0,1.0,0.0,0.0
2018-05-04,B,0.0,0.0,1.0,0.0
2018-05-21,B,1.0,0.0,0.0,0.0
2018-05-28,B,0.0,0.0,1.0,0.0
2018-07-20,B,0.0,1.0,0.0,0.0
2018-07-27,B,0.0,0.0,1.0,0.0
2018-09-04,B,1.0,0.0,0.0,0.0
2018-09-11,B,0.0,0.0,1.0,0.0
2018-09-21,B,0.0,0.0,0.0,1.0
2018-10-08,B,1.0,0.0,0.0,0.0
2018-10-15,B,0.0,0.0,0.0,1.0
2018-11-09,B,0.0,1.0,0.0,0.0
2018-12-03,B,0.0,0.0,0.0,1.0
2019-01-21,B,1.0,0.0,0.0,0.0
2019-01-28,B,0.0,0.0,1.0,0.0
2019-02-12,B,1.0,0.0,0.0,0.0
2019-02-19,B,0.0,1.0,0.0,0.0
2019-03-27,B,0.0,0.0,1.0,0.0
2019-04-09,B,1.0,0.0,0.0,0.0
2019-04-16,B,0.0,0.0,1.0,0.0
2019-04-23,B,1.0,0.0,0.0,0.0
2019-04-30,B,0.0,0.0,1.0,0.0
2019-05-15,B,0.0,0.0,0.0,1.0
2019-07-02,B,1.0,0.0,0.0,0.0
2019-07-10,B,0.0,0.0,0.0,1.0
2019-07-17,B,0.0,0.0,1.0,0.0
2019-07-30,B,0.0,0.0,0.0,1.0
2019-09-03,B,0.0,1.0,0.0,0.0
2019-09-27,B,0.0,0.0,1.0,0.0
2019-10-11,B,0.0,1.0,0.0,0.0
2019-10-18,B,0.0,0.0,1.0,0.0
2019-11-06,B,0.0,1.0,0.0,0.0
2019-11-13,B,0.0,0.0,1.0,0.0
2019-12-11,B,0.0,1.0,0.0,0.0
2019-12-18,B,0.0,0.0,1.0,0.0
2019-12-25,B,0.0,1.0,0.0,0.0
2020-01-02,B,1.0,0.0,0.0,0.0
2020-01-09,B,0.0,0.0,0.0,1.0
2020-01-16,B,0.0,0.0,1.0,0.0
2020-01-23,B,0.0,1.0,0.0,0.0
2020-02-07,B,0.0,0.0,1.0,0.0
2020-02-20,B,0.0,1.0,0.0,0.0
2020-02-27,B,0.0,0.0,0.0,1.0
2020-03-05,B,0.0,1.0,0.0,0.0
2020-03-12,B,0.0,0.0,0.0,1.0
2020-04-23,B,0.0,1.0,0.0,0.0
2020-04-30,B,0.0,0.0,1.0,0.0
2020-06-01,B,0.0,0.0,0.0,1.0
2020-06-08,B,0.0,1.0,0.0,0.0
2020-07-07,B,1.0,0.0,0.0,0.0
2020-07-14,B,0.0,1.0,0.0,0.0
2020-07-27,B,0.0,0.0,0.0,1.0
2020-08-13,B,0.0,0.0,1.0,0.0
2020-09-29,B,1.0,0.0,0.0,0.0
2020-10-14,B,0.0,1.0,0.0,0.0
2020-10-26,B,1.0,0.0,0.0,0.0
2020-11-02,B,0.0,1.0,0.0,0.0
2020-11-09,B,1.0,0.0,0.0,0.0
2020-12-15,B,0.0,1.0,0.0,0.0
2020-12-29,B,0.0,0.0,0.0,1.0
2021-01-06,B,0.0,1.0,0.0,0.0
2021-01-14,B,1.0,0.0,0.0,0.0
2021-01-21,B,0.0,1.0,0.0,0.0
2021-02-02,B,1.0,0.0,0.0,0.0
2021-02-09,B,0.0,0.0,1.0,0.0
2021-03-01,B,1.0,0.0,0.0,0.0
2021-03-09,B,0.0,0.0,1.0,0.0
2021-03-16,B,0.0,0.0,0.0,1.0
2021-03-24,B,0.0,0.0,1.0,0.0
2021-03-31,B,0.0,0.0,0.0,1.0
2021-04-08,B,0.0,0.0,1.0,0.0
2021-04-22,B,0.0,1.0,0.0,0.0
2021-05-10,B,0.0,0.0,0.0,1.0
2021-05-17,B,0.0,1.0,0.0,0.0
2021-05-24,B,0.0,0.0,0.0,1.0
2021-05-31,B,0.0,1.0,0.0,0.0
2021-06-16,B,0.0,0.0,1.0,0.0
