arm,fee_bps_one_side,start,end,trading_days,total_return,annual_return,sharpe,max_drawdown,annual_turnover_sum_abs,avg_holding_days,switch_count,train_end,is_annual_return,is_sharpe,oos_annual_return,oos_sharpe
P-A0,0.0,2014-01-30,2026-07-14,3025,28.855139380094467,0.3270204770630267,1.2164218428331655,-0.2574996335895965,45.90148760330578,10.960144927536232,275,2022-09-30,0.2983019752495839,1.2065972473036497,0.3959116716972797,1.2542868835761107
P-A0,1.0,2014-01-30,2026-07-14,3025,27.257160285503907,0.32095310565654267,1.1988404083018442,-0.2579467007454498,45.90148760330578,10.960144927536232,275,2022-09-30,0.29239077134428326,1.1876324235154456,0.3894674849426285,1.2389693485830005
P-A0,5.0,2014-01-30,2026-07-14,3025,21.673494859736184,0.296947899519896,1.1283625158451824,-0.2622193265943886,45.90148760330578,10.960144927536232,275,2022-09-30,0.26900231278475806,1.111601086412568,0.36397425522008997,1.1775760694909392
P-B1,0.0,2014-01-30,2026-07-14,3025,31.737351127652047,0.33724779761434753,1.2946680703337232,-0.25654397731495304,46.40132231404959,10.842293906810037,278,2022-09-30,0.3110558826844607,1.3002797322780362,0.3998591026749718,1.306367685780716
P-B1,1.0,2014-01-30,2026-07-14,3025,30.844754182533656,0.33417178629907407,1.285464694308377,-0.2569858225173838,46.40132231404959,10.842293906810037,278,2022-09-30,0.30832224219919757,1.291156163352504,0.39594249227204537,1.296832423804284
P-B1,5.0,2014-01-30,2026-07-14,3025,27.509619431174986,0.32193226457098323,1.2485616773307648,-0.2587514528499276,46.40132231404959,10.842293906810037,278,2022-09-30,0.29743915728443904,1.2545765410505967,0.38037762140697806,1.2585944684481412
P-B1p,0.0,2014-01-30,2026-07-14,3025,34.4932390720228,0.3462821856279996,1.2793592578147912,-0.2648601153408021,46.23471074380165,10.881294964028777,277,2022-09-30,0.3323548116779842,1.320925038239502,0.3790601932014619,1.2208148263322904
P-B1p,1.0,2014-01-30,2026-07-14,3025,32.72723688364673,0.3405704346761327,1.2629147006700268,-0.2661800319376618,46.23471074380165,10.881294964028777,277,2022-09-30,0.32714145588732335,1.304536455755396,0.3721581033987751,1.2040332120217687
P-B1p,5.0,2014-01-30,2026-07-14,3025,26.496474312772992,0.3179535413613641,1.1969956192640008,-0.27143865895008834,46.23471074380165,10.881294964028777,277,2022-09-30,0.30648100523137245,1.2388229166607307,0.34487997292132766,1.1367925323145658
P-B2,0.0,2014-01-30,2026-07-14,3025,15.671250656042105,0.2641453710523165,1.1091524363460359,-0.2851350923008755,47.90082644628099,10.503472222222221,287,2022-09-30,0.22873974312839596,0.9889347822196933,0.3500065725477042,1.3890825018692028
P-B2,1.0,2014-01-30,2026-07-14,3025,15.155628643588525,0.260841131342493,1.098218982774001,-0.28570497091890434,47.90082644628099,10.503472222222221,287,2022-09-30,0.22594883012228584,0.9794382037485738,0.34540907352303796,1.3748212657879961
P-B2,5.0,2014-01-30,2026-07-14,3025,13.246867630159548,0.24770380505769074,1.0543801553942542,-0.28798107903702386,47.90082644628099,10.503472222222221,287,2022-09-30,0.2148429236903322,0.9413738351725842,0.32716608165861616,1.3175939421483622
