,P-A0,P-B1,P-B1p,P-B2
2014,0.568254,0.337056,0.379225,0.294041
2015,0.397564,0.629312,0.388674,0.685909
2016,0.142993,0.170988,0.197729,0.221794
2017,0.243032,0.118283,0.146649,0.037375
2018,0.28636,0.444144,0.481127,0.09823
2019,0.428169,0.553134,0.596246,0.369194
2020,0.213985,0.215418,0.367366,0.328736
2021,0.061944,0.154725,0.237837,0.221968
2022,0.228229,0.079052,0.044829,-0.176932
2023,0.089627,0.138059,0.161867,0.109002
2024,0.693122,0.518442,0.555107,0.431416
2025,0.509557,0.457866,0.383791,0.428151
2026,0.120114,0.304468,0.226545,0.282457
